,weight
ADBE,0.020195350589253685
AMD,0.005400197754120735
GOOGL,0.08341669809225073
AMZN,0.10003057919416428
AMGN,0.012176356871102922
AAPL,0.10580910943337658
AMAT,0.006176310926226837
ADP,0.02869609489176899
BIDU,0.005340257211924105
BIIB,0.007866958201002517
BMRN,0.008839694077046436
BKNG,0.016007665762880097
AVGO,0.014471667177252382
CDNS,0.006590233962037149
CHTR,0.011341639403312398
CSCO,0.026561015521211328
CTXS,0.017464158435914676
CMCSA,0.022613994853130186
COST,0.013611206959351207
CSX,0.01411689129936214
DLTR,0.004502394783820813
EA,0.004333361175051539
FB,0.05055916578931946
GILD,0.018791130231087107
ILMN,0.006970900473432217
INTC,0.0337191357214252
ISRG,0.010812419907205243
JD,0.00667592865114932
KLAC,0.007916152469387615
KHC,0.003592588518626883
LULU,0.004134496665775644
MAR,0.008429027708173277
MCHP,0.010516764782837806
MU,0.009553249666020043
MSFT,0.09965332862228743
MDLZ,0.023745469428183796
NFLX,0.019692600546897372
NVDA,0.009881658648519719
PAYX,0.018015537408538177
PYPL,0.01956120803708436
PEP,0.011914458006845001
QCOM,0.01219709907754023
REGN,0.00939198568746398
SBUX,0.00791883161200297
TMUS,0.01158825062414771
TSLA,0.0052962718865515925
TXN,0.017497721164843667
ULTA,0.0035452972811878753
VRSN,0.014603777785760707
WBA,0.00826370702214391
