,weight
ATVI,0.0045783831126088425
ADBE,0.01742106623329788
AMD,0.004664117587893243
ALXN,0.003639100028153411
GOOGL,0.035784982100488305
GOOG,0.04930036134907042
AMZN,0.09950547685314828
AMGN,0.013469505401193568
AAPL,0.09900384606658008
AMAT,0.004717001023359483
ASML,0.004153248459267172
ADSK,0.003583960940400127
ADP,0.017723869544929282
BIDU,0.004288324305388027
BIIB,0.006413932381611494
BMRN,0.004763179512594402
BKNG,0.013037369213320186
AVGO,0.013441288133197952
CDNS,0.005104741027181018
CHTR,0.006945679912678178
CSCO,0.027874542593461504
CMCSA,0.02445868333591968
COST,0.011744194116557284
CSX,0.011891769606921707
DXCM,0.0018816025645366475
DLTR,0.006630212578871139
EBAY,0.004973546195742593
EA,0.002352676388152537
EXC,0.004521923835825241
EXPE,0.0022307768599703834
FB,0.04899157017611134
FISV,0.0038211512175879733
GILD,0.013231932882264987
ILMN,0.005172339111004997
INTC,0.03165811262358789
INTU,0.007895574589585525
ISRG,0.012439513025859616
JD,0.00641378861641793
KLAC,0.005895987428976725
KHC,0.00577968766019101
LBTYK,0.0046111776609759625
LULU,0.003118012342618506
MAR,0.008288207310316677
MXIM,0.010473719736718609
MCHP,0.005033981426901812
MU,0.006620023118598772
MSFT,0.10264191943107766
MDLZ,0.01557038793643117
NFLX,0.01622816427053729
NVDA,0.008691621802396092
ORLY,0.005659039624183278
PAYX,0.010135001356572347
PYPL,0.016531607013362554
PEP,0.01828063253655992
PDD,0.0012104250311108986
QCOM,0.011851835404773942
REGN,0.007310521956610973
ROST,0.007221092408602333
SIRI,0.006524553858533665
SBUX,0.003219359567938031
TMUS,0.00954824500812786
TSLA,0.00716642545464021
TXN,0.015554609417994745
ULTA,0.0028229304424096783
VRSN,0.009847232879019311
VRSK,0.008160038895650324
VRTX,0.00793282832375624
WBA,0.01023299469812952
WDAY,0.003860556520100906
XLNX,0.004253835971442419
