,weight
ATVI,0.005753778952926386
ADBE,0.02145663948102827
AMD,0.0038777347985517975
GOOG,0.08169360738454959
AMZN,0.09291244795096704
AMGN,0.013749828172941542
AAPL,0.10259592717425961
AMAT,0.008506485904231677
ADP,0.021563909174069956
BIDU,0.004575932264990278
BIIB,0.0065778862362257315
BMRN,0.006607766030812003
BKNG,0.013727735942248787
AVGO,0.014676613594089788
CDNS,0.007917060601325946
CHTR,0.007944105798571239
CTAS,0.004989013327017316
CSCO,0.02848080970658387
CMCSA,0.02635199467216308
COST,0.012374808063096565
CSX,0.008962184166375257
DOCU,0.0022441659024654103
DLTR,0.004947588046564988
EBAY,0.0095499993629747
EA,0.003194221550505896
EXC,0.009252840621011248
FB,0.05267069520423191
FAST,0.0026172997379579226
GILD,0.012673160414383877
ILMN,0.00794554724268935
INTC,0.02761666239438315
INTU,0.007759728695903736
ISRG,0.011004656133563431
JD,0.004255156757089855
KHC,0.00800936469101441
MAR,0.011992091783790713
MXIM,0.014969617154903069
MELI,0.00285083909847033
MU,0.006831525819177992
MSFT,0.09993118091085404
MDLZ,0.012801299460888345
NTES,0.002176616374277175
NFLX,0.017210373499049685
NVDA,0.009283216178750144
ORLY,0.007763553233656088
PYPL,0.02548376601914736
PEP,0.02024576614403281
QCOM,0.011757521659231947
REGN,0.0050161609349976665
ROST,0.0068304126446573155
SIRI,0.009876316203599734
SBUX,0.005633743535091724
TMUS,0.007920690016072275
TSLA,0.0069487305143838135
TXN,0.015406760411872418
ULTA,0.004296367793187021
VRSN,0.009476447047516469
VRTX,0.010814888676812998
WBA,0.007886598586719256
XLNX,0.007558160147094201
