,weight
ADBE,0.0326399938518654
GOOG,0.08767184835402493
AMZN,0.09886518053871923
AAPL,0.10438758117923587
AMAT,0.010957209165200321
ADP,0.034563431289693754
BIIB,0.006889064531191109
BMRN,0.015045359054566306
BKNG,0.011580708262796427
AVGO,0.021634180773334757
CHTR,0.01344455366227492
CTAS,0.01043958073368981
CSCO,0.02894861899464641
CMCSA,0.030302674108470116
COST,0.02348657880831894
CSX,0.014616736257148377
DLTR,0.006157599277209173
EBAY,0.0131546066933234
FB,0.0486374674401674
GILD,0.015133390111237311
ILMN,0.011009727006614118
INTC,0.023521542342215485
ISRG,0.012321007626729453
KHC,0.003837032960945145
MAR,0.013909714005039797
MCHP,0.014912332836089283
MU,0.00909003847356489
MSFT,0.09902693619905943
MDLZ,0.023127533508761396
NFLX,0.024292477807293267
NVDA,0.01165196596908417
ORLY,0.012692051588371545
PYPL,0.023387510635441068
PEP,0.019958170408651946
QCOM,0.0090362797059551
TSLA,0.0069412905359337
TXN,0.027147609073634338
ULTA,0.003263771439221917
VRTX,0.013446387090287146
WBA,0.008870257699992857
