,weight
ATVI,0.00422272090825135
ADBE,0.017137939539245077
AMD,0.004037216297443853
ALXN,0.0024504687063361262
ALGN,0.0
GOOGL,0.056853611700275225
GOOG,0.02969346892727246
AMZN,0.09561045747626971
AMGN,0.013637856811850152
ADI,0.0
ANSS,0.0
AAPL,0.10201307888247889
AMAT,0.003550009262052473
ASML,0.0013509564406791645
ADSK,0.0039249643556053555
ADP,0.014758795378734691
BIDU,0.00513010635526423
BIIB,0.00666017002249223
BMRN,0.003958785855752563
BKNG,0.011348868584161611
AVGO,0.012869649302877496
CDNS,0.003818293736620269
CDW,0.0
CERN,0.0
CHTR,0.007943260810062905
CHKP,0.0016375936712799144
CTAS,0.002308454291305444
CSCO,0.027210231089416732
CTXS,0.002542427400548915
CTSH,0.003697685148251275
CMCSA,0.023220160431966237
CPRT,0.0
COST,0.011314319726749405
CSX,0.010324135121910905
DXCM,0.0014287881939648254
DOCU,0.0
DLTR,0.006826663325290561
EBAY,0.0050559404444899805
EA,0.0023890566641106
EXC,0.004071142764717769
EXPE,0.0027465036997174593
FB,0.04732340993069212
FAST,0.0018655702519493951
FISV,0.0036895299699189134
GILD,0.012109669861658888
IDXX,0.0007178697882189291
ILMN,0.005384100129693039
INCY,0.0017026054415076035
INTC,0.03240196063436842
INTU,0.007670174307249443
ISRG,0.011000167979917819
JD,0.005168049480888756
KLAC,0.005196537070765016
KHC,0.0065095630225672435
LRCX,0.002483133833169123
LBTYA,0.0
LBTYK,0.00294563685600386
LULU,0.002368003477477446
MAR,0.009072899568093075
MXIM,0.010521430921886612
MELI,0.002119489857756547
MCHP,0.0042173806513255245
MU,0.0053271073818793755
MSFT,0.1013587296834995
MRNA,0.00038943438954742435
MDLZ,0.013928370429585514
MNST,0.0012299510814375244
NTES,0.003123512338050512
NFLX,0.0162728640196621
NVDA,0.009578587973121633
NXPI,0.002318366412223057
ORLY,0.003672080557118505
PCAR,0.004098102518576953
PAYX,0.006407098223305112
PYPL,0.020382193001775788
PEP,0.0158700116919954
PDD,2.106751248388047e-05
QCOM,0.011140081114047696
REGN,0.005593961618653899
ROST,0.004573841522538358
SGEN,0.0
SIRI,0.006041402960747216
SWKS,0.0
SPLK,0.0
SBUX,0.005012283041304888
SNPS,0.005117283662374165
TMUS,0.010324265502248514
TTWO,0.002147364955098879
TSLA,0.0065103950784329
TXN,0.012616944451147043
TCOM,0.00046264890949368893
ULTA,0.0038333498753131195
VRSN,0.006179904683852004
VRSK,0.006636551084898158
VRTX,0.008831551955070325
WBA,0.00913039957627962
WDAY,0.002555198302786549
WDC,0.0
XEL,0.003661890845224347
XLNX,0.005442239283672628
