0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0,0,0,0.114702888,0,0.127588657,0,0,0,0.140810327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051192963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080877068,0,0,0.072183427,0,0,0,0.061730478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17699385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122650402,0,0,0,0,0,0.051269939
0,0.035431528,0,0,0,0,0.091502305,0.099851612,0.040214517,0,0,0.121009468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038344823,0,0,0.033577656,0,0,0,0,0,0,0,0,0,0,0.058042743,0,0,0.038836894,0,0,0,0.047084561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022264477,0.123038409,0,0.058974664,0,0,0.014777432,0,0,0,0,0.057537916,0.039184103,0,0,0.018129634,0,0,0,0,0,0,0,0,0,0,0,0.022003118,0,0,0,0,0,0.021652081,0,0,0,0.018542058
0,0.024312856,0,0,0,0.089890839,0,0.095364515,0.013768468,0,0,0.113763053,0,0,0,0.040661066,0.008819037,0.007771646,0,0.017340747,0.013504782,0.016680039,0,0,0.019292768,0,0,0.031424859,0.027638751,0,0.020171564,0,0.024268021,0,0,0,0,0,0,0,0,0.048956253,0.010888352,0,0.036436143,0,0,0,0.031062279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016567614,0.118181916,0,0.036937657,0,0,0.021862548,0.011532351,0,0,0,0,0.033837153,0,0,0.007812121,0.011557913,0,0,0,0,0,0,0,0,0,0,0.036981508,0,0,0,0,0,0.012713179,0,0,0,0
0,0.02568816,0,0,0,0.083643701,0,0.097389171,0.015958275,0,0,0.109097206,0,0,0,0.024568137,0,0.007032493,0,0.016209857,0.016863623,0,0,0,0,0,0,0.027312862,0.017605714,0,0.021260943,0,0.017620094,0.016672015,0.003001293,0,0,0,0.008701771,0,0,0.057913821,0,0,0.024230594,0,0.010058263,0,0.036459154,8.67E-19,0,0.007945099,0.00981621,0,0,0,0.007465548,0,0,0.018977674,0,0,0.012840055,0.094910999,0,0.029054299,0,0,0.01857592,0.011729935,0,0,0,0.027815364,0.022831625,0,0,0.009108406,0.011839627,0.013972027,0,0,0,0,0,0,0.012359023,0,0.005234357,0.019053998,0,0.00407766,0.016422755,0,0,0.008682273,0,0,0,0
0.00552953,0.01954442,0.0057259,0,0,0.084383689,0,0.101801845,0.013892367,0,0,0.106030195,0,0,0.006336015,0.019499464,0.00775439,0.00692307,0.007405308,0.011584835,0.015520774,0.007967097,0,0,0.013876271,0,0.008097665,0.025399933,0.012418692,0,0.026914814,0,0.014559572,0.015670335,0,0,0.005078556,0.01321068,0,0,0,0.050585496,0,0,0.019093672,0,0.007476411,0,0.031061475,0.010581363,0.012183368,0,0,0.004791695,0.013868856,0,0,0.005010415,0,0,0,0.008936008,0.008915009,0.098045317,0,0.021305053,0,0,0.019981311,0.008677967,0,0,0,0,0.022239474,0.018200494,0,0.011589245,0.007416392,0,0,0,0,0,0.00996879,0,0.010924171,0,0.004672247,0.018519983,0,0.004158702,0,0,0.005655482,0.011016187,0,0,0,0
0,0.017895153,0.003786626,0,0,0.08630097,0,0.099958878,0.01804763,0,0,0.107726092,0,0,0.006062544,0.018871811,0.005110185,0.004443676,0.005180488,0.015556825,0.013318939,0.00339098,0,0,0.006597624,0,0,0.026003723,0.009641306,0,0.025308333,0,0.011841192,0.006192618,0,0,0.00596515,0.009907943,0.002469964,0,0,0.050424071,0,0,0.015042724,0,0.006648529,0,0.034492182,0.008969722,0.011873047,0.003461119,0.007203335,0.005716922,0.007707752,0,0,0.003400896,0.006415847,0.011923205,0,0,0.008339166,0.095565414,0,0.013391563,0,0.004673788,0.018016342,0.008547633,0.004963418,0,0.006748731,0.01177119,0.023160273,0.021295963,0,0.011544544,0.006529266,0,0,0.006139281,0,0,0.008830088,0,0.011695435,0.004736015,0.004550575,0.00933351,0,0.006001622,0.008184536,0,0.007022337,0.009188262,0,0,0,0.006913048
0.003493794,0.018269435,0.003772733,0,0,0.084161048,0,0.095564028,0.015471346,0,0,0.102194656,0.005395061,0,0.003962165,0.018450041,0.004432002,0.005291589,0.004072284,0.014232867,0.01373782,0.007152619,0,0,0.008256984,0,0,0.026429068,0.007847694,0.002558811,0.026615354,0,0.014523752,0.008193144,0,0,0.005930418,0.008651357,0.00274578,0.00561487,0,0.049229831,0.001587472,0,0.01273153,0,0.007331903,0.003253132,0.031832226,0.008500592,0.009301517,0.004528008,0.004241483,0.006039329,0.003443909,0,0.001551683,0.004235589,0.008542439,0.01031569,0.002843713,0.00494131,0.005830961,0.10228155,0,0.012784706,0,0.002772319,0.016318123,0.011788207,0.003921024,0.004506457,0,0.005413784,0.020764289,0.016528095,0,0.011269197,0.007642592,0.002793667,0,0.007366521,0,0,0.010678262,0,0.011864643,0.002794014,0.005925301,0.010374272,0,0.004360362,0.010130647,0,0.005860622,0.008386712,0,0,0,0.006171598
0.003119274,0.017844507,0.003566418,0.001274896,0,0.057147396,0.027984714,0.096184031,0.014269595,0,0,0.102581371,0.004063004,0.002597457,0.003408113,0.014886127,0.005873185,0.006792452,0.004444441,0.013506792,0.012524043,0.004309638,0,0,0.008816348,0,0.002261829,0.027211132,0.002056276,0.003361537,0.024511455,0,0.013687817,0.010497342,0.002176805,0,0.006193337,0.006540728,0.002458608,0.003491589,0.00317561,0.048084087,0.0023058,0.003956659,0.012998228,0,0.006339868,0.001922412,0.031996143,0.007701528,0.010373547,0.004729281,0.003738156,0.006575495,0.00332865,0,0.00323971,0.002127995,0.007571298,0.011751127,0.002055881,0.003906001,0.00615714,0.103871625,0,0.013648359,0,0.002705339,0.01496775,0.009533689,0,0.004632205,0.002143228,0.007317208,0.01875837,0.017556325,0,0.010927243,0.005643493,0.005087475,0,0.005654032,0,0,0.00436594,0.003856369,0.010893194,0.002929625,0.006803131,0.012907869,0,0.004053964,0.007078061,0.005699382,0.00778239,0.009249738,0.002624218,0,0,0.005632909
0.00422329,0.017140049,0.004037002,0.002449752,0,0.056828839,0.02971662,0.095613415,0.01363725,0,0,0.102011397,0.003552265,0.001353114,0.00392298,0.014758576,0.005129957,0.00665961,0.003961612,0.01134729,0.012871199,0.003818466,0,0,0.007943733,0.001636484,0.002307474,0.027210858,0.002540031,0.003697317,0.023222095,0,0.011314172,0.010324844,0.001428725,0,0.006826888,0.005057386,0.002388589,0.004070957,0.00274719,0.047324225,0.001865328,0.003692685,0.012110134,0.000717706,0.005384415,0.001701308,0.03240198,0.007668763,0.010999804,0.00516878,0.005195504,0.006508102,0.002481271,0,0.002945707,0.002367887,0.00907179,0.010525122,0.00211917,0.004217715,0.005328324,0.101356338,0.000389609,0.013928664,0.001229975,0.003123276,0.016271763,0.009575895,0.002315322,0.00367322,0.004094831,0.006412503,0.02038092,0.015870716,2.14E-05,0.011139025,0.005595145,0.004575321,0,0.006042873,0,0,0.005010701,0.00511469,0.010322481,0.002147178,0.00651116,0.012617229,0.00046287,0.003833247,0.006181024,0.006634149,0.008832353,0.009131019,0.002555797,0,0.003661904,0.005442261
0.00422329,0.017140049,0.004037002,0.002449752,0,0.056828839,0.02971662,0.095613415,0.01363725,0,0,0.102011397,0.003552265,0.001353114,0.00392298,0.014758576,0.005129957,0.00665961,0.003961612,0.01134729,0.012871199,0.003818466,0,0,0.007943733,0.001636484,0.002307474,0.027210858,0.002540031,0.003697317,0.023222095,0,0.011314172,0.010324844,0.001428725,0,0.006826888,0.005057386,0.002388589,0.004070957,0.00274719,0.047324225,0.001865328,0.003692685,0.012110134,0.000717706,0.005384415,0.001701308,0.03240198,0.007668763,0.010999804,0.00516878,0.005195504,0.006508102,0.002481271,0,0.002945707,0.002367887,0.00907179,0.010525122,0.00211917,0.004217715,0.005328324,0.101356338,0.000389609,0.013928664,0.001229975,0.003123276,0.016271763,0.009575895,0.002315322,0.00367322,0.004094831,0.006412503,0.02038092,0.015870716,2.14E-05,0.011139025,0.005595145,0.004575321,0,0.006042873,0,0,0.005010701,0.00511469,0.010322481,0.002147178,0.00651116,0.012617229,0.00046287,0.003833247,0.006181024,0.006634149,0.008832353,0.009131019,0.002555797,0,0.003661904,0.005442261
