,weight
ADBE,0.03815666425174683
GOOGL,0.09298697209878427
AMZN,0.09930320684157772
AMGN,0.020973123728063463
AAPL,0.11567074928391477
ADP,0.05642625694117558
AVGO,0.02471846219875945
CSCO,0.03876585619862238
CMCSA,0.04368982253207156
EA,0.017890850606945376
FB,0.05014907291569995
GILD,0.048474833369380826
INTC,0.04245147418029026
MXIM,0.04365073720540382
MU,0.0203608167501853
MSFT,0.0998476689480083
MDLZ,0.044897814363066745
NFLX,0.02442703301222545
PCAR,0.03582674033699416
PYPL,0.04133184423708369
