,weight
ATVI,0.003119215217947973
ADBE,0.017843365099266477
AMD,0.0035664084823840542
ALXN,0.0012743906893956712
GOOGL,0.057135377039613175
GOOG,0.02799575753642615
AMZN,0.096183804883857
AMGN,0.01427048053028226
AAPL,0.10258284369578227
AMAT,0.004063148583965188
ASML,0.002596877835704883
ADSK,0.0034085595160159576
ADP,0.014885320426468274
BIDU,0.0058730807464504944
BIIB,0.006792416350606117
BMRN,0.004443954177033052
BKNG,0.013505552845395844
AVGO,0.012523697805424347
CDNS,0.004309055045620758
CHTR,0.008815887556249593
CTAS,0.002263478119448734
CSCO,0.02721041524241177
CTXS,0.002055366695784841
CTSH,0.003362065830831536
CMCSA,0.02451171054373161
COST,0.013688956770994786
CSX,0.010499074640787946
DXCM,0.0021767228730417386
DLTR,0.006194078458833577
EBAY,0.006541728434049976
EA,0.002459134076544202
EXC,0.003491483149571249
EXPE,0.0031755839877799204
FB,0.04808425310592019
FAST,0.002305539238241962
FISV,0.003955923537317636
GILD,0.012997784390157818
ILMN,0.006340046072954861
INCY,0.0019227752043419863
INTC,0.03199645094374434
INTU,0.007701969127270936
ISRG,0.010374043728120345
JD,0.00472923732476825
KLAC,0.0037373465097246543
KHC,0.006575546815550099
LRCX,0.003329921232155145
LBTYK,0.003240529906563234
LULU,0.0021275977160269254
MAR,0.007570687678409178
MXIM,0.011753253562735703
MELI,0.0020565117382339397
MCHP,0.003906399097187715
MU,0.006155648321312279
MSFT,0.10387313356155264
MDLZ,0.013648245817103503
NTES,0.0027048285519216462
NFLX,0.014968081627797537
NVDA,0.009533961944439897
ORLY,0.004631720619394096
PCAR,0.0021423822492777594
PAYX,0.007313667575549303
PYPL,0.018756726029002815
PEP,0.017554733021662966
QCOM,0.01092676546296477
REGN,0.00564504832931846
ROST,0.0050849422125401065
SIRI,0.005655092700422684
SBUX,0.0043665288175715996
SNPS,0.0038568929065075767
TMUS,0.010893970536263587
TTWO,0.002930090816280306
TSLA,0.006803463425051635
TXN,0.01290746805769409
ULTA,0.004054260834099737
VRSN,0.007078173891290125
VRSK,0.005699766073898311
VRTX,0.007782249202374444
WBA,0.009249236274108749
WDAY,0.002624714882393346
XLNX,0.005633396441079577
