county,state,low,med,high
Lee,AR,0.29,0.23,0.15
Lincoln,AR,0.28,0.22,0.15
Little River,AR,0.26,0.21,0.14
Logan,AR,0.27,0.22,0.14
Lonoke,AR,0.26,0.21,0.14
Madison,AR,0.24,0.20,0.13
Marion,AR,0.24,0.20,0.13
Miller,AR,0.26,0.21,0.14
Mississippi,AR,0.27,0.22,0.14
Monroe,AR,0.29,0.23,0.15
Montgomery,AR,0.25,0.20,0.13
Nevada,AR,0.26,0.21,0.14
Newton,AR,0.24,0.20,0.13
Ouachita,AR,0.25,0.20,0.13
Perry,AR,0.26,0.21,0.14
Phillips,AR,0.29,0.23,0.15
Pike,AR,0.26,0.21,0.14
Poinsett,AR,0.29,0.23,0.15
Polk,AR,0.27,0.22,0.14
Pope,AR,0.26,0.21,0.14
Prairie,AR,0.28,0.23,0.15
Pulaski,AR,0.23,0.18,0.11
Randolph,AR,0.26,0.21,0.14
St. Francis,AR,0.29,0.23,0.15
Saline,AR,0.24,0.20,0.13
Scott,AR,0.27,0.22,0.14
Searcy,AR,0.24,0.20,0.13
Sebastian,AR,0.25,0.21,0.13
Sevier,AR,0.27,0.22,0.14
Sharp,AR,0.27,0.22,0.15
Stone,AR,0.27,0.22,0.15
Union,AR,0.25,0.20,0.13
Van Buren,AR,0.27,0.22,0.15
Washington,AR,0.25,0.20,0.13
White,AR,0.28,0.23,0.15
Woodruff,AR,0.28,0.23,0.15
Yell,AR,0.26,0.21,0.14
Alameda,CA,0.07,0.05,0.02
Alpine,CA,0.11,0.08,0.04
Amador,CA,0.11,0.08,0.04
Butte,CA,0.12,0.08,0.04
Calaveras,CA,0.11,0.08,0.04
Colusa,CA,0.13,0.08,0.04
Contra Costa,CA,0.08,0.05,0.03
Del Norte,CA,0.14,0.09,0.05
El Dorado,CA,0.09,0.06,0.03
Fresno,CA,0.12,0.07,0.03
Glenn,CA,0.13,0.08,0.04
Humboldt,CA,0.12,0.08,0.04
Imperial,CA,0.12,0.07,0.04
Inyo,CA,0.11,0.08,0.04
Kern,CA,0.13,0.08,0.04
Kings,CA,0.14,0.09,0.04
Lake,CA,0.13,0.09,0.04
Lassen,CA,0.14,0.09,0.05
Los Angeles,CA,0.10,0.06,0.03
Madera,CA,0.13,0.08,0.04
Marin,CA,0.07,0.05,0.02
Mariposa,CA,0.11,0.08,0.04
Mendocino,CA,0.13,0.09,0.04
Merced,CA,0.13,0.08,0.04
Modoc,CA,0.14,0.09,0.05
Mono,CA,0.11,0.08,0.04
Monterey,CA,0.11,0.07,0.03
Napa,CA,0.08,0.06,0.03
Nevada,CA,0.11,0.07,0.04
Orange,CA,0.08,0.05,0.03
Placer,CA,0.08,0.06,0.03
Plumas,CA,0.14,0.09,0.05
Riverside,CA,0.11,0.07,0.03
Sacramento,CA,0.11,0.07,0.03
San Benito,CA,0.12,0.08,0.04
San Bernardino,CA,0.12,0.07,0.04
San Diego,CA,0.10,0.06,0.03
San Francisco,CA,0.06,0.04,0.02
San Joaquin,CA,0.11,0.07,0.04
San Luis Obispo,CA,0.10,0.07,0.03
San Mateo,CA,0.06,0.04,0.02
Santa Barbara,CA,0.11,0.07,0.03
Santa Clara,CA,0.06,0.04,0.02
Santa Cruz,CA,0.09,0.06,0.03
Shasta,CA,0.12,0.08,0.04
Sierra,CA,0.11,0.07,0.04
Siskiyou,CA,0.14,0.09,0.05
Solano,CA,0.10,0.06,0.03
Sonoma,CA,0.09,0.06,0.03
Stanislaus,CA,0.12,0.08,0.04
Sutter,CA,0.13,0.08,0.04
Tehama,CA,0.13,0.08,0.04
Trinity,CA,0.13,0.08,0.04
Tulare,CA,0.13,0.08,0.04
Tuolumne,CA,0.11,0.08,0.04
Ventura,CA,0.09,0.06,0.03
Yolo,CA,0.10,0.06,0.03
Yuba,CA,0.13,0.08,0.04
Adams,CO,0.12,0.08,0.05
Alamosa,CO,0.13,0.08,0.05
Arapahoe,CO,0.11,0.07,0.04
Archuleta,CO,0.11,0.07,0.04
Baca,CO,0.13,0.08,0.05
Bent,CO,0.15,0.09,0.06
Boulder,CO,0.09,0.06,0.03
Broomfield,CO,0.09,0.06,0.03
Chaffee,CO,0.13,0.08,0.05
Cheyenne,CO,0.15,0.09,0.06
Clear Creek,CO,0.07,0.05,0.03
Conejos,CO,0.13,0.08,0.05
Costilla,CO,0.13,0.08,0.05
Crowley,CO,0.15,0.09,0.06
Custer,CO,0.13,0.08,0.05
Delta,CO,0.12,0.08,0.05
Denver,CO,0.10,0.07,0.04
Dolores,CO,0.11,0.07,0.04
Douglas,CO,0.09,0.06,0.04
Eagle,CO,0.10,0.07,0.04
Elbert,CO,0.10,0.07,0.04
El Paso,CO,0.13,0.08,0.05
Fremont,CO,0.13,0.08,0.05
Garfield,CO,0.13,0.08,0.05
Gilpin,CO,0.07,0.05,0.03
Grand,CO,0.10,0.07,0.04
Gunnison,CO,0.11,0.07,0.04
Hinsdale,CO,0.11,0.07,0.04
Huerfano,CO,0.13,0.08,0.05
Jackson,CO,0.10,0.07,0.04
Jefferson,CO,0.10,0.06,0.04
Kiowa,CO,0.15,0.09,0.06
Kit Carson,CO,0.15,0.09,0.06
Lake,CO,0.13,0.08,0.05
La Plata,CO,0.11,0.07,0.04
Larimer,CO,0.11,0.07,0.04
Las Animas,CO,0.13,0.08,0.05
Lincoln,CO,0.15,0.09,0.06
Logan,CO,0.15,0.09,0.06
Mesa,CO,0.14,0.09,0.05
Mineral,CO,0.13,0.08,0.05
Moffat,CO,0.13,0.08,0.05
Montezuma,CO,0.11,0.07,0.04
Montrose,CO,0.12,0.08,0.05
Morgan,CO,0.15,0.09,0.06
Otero,CO,0.13,0.08,0.05
Ouray,CO,0.12,0.08,0.05
Park,CO,0.13,0.08,0.05
Phillips,CO,0.15,0.09,0.06
Pitkin,CO,0.10,0.07,0.04
Prowers,CO,0.13,0.08,0.05
Pueblo,CO,0.13,0.08,0.05
Rio Blanco,CO,0.13,0.08,0.05
Rio Grande,CO,0.13,0.08,0.05
Routt,CO,0.13,0.08,0.05
Saguache,CO,0.13,0.08,0.05
San Juan,CO,0.11,0.07,0.04
San Miguel,CO,0.12,0.08,0.05
Sedgwick,CO,0.15,0.09,0.06
Summit,CO,0.10,0.07,0.04
Teller,CO,0.14,0.08,0.05
Washington,CO,0.15,0.09,0.06
Weld,CO,0.12,0.08,0.05
Yuma,CO,0.15,0.09,0.06
Fairfield,CT,0.07,0.05,0.03
Hartford,CT,0.08,0.05,0.03
Litchfield,CT,0.08,0.06,0.03
Middlesex,CT,0.08,0.05,0.03
New Haven,CT,0.09,0.06,0.03
New London,CT,0.09,0.06,0.03
Tolland,CT,0.08,0.06,0.03
Windham,CT,0.10,0.07,0.04
Kent,DE,0.14,0.07,0.04
New Castle,DE,0.12,0.06,0.03
Sussex,DE,0.11,0.06,0.03
District of Columbia,DC,0.08,0.07,0.04
Alachua,FL,0.17,0.12,0.08
