county,state,low,med,high
Vermilion,IL,0.18,0.11,0.07
Wabash,IL,0.17,0.10,0.07
Warren,IL,0.16,0.10,0.06
Washington,IL,0.17,0.10,0.06
Wayne,IL,0.17,0.11,0.07
White,IL,0.17,0.10,0.07
Whiteside,IL,0.15,0.09,0.05
Will,IL,0.13,0.08,0.05
Williamson,IL,0.17,0.10,0.06
Winnebago,IL,0.16,0.09,0.06
Woodford,IL,0.15,0.09,0.05
Adams,IN,0.19,0.14,0.09
Allen,IN,0.16,0.12,0.07
Bartholomew,IN,0.15,0.11,0.07
Benton,IN,0.19,0.14,0.09
Blackford,IN,0.20,0.14,0.09
Boone,IN,0.13,0.10,0.06
Brown,IN,0.18,0.13,0.08
Carroll,IN,0.19,0.14,0.09
Cass,IN,0.19,0.14,0.09
Clark,IN,0.18,0.13,0.08
Clay,IN,0.19,0.14,0.09
Clinton,IN,0.19,0.14,0.09
Crawford,IN,0.17,0.13,0.08
Daviess,IN,0.18,0.14,0.09
Dearborn,IN,0.17,0.13,0.08
Decatur,IN,0.19,0.14,0.09
De Kalb,IN,0.20,0.15,0.10
Delaware,IN,0.18,0.13,0.08
Dubois,IN,0.17,0.13,0.08
Elkhart,IN,0.18,0.14,0.09
Fayette,IN,0.19,0.14,0.09
Floyd,IN,0.17,0.13,0.08
Fountain,IN,0.19,0.14,0.09
Franklin,IN,0.17,0.13,0.08
Fulton,IN,0.18,0.13,0.08
Gibson,IN,0.15,0.11,0.07
Grant,IN,0.19,0.14,0.09
Greene,IN,0.18,0.14,0.09
Hamilton,IN,0.11,0.08,0.05
Hancock,IN,0.18,0.13,0.08
Harrison,IN,0.17,0.13,0.08
Hendricks,IN,0.14,0.11,0.06
Henry,IN,0.20,0.14,0.09
Howard,IN,0.19,0.14,0.09
Huntington,IN,0.19,0.14,0.09
Jackson,IN,0.15,0.11,0.07
Jasper,IN,0.18,0.13,0.08
Jay,IN,0.20,0.14,0.09
Jefferson,IN,0.19,0.14,0.09
Jennings,IN,0.19,0.14,0.09
Johnson,IN,0.15,0.12,0.07
Knox,IN,0.17,0.13,0.08
Kosciusko,IN,0.18,0.13,0.08
Lagrange,IN,0.20,0.15,0.10
Lake,IN,0.16,0.11,0.07
La Porte,IN,0.19,0.14,0.09
Lawrence,IN,0.18,0.14,0.09
Madison,IN,0.19,0.14,0.09
Marion,IN,0.17,0.12,0.07
Marshall,IN,0.18,0.13,0.08
Martin,IN,0.18,0.14,0.09
Miami,IN,0.19,0.14,0.09
Monroe,IN,0.16,0.11,0.07
Montgomery,IN,0.19,0.14,0.09
Morgan,IN,0.18,0.13,0.08
Newton,IN,0.18,0.13,0.08
Noble,IN,0.20,0.15,0.10
Ohio,IN,0.17,0.13,0.08
Orange,IN,0.18,0.14,0.09
Owen,IN,0.18,0.14,0.09
Parke,IN,0.19,0.14,0.09
Perry,IN,0.17,0.13,0.08
Pike,IN,0.17,0.13,0.08
Porter,IN,0.15,0.11,0.07
Posey,IN,0.15,0.11,0.07
Pulaski,IN,0.18,0.13,0.08
Putnam,IN,0.18,0.13,0.08
Randolph,IN,0.20,0.14,0.09
Ripley,IN,0.17,0.13,0.08
Rush,IN,0.19,0.14,0.09
St. Joseph,IN,0.17,0.12,0.08
Scott,IN,0.19,0.14,0.09
Shelby,IN,0.18,0.13,0.08
Spencer,IN,0.17,0.13,0.08
Starke,IN,0.18,0.13,0.08
Steuben,IN,0.20,0.15,0.10
Sullivan,IN,0.19,0.14,0.09
Switzerland,IN,0.17,0.13,0.08
Tippecanoe,IN,0.16,0.11,0.07
Tipton,IN,0.19,0.14,0.09
Union,IN,0.19,0.14,0.09
Vanderburgh,IN,0.18,0.13,0.08
Vermillion,IN,0.19,0.14,0.09
Vigo,IN,0.19,0.14,0.08
Wabash,IN,0.19,0.14,0.09
Warren,IN,0.19,0.14,0.09
Warrick,IN,0.15,0.11,0.07
Washington,IN,0.17,0.13,0.08
Wayne,IN,0.19,0.14,0.09
Wells,IN,0.19,0.14,0.09
White,IN,0.19,0.14,0.09
Whitley,IN,0.19,0.14,0.09
Adair,IA,0.20,0.14,0.08
Adams,IA,0.20,0.14,0.08
Allamakee,IA,0.18,0.13,0.07
Appanoose,IA,0.20,0.14,0.08
Audubon,IA,0.20,0.14,0.08
Benton,IA,0.19,0.13,0.08
Black Hawk,IA,0.18,0.12,0.07
Boone,IA,0.17,0.12,0.07
Bremer,IA,0.18,0.13,0.07
Buchanan,IA,0.18,0.12,0.07
Buena Vista,IA,0.17,0.12,0.07
Butler,IA,0.19,0.13,0.08
Calhoun,IA,0.17,0.12,0.07
Carroll,IA,0.17,0.12,0.07
Cass,IA,0.19,0.13,0.08
Cedar,IA,0.19,0.13,0.08
Cerro Gordo,IA,0.17,0.12,0.07
Cherokee,IA,0.17,0.12,0.07
Chickasaw,IA,0.18,0.13,0.07
Clarke,IA,0.20,0.14,0.08
Clay,IA,0.17,0.12,0.07
Clayton,IA,0.18,0.13,0.07
Clinton,IA,0.19,0.13,0.08
Crawford,IA,0.17,0.12,0.07
Dallas,IA,0.15,0.10,0.06
Davis,IA,0.20,0.14,0.08
Decatur,IA,0.20,0.14,0.08
Delaware,IA,0.18,0.12,0.07
Des Moines,IA,0.19,0.13,0.08
Dickinson,IA,0.17,0.12,0.07
Dubuque,IA,0.18,0.12,0.07
Emmet,IA,0.17,0.12,0.07
Fayette,IA,0.18,0.13,0.07
Floyd,IA,0.17,0.12,0.07
Franklin,IA,0.19,0.13,0.08
Fremont,IA,0.19,0.13,0.08
Greene,IA,0.17,0.12,0.07
Grundy,IA,0.19,0.13,0.08
Guthrie,IA,0.20,0.14,0.08
Hamilton,IA,0.19,0.13,0.08
Hancock,IA,0.17,0.12,0.07
Hardin,IA,0.19,0.13,0.08
Harrison,IA,0.19,0.13,0.08
Henry,IA,0.19,0.13,0.08
Howard,IA,0.18,0.13,0.07
Humboldt,IA,0.19,0.13,0.08
Ida,IA,0.17,0.12,0.07
Iowa,IA,0.19,0.13,0.08
Jackson,IA,0.18,0.12,0.07
Jasper,IA,0.18,0.12,0.07
Jefferson,IA,0.20,0.14,0.08
Johnson,IA,0.15,0.10,0.06
Jones,IA,0.19,0.13,0.08
Keokuk,IA,0.20,0.14,0.08
Kossuth,IA,0.17,0.12,0.07
Lee,IA,0.19,0.13,0.08
Linn,IA,0.18,0.12,0.07
Louisa,IA,0.19,0.13,0.08
Lucas,IA,0.20,0.14,0.08
Lyon,IA,0.17,0.12,0.07
Madison,IA,0.18,0.12,0.07
Mahaska,IA,0.20,0.14,0.08
Marion,IA,0.18,0.12,0.07
Marshall,IA,0.19,0.13,0.08
Mills,IA,0.19,0.13,0.08
Mitchell,IA,0.17,0.12,0.07
Monona,IA,0.17,0.12,0.07
Monroe,IA,0.20,0.14,0.08
Montgomery,IA,0.19,0.13,0.08
Muscatine,IA,0.19,0.13,0.08
OBrien,IA,0.17,0.12,0.07
Osceola,IA,0.17,0.12,0.07
Page,IA,0.19,0.13,0.08
Palo Alto,IA,0.17,0.12,0.07
Plymouth,IA,0.19,0.13,0.08
Pocahontas,IA,0.17,0.12,0.07
Polk,IA,0.17,0.11,0.07
Pottawattamie,IA,0.19,0.13,0.08
Poweshiek,IA,0.19,0.13,0.08
Ringgold,IA,0.20,0.14,0.08
Sac,IA,0.17,0.12,0.07
Scott,IA,0.18,0.12,0.07
Shelby,IA,0.19,0.13,0.08
Sioux,IA,0.17,0.12,0.07
Story,IA,0.17,0.12,0.07
Tama,IA,0.19,0.13,0.08
Taylor,IA,0.20,0.14,0.08
Union,IA,0.20,0.14,0.08
Van Buren,IA,0.20,0.14,0.08
Wapello,IA,0.20,0.14,0.08
Warren,IA,0.18,0.12,0.07
Washington,IA,0.20,0.14,0.08
Wayne,IA,0.20,0.14,0.08
Webster,IA,0.19,0.13,0.08
Winnebago,IA,0.17,0.12,0.07
Winneshiek,IA,0.18,0.13,0.07
Woodbury,IA,0.19,0.13,0.08
Worth,IA,0.17,0.12,0.07
Wright,IA,0.19,0.13,0.08
Allen,KS,0.21,0.16,0.10
Anderson,KS,0.21,0.16,0.10
Atchison,KS,0.22,0.16,0.10
Barber,KS,0.21,0.16,0.10
Barton,KS,0.21,0.16,0.10
Bourbon,KS,0.21,0.16,0.10
Brown,KS,0.19,0.15,0.09
Butler,KS,0.19,0.14,0.08
Chase,KS,0.20,0.14,0.09
Chautauqua,KS,0.20,0.14,0.09
Cherokee,KS,0.23,0.17,0.10
Cheyenne,KS,0.20,0.15,0.09
Clark,KS,0.21,0.15,0.09
Clay,KS,0.20,0.15,0.09
Cloud,KS,0.20,0.15,0.09
Coffey,KS,0.20,0.14,0.09
Comanche,KS,0.21,0.16,0.10
Cowley,KS,0.20,0.15,0.09
Crawford,KS,0.23,0.17,0.10
Decatur,KS,0.20,0.15,0.09
Dickinson,KS,0.20,0.15,0.09
Doniphan,KS,0.22,0.16,0.10
Douglas,KS,0.19,0.14,0.08
Edwards,KS,0.21,0.16,0.10
Elk,KS,0.20,0.14,0.09
Ellis,KS,0.20,0.15,0.09
Ellsworth,KS,0.20,0.15,0.09
Finney,KS,0.21,0.15,0.09
Ford,KS,0.21,0.15,0.09
Franklin,KS,0.21,0.16,0.10
Geary,KS,0.23,0.16,0.09
Gove,KS,0.20,0.15,0.09
Graham,KS,0.20,0.15,0.09
Grant,KS,0.21,0.15,0.09
Gray,KS,0.21,0.15,0.09
Greeley,KS,0.20,0.15,0.09
Greenwood,KS,0.20,0.14,0.09
Hamilton,KS,0.21,0.15,0.09
Harper,KS,0.21,0.16,0.10
Harvey,KS,0.19,0.14,0.09
Haskell,KS,0.21,0.15,0.09
Hodgeman,KS,0.21,0.15,0.09
Jackson,KS,0.19,0.15,0.09
Jefferson,KS,0.22,0.16,0.10
Jewell,KS,0.20,0.15,0.09
Johnson,KS,0.15,0.12,0.07
Kearny,KS,0.21,0.15,0.09
Kingman,KS,0.21,0.16,0.10
Kiowa,KS,0.21,0.16,0.10
Labette,KS,0.23,0.17,0.10
Lane,KS,0.20,0.15,0.09
Leavenworth,KS,0.22,0.16,0.10
Lincoln,KS,0.20,0.15,0.09
Linn,KS,0.21,0.16,0.10
Logan,KS,0.20,0.15,0.09
Lyon,KS,0.20,0.14,0.09
McPherson,KS,0.21,0.15,0.10
Marion,KS,0.20,0.14,0.09
Marshall,KS,0.20,0.15,0.09
Meade,KS,0.21,0.15,0.09
Miami,KS,0.21,0.16,0.10
Mitchell,KS,0.20,0.15,0.09
Montgomery,KS,0.23,0.17,0.10
Morris,KS,0.20,0.14,0.09
Morton,KS,0.21,0.15,0.09
Nemaha,KS,0.20,0.15,0.09
Neosho,KS,0.23,0.17,0.10
Ness,KS,0.20,0.15,0.09
Norton,KS,0.20,0.15,0.09
Osage,KS,0.19,0.15,0.09
Osborne,KS,0.20,0.15,0.09
Ottawa,KS,0.20,0.15,0.09
Pawnee,KS,0.21,0.16,0.10
Phillips,KS,0.20,0.15,0.09
Pottawatomie,KS,0.23,0.16,0.09
Pratt,KS,0.21,0.16,0.10
Rawlins,KS,0.20,0.15,0.09
Reno,KS,0.21,0.15,0.10
Republic,KS,0.20,0.15,0.09
Rice,KS,0.21,0.15,0.10
Riley,KS,0.23,0.16,0.09
Rooks,KS,0.20,0.15,0.09
Rush,KS,0.21,0.16,0.10
Russell,KS,0.20,0.15,0.09
Saline,KS,0.20,0.15,0.09
Scott,KS,0.20,0.15,0.09
Sedgwick,KS,0.21,0.16,0.10
Seward,KS,0.21,0.15,0.09
Shawnee,KS,0.21,0.16,0.10
Sheridan,KS,0.20,0.15,0.09
Sherman,KS,0.20,0.15,0.09
Smith,KS,0.20,0.15,0.09
Stafford,KS,0.21,0.16,0.10
Stanton,KS,0.21,0.15,0.09
Stevens,KS,0.21,0.15,0.09
Sumner,KS,0.21,0.16,0.10
Thomas,KS,0.20,0.15,0.09
Trego,KS,0.20,0.15,0.09
Wabaunsee,KS,0.19,0.15,0.09
Wallace,KS,0.20,0.15,0.09
Washington,KS,0.20,0.15,0.09
Wichita,KS,0.20,0.15,0.09
Wilson,KS,0.20,0.14,0.09
Woodson,KS,0.20,0.14,0.09
Wyandotte,KS,0.23,0.16,0.10
Adair,KY,0.27,0.21,0.14
Allen,KY,0.26,0.21,0.14
Anderson,KY,0.23,0.18,0.11
Ballard,KY,0.23,0.18,0.12
Barren,KY,0.26,0.21,0.14
Bath,KY,0.27,0.21,0.14
Bell,KY,0.29,0.22,0.15
Boone,KY,0.19,0.15,0.10
Bourbon,KY,0.24,0.19,0.12
Boyd,KY,0.25,0.20,0.13
Boyle,KY,0.24,0.19,0.13
Bracken,KY,0.27,0.21,0.14
Breathitt,KY,0.28,0.22,0.15
Breckinridge,KY,0.25,0.20,0.13
Bullitt,KY,0.22,0.18,0.11
Butler,KY,0.26,0.21,0.14
Caldwell,KY,0.25,0.20,0.13
Calloway,KY,0.23,0.18,0.12
Campbell,KY,0.21,0.17,0.11
Carlisle,KY,0.23,0.18,0.12
Carroll,KY,0.21,0.17,0.11
Carter,KY,0.25,0.20,0.13
Casey,KY,0.27,0.21,0.14
Christian,KY,0.27,0.20,0.14
Clark,KY,0.24,0.19,0.12
Clay,KY,0.28,0.22,0.15
Clinton,KY,0.27,0.21,0.14
Crittenden,KY,0.25,0.20,0.13
Cumberland,KY,0.27,0.21,0.14
Daviess,KY,0.22,0.17,0.11
Edmonson,KY,0.26,0.21,0.14
Elliott,KY,0.25,0.20,0.13
Estill,KY,0.24,0.18,0.12
Fayette,KY,0.20,0.15,0.10
Fleming,KY,0.27,0.21,0.14
Floyd,KY,0.28,0.21,0.14
Franklin,KY,0.23,0.18,0.11
Fulton,KY,0.23,0.18,0.12
Gallatin,KY,0.21,0.17,0.11
Garrard,KY,0.24,0.19,0.13
Grant,KY,0.21,0.17,0.11
Graves,KY,0.23,0.18,0.12
Grayson,KY,0.25,0.20,0.13
Green,KY,0.27,0.21,0.14
Greenup,KY,0.25,0.20,0.13
Hancock,KY,0.22,0.17,0.11
Hardin,KY,0.25,0.19,0.13
Harlan,KY,0.29,0.22,0.15
Harrison,KY,0.24,0.19,0.12
Hart,KY,0.26,0.21,0.14
Henderson,KY,0.24,0.19,0.13
Henry,KY,0.21,0.17,0.11
Hickman,KY,0.23,0.18,0.12
Hopkins,KY,0.25,0.20,0.13
Jackson,KY,0.28,0.22,0.15
Jefferson,KY,0.21,0.16,0.10
Jessamine,KY,0.24,0.19,0.13
Johnson,KY,0.28,0.21,0.14
Kenton,KY,0.20,0.16,0.10
Knott,KY,0.28,0.22,0.15
Knox,KY,0.29,0.22,0.15
Larue,KY,0.24,0.19,0.13
Laurel,KY,0.28,0.22,0.15
Lawrence,KY,0.25,0.20,0.13
Lee,KY,0.28,0.22,0.15
Leslie,KY,0.28,0.22,0.15
Letcher,KY,0.28,0.22,0.15
Lewis,KY,0.27,0.21,0.14
Lincoln,KY,0.24,0.19,0.13
Livingston,KY,0.25,0.20,0.13
Logan,KY,0.26,0.21,0.14
Lyon,KY,0.27,0.20,0.14
McCracken,KY,0.23,0.18,0.12
McCreary,KY,0.26,0.21,0.14
McLean,KY,0.24,0.19,0.13
Madison,KY,0.24,0.18,0.12
Magoffin,KY,0.28,0.21,0.14
Marion,KY,0.24,0.19,0.13
Marshall,KY,0.23,0.18,0.12
Martin,KY,0.28,0.21,0.14
Mason,KY,0.27,0.21,0.14
Meade,KY,0.25,0.20,0.13
Menifee,KY,0.27,0.21,0.14
Mercer,KY,0.23,0.18,0.11
Metcalfe,KY,0.26,0.21,0.14
Monroe,KY,0.26,0.21,0.14
Montgomery,KY,0.27,0.21,0.14
Morgan,KY,0.27,0.21,0.14
Muhlenberg,KY,0.25,0.20,0.13
Nelson,KY,0.24,0.19,0.13
Nicholas,KY,0.24,0.19,0.12
Ohio,KY,0.24,0.19,0.13
Oldham,KY,0.21,0.17,0.11
Owen,KY,0.21,0.17,0.11
Owsley,KY,0.28,0.22,0.15
Pendleton,KY,0.21,0.17,0.11
Perry,KY,0.28,0.22,0.15
Pike,KY,0.28,0.21,0.14
Powell,KY,0.24,0.18,0.12
Pulaski,KY,0.26,0.21,0.14
Robertson,KY,0.27,0.21,0.14
Rockcastle,KY,0.28,0.22,0.15
Rowan,KY,0.27,0.21,0.14
Russell,KY,0.27,0.21,0.14
Scott,KY,0.24,0.19,0.12
Shelby,KY,0.21,0.17,0.11
Simpson,KY,0.26,0.21,0.14
Spencer,KY,0.22,0.18,0.11
Taylor,KY,0.27,0.21,0.14
Todd,KY,0.27,0.20,0.14
Trigg,KY,0.27,0.20,0.14
Trimble,KY,0.21,0.17,0.11
Union,KY,0.24,0.19,0.13
Warren,KY,0.22,0.17,0.11
Washington,KY,0.24,0.19,0.13
Wayne,KY,0.26,0.21,0.14
Webster,KY,0.24,0.19,0.13
Whitley,KY,0.29,0.22,0.15
Wolfe,KY,0.28,0.22,0.15
Woodford,KY,0.23,0.18,0.11
Acadia Parish,LA,0.26,0.19,0.11
Allen Parish,LA,0.27,0.20,0.12
Ascension Parish,LA,0.23,0.17,0.10
Assumption Parish,LA,0.28,0.20,0.13
Avoyelles Parish,LA,0.30,0.22,0.14
Beauregard Parish,LA,0.27,0.20,0.12
Bienville Parish,LA,0.27,0.19,0.12
Bossier Parish,LA,0.25,0.17,0.11
Caddo Parish,LA,0.25,0.17,0.10
Calcasieu Parish,LA,0.26,0.19,0.12
Caldwell Parish,LA,0.29,0.20,0.13
Cameron Parish,LA,0.25,0.18,0.11
Catahoula Parish,LA,0.30,0.22,0.14
Claiborne Parish,LA,0.27,0.19,0.12
Concordia Parish,LA,0.30,0.22,0.14
De Soto Parish,LA,0.27,0.19,0.12
East Baton Rouge Parish,LA,0.22,0.15,0.09
East Carroll Parish,LA,0.29,0.20,0.13
East Feliciana Parish,LA,0.26,0.19,0.12
Evangeline Parish,LA,0.27,0.19,0.12
Franklin Parish,LA,0.29,0.20,0.13
Grant Parish,LA,0.30,0.22,0.14
Iberia Parish,LA,0.27,0.19,0.11
Iberville Parish,LA,0.26,0.19,0.12
Jackson Parish,LA,0.29,0.20,0.13
Jefferson Parish,LA,0.22,0.16,0.09
Jefferson Davis Parish,LA,0.25,0.18,0.11
Lafayette Parish,LA,0.23,0.16,0.10
Lafourche Parish,LA,0.28,0.20,0.13
La Salle Parish,LA,0.30,0.22,0.14
Lincoln Parish,LA,0.27,0.19,0.12
Livingston Parish,LA,0.27,0.20,0.12
Madison Parish,LA,0.29,0.20,0.13
Morehouse Parish,LA,0.29,0.20,0.13
Natchitoches Parish,LA,0.27,0.19,0.12
Orleans Parish,LA,0.22,0.15,0.09
Ouachita Parish,LA,0.25,0.18,0.11
Plaquemines Parish,LA,0.26,0.18,0.11
Pointe Coupee Parish,LA,0.26,0.19,0.12
Rapides Parish,LA,0.28,0.20,0.12
Red River Parish,LA,0.27,0.19,0.12
Richland Parish,LA,0.29,0.20,0.13
Sabine Parish,LA,0.27,0.19,0.12
St. Bernard Parish,LA,0.26,0.18,0.11
St. Charles Parish,LA,0.24,0.17,0.10
St. Helena Parish,LA,0.27,0.20,0.12
St. James Parish,LA,0.24,0.17,0.10
St. John the Baptist Parish,LA,0.24,0.17,0.10
St. Landry Parish,LA,0.27,0.19,0.12
St. Martin Parish,LA,0.27,0.19,0.11
St. Mary Parish,LA,0.27,0.19,0.11
St. Tammany Parish,LA,0.22,0.16,0.10
Tangipahoa Parish,LA,0.27,0.19,0.12
Tensas Parish,LA,0.29,0.20,0.13
Terrebonne Parish,LA,0.26,0.19,0.12
Union Parish,LA,0.29,0.20,0.13
Vermilion Parish,LA,0.26,0.19,0.11
Vernon Parish,LA,0.28,0.20,0.12
Washington Parish,LA,0.27,0.19,0.12
Webster Parish,LA,0.25,0.17,0.11
West Baton Rouge Parish,LA,0.26,0.19,0.12
West Carroll Parish,LA,0.29,0.20,0.13
West Feliciana Parish,LA,0.26,0.19,0.12
Winn Parish,LA,0.30,0.22,0.14
Androscoggin,ME,0.13,0.09,0.07
Aroostook,ME,0.14,0.10,0.08
Cumberland,ME,0.11,0.08,0.06
Franklin,ME,0.14,0.10,0.09
Hancock,ME,0.13,0.09,0.08
Kennebec,ME,0.13,0.10,0.08
Knox,ME,0.13,0.09,0.08
Lincoln,ME,0.13,0.09,0.08
Oxford,ME,0.14,0.10,0.09
Penobscot,ME,0.14,0.10,0.08
Piscataquis,ME,0.14,0.10,0.09
Sagadahoc,ME,0.11,0.08,0.07
Somerset,ME,0.14,0.10,0.09
Waldo,ME,0.13,0.09,0.08
Washington,ME,0.14,0.10,0.08
York,ME,0.11,0.08,0.07
Allegany,MD,0.14,0.10,0.05
Anne Arundel,MD,0.10,0.07,0.04
Baltimore,MD,0.10,0.07,0.04
Calvert,MD,0.11,0.08,0.04
Caroline,MD,0.11,0.08,0.04
Carroll,MD,0.10,0.07,0.04
Cecil,MD,0.12,0.08,0.04
Charles,MD,0.10,0.07,0.04
Dorchester,MD,0.11,0.08,0.04
Frederick,MD,0.09,0.07,0.04
Garrett,MD,0.14,0.10,0.05
Harford,MD,0.10,0.07,0.04
Howard,MD,0.07,0.05,0.02
Kent,MD,0.11,0.08,0.04
Montgomery,MD,0.08,0.05,0.03
Prince Georges,MD,0.10,0.07,0.04
Queen Annes,MD,0.11,0.08,0.04
St. Marys,MD,0.11,0.08,0.04
Somerset,MD,0.13,0.09,0.05
Talbot,MD,0.11,0.08,0.04
Washington,MD,0.13,0.09,0.05
Wicomico,MD,0.13,0.09,0.05
Worcester,MD,0.13,0.09,0.05
Baltimore city,MD,0.13,0.08,0.04
Barnstable,MA,0.06,0.04,0.03
Berkshire,MA,0.08,0.05,0.04
Bristol,MA,0.09,0.06,0.04
Dukes,MA,0.06,0.04,0.03
Essex,MA,0.07,0.05,0.03
Franklin,MA,0.08,0.05,0.04
Hampden,MA,0.08,0.05,0.04
Hampshire,MA,0.07,0.05,0.03
Middlesex,MA,0.06,0.04,0.03
Nantucket,MA,0.06,0.04,0.03
Norfolk,MA,0.06,0.04,0.03
Plymouth,MA,0.07,0.05,0.04
Suffolk,MA,0.07,0.04,0.03
Worcester,MA,0.07,0.05,0.04
Alcona,MI,0.17,0.10,0.06
Alger,MI,0.19,0.11,0.07
Allegan,MI,0.18,0.11,0.07
Alpena,MI,0.17,0.10,0.06
Antrim,MI,0.18,0.10,0.06
Arenac,MI,0.18,0.10,0.06
Baraga,MI,0.17,0.09,0.06
Barry,MI,0.17,0.10,0.06
Bay,MI,0.16,0.09,0.06
Benzie,MI,0.15,0.09,0.05
Berrien,MI,0.17,0.09,0.06
Branch,MI,0.19,0.11,0.07
Calhoun,MI,0.17,0.10,0.06
Cass,MI,0.17,0.10,0.06
Charlevoix,MI,0.18,0.10,0.06
Cheboygan,MI,0.17,0.10,0.06
Chippewa,MI,0.19,0.11,0.07
Clare,MI,0.20,0.11,0.07
Clinton,MI,0.15,0.08,0.05
Crawford,MI,0.17,0.10,0.06
Delta,MI,0.19,0.11,0.07
Dickinson,MI,0.17,0.09,0.06
Eaton,MI,0.15,0.08,0.05
Emmet,MI,0.18,0.10,0.06
Genesee,MI,0.20,0.11,0.07
Gladwin,MI,0.18,0.10,0.06
Gogebic,MI,0.17,0.09,0.06
Grand Traverse,MI,0.15,0.09,0.05
Gratiot,MI,0.20,0.11,0.07
Hillsdale,MI,0.19,0.11,0.07
Houghton,MI,0.17,0.09,0.06
Huron,MI,0.19,0.11,0.07
Ingham,MI,0.16,0.09,0.05
Ionia,MI,0.20,0.11,0.07
Iosco,MI,0.18,0.10,0.06
Iron,MI,0.17,0.09,0.06
Isabella,MI,0.20,0.11,0.07
Jackson,MI,0.19,0.11,0.07
Kalamazoo,MI,0.17,0.10,0.06
Kalkaska,MI,0.18,0.10,0.06
Kent,MI,0.16,0.09,0.05
Keweenaw,MI,0.17,0.09,0.06
Lake,MI,0.18,0.10,0.06
Lapeer,MI,0.17,0.10,0.06
Leelanau,MI,0.15,0.09,0.05
Lenawee,MI,0.19,0.11,0.07
Livingston,MI,0.14,0.08,0.05
Luce,MI,0.19,0.11,0.07
Mackinac,MI,0.19,0.11,0.07
Macomb,MI,0.16,0.09,0.06
Manistee,MI,0.15,0.09,0.05
Marquette,MI,0.17,0.09,0.06
Mason,MI,0.18,0.10,0.06
Mecosta,MI,0.20,0.11,0.07
Menominee,MI,0.19,0.11,0.07
Midland,MI,0.16,0.09,0.06
Missaukee,MI,0.18,0.10,0.06
Monroe,MI,0.17,0.10,0.06
Montcalm,MI,0.20,0.11,0.07
Montmorency,MI,0.17,0.10,0.06
Muskegon,MI,0.20,0.11,0.07
Newaygo,MI,0.18,0.10,0.06
Oakland,MI,0.13,0.07,0.04
Oceana,MI,0.18,0.10,0.06
Ogemaw,MI,0.18,0.10,0.06
Ontonagon,MI,0.17,0.09,0.06
Osceola,MI,0.20,0.11,0.07
Oscoda,MI,0.17,0.10,0.06
Otsego,MI,0.17,0.10,0.06
Ottawa,MI,0.15,0.08,0.05
Presque Isle,MI,0.17,0.10,0.06
Roscommon,MI,0.18,0.10,0.06
Saginaw,MI,0.17,0.09,0.06
St. Clair,MI,0.16,0.09,0.06
St. Joseph,MI,0.19,0.11,0.07
Sanilac,MI,0.19,0.11,0.07
Schoolcraft,MI,0.19,0.11,0.07
Shiawassee,MI,0.17,0.10,0.06
Tuscola,MI,0.19,0.11,0.07
Van Buren,MI,0.17,0.10,0.06
Washtenaw,MI,0.13,0.07,0.04
Wayne,MI,0.19,0.10,0.06
Wexford,MI,0.18,0.10,0.06
Aitkin,MN,0.12,0.08,0.04
Anoka,MN,0.11,0.07,0.04
Becker,MN,0.14,0.09,0.05
Beltrami,MN,0.14,0.09,0.05
Benton,MN,0.13,0.09,0.05
Big Stone,MN,0.11,0.07,0.04
Blue Earth,MN,0.12,0.07,0.04
Brown,MN,0.12,0.08,0.04
Carlton,MN,0.12,0.08,0.04
Carver,MN,0.09,0.06,0.03
Cass,MN,0.12,0.08,0.04
Chippewa,MN,0.12,0.08,0.04
Chisago,MN,0.13,0.09,0.05
Clay,MN,0.12,0.08,0.04
Clearwater,MN,0.14,0.09,0.05
Cook,MN,0.12,0.08,0.04
Cottonwood,MN,0.12,0.08,0.04
Crow Wing,MN,0.12,0.08,0.04
Dakota,MN,0.10,0.07,0.04
Dodge,MN,0.12,0.08,0.04
Douglas,MN,0.11,0.07,0.04
Faribault,MN,0.12,0.08,0.04
Fillmore,MN,0.12,0.08,0.04
Freeborn,MN,0.12,0.08,0.04
Goodhue,MN,0.12,0.08,0.04
Grant,MN,0.11,0.07,0.04
Hennepin,MN,0.10,0.06,0.03
Houston,MN,0.12,0.08,0.04
Hubbard,MN,0.14,0.09,0.05
Isanti,MN,0.13,0.09,0.05
Itasca,MN,0.12,0.08,0.04
Jackson,MN,0.12,0.08,0.04
Kanabec,MN,0.13,0.09,0.05
Kandiyohi,MN,0.12,0.08,0.04
Kittson,MN,0.12,0.08,0.04
Koochiching,MN,0.12,0.08,0.04
Lac qui Parle,MN,0.12,0.08,0.04
Lake,MN,0.12,0.08,0.04
Lake of the Woods,MN,0.14,0.09,0.05
Le Sueur,MN,0.12,0.08,0.04
Lincoln,MN,0.12,0.08,0.04
Lyon,MN,0.12,0.08,0.04
McLeod,MN,0.12,0.08,0.04
Mahnomen,MN,0.14,0.09,0.05
Marshall,MN,0.12,0.08,0.04
Martin,MN,0.12,0.08,0.04
Meeker,MN,0.12,0.08,0.04
Mille Lacs,MN,0.13,0.09,0.05
Morrison,MN,0.12,0.08,0.04
Mower,MN,0.12,0.08,0.04
Murray,MN,0.12,0.08,0.04
Nicollet,MN,0.12,0.07,0.04
Nobles,MN,0.12,0.08,0.04
Norman,MN,0.12,0.08,0.04
Olmsted,MN,0.09,0.06,0.03
Otter Tail,MN,0.11,0.07,0.04
