st_cty,vac_rate
LA Livingston Parish,30.8
LA Madison Parish,32
LA Morehouse Parish,36.5
LA Natchitoches Parish,32.3
LA Orleans Parish,57.9
LA Ouachita Parish,35.7
LA Plaquemines Parish,47.5
LA Pointe Coupee Parish,42.6
LA Rapides Parish,37.9
LA Red River Parish,27.6
LA Richland Parish,34.5
LA Sabine Parish,27.6
LA St. Bernard Parish,37.6
LA St. Charles Parish,46
LA St. Helena Parish,23.9
LA St. James Parish,44.4
LA St. John the Baptist Parish,48.2
LA St. Landry Parish,32.1
LA St. Martin Parish,30.1
LA St. Mary Parish,35.7
LA St. Tammany Parish,46.3
LA Tangipahoa Parish,35.9
LA Tensas Parish,47.6
LA Terrebonne Parish,35.7
LA Union Parish,35.9
LA Unknown County,0
LA Vermilion Parish,28.5
LA Vernon Parish,36.6
LA Washington Parish,32.4
LA Webster Parish,34
LA West Baton Rouge Parish,41
LA West Carroll Parish,34.3
LA West Feliciana Parish,76.2
LA Winn Parish,34.6
MA Barnstable County,5.6
MA Berkshire County,52.3
MA Bristol County,57.1
MA Dukes County,3.8
MA Essex County,65.7
MA Franklin County,63.5
MA Hampden County,57.9
MA Hampshire County,61.6
MA Middlesex County,72.5
MA Nantucket County,1.5
MA Norfolk County,71.2
MA Plymouth County,62.7
MA Suffolk County,66.6
MA Unknown County,0
MA Worcester County,63
MD Allegany County,47.2
MD Anne Arundel County,66.9
MD Baltimore County,62.3
MD Baltimore city,54.8
MD Calvert County,58.7
MD Caroline County,49.1
MD Carroll County,63.8
MD Cecil County,51.2
MD Charles County,55.6
MD Dorchester County,52
MD Frederick County,66
MD Garrett County,44.3
MD Harford County,61.6
MD Howard County,74.5
MD Kent County,62
MD Montgomery County,77.8
MD Prince George's County,60.9
MD Queen Anne's County,58.4
MD Somerset County,43.9
MD St. Mary's County,56.4
MD Talbot County,66.5
MD Unknown County,0
MD Washington County,49.6
MD Wicomico County,47.9
MD Worcester County,63.6
ME Androscoggin County,58.7
ME Aroostook County,56.9
ME Cumberland County,75.2
ME Franklin County,54.2
ME Hancock County,67.3
ME Kennebec County,61.4
ME Knox County,73.4
ME Lincoln County,71.1
ME Oxford County,58
ME Penobscot County,60.1
ME Piscataquis County,53.7
ME Sagadahoc County,67.5
ME Somerset County,51.7
ME Unknown County,0
ME Waldo County,61.8
ME Washington County,60.2
ME York County,69.5
MH Unknown County,0
MI Alcona County,49.8
MI Alger County,57.8
MI Allegan County,42.1
MI Alpena County,46.7
MI Antrim County,50
MI Arenac County,45.2
MI Baraga County,50.6
MI Barry County,39.8
MI Bay County,49.2
MI Benzie County,56.8
MI Berrien County,47.3
MI Branch County,37.2
MI Calhoun County,42.2
MI Cass County,36.4
MI Charlevoix County,53.1
MI Cheboygan County,47.2
MI Chippewa County,63
MI Clare County,37.5
MI Clinton County,47.2
MI Crawford County,43
MI Delta County,53.6
MI Dickinson County,58.1
MI Eaton County,47.2
MI Emmet County,62.8
MI Genesee County,42
MI Gladwin County,40.4
MI Gogebic County,54.2
MI Grand Traverse County,59.1
MI Gratiot County,36.7
MI Hillsdale County,31.6
MI Houghton County,44.9
MI Huron County,46.9
MI Ingham County,48.3
MI Ionia County,38.6
MI Iosco County,49
MI Iron County,49
MI Isabella County,37.3
MI Jackson County,42.8
MI Kalamazoo County,50.6
MI Kalkaska County,40.6
MI Kent County,48.3
MI Keweenaw County,50.9
MI Lake County,50.1
MI Lapeer County,40
MI Leelanau County,73.7
MI Lenawee County,41.2
MI Livingston County,49.4
MI Luce County,39.6
MI Mackinac County,65.9
MI Macomb County,47.5
MI Manistee County,51
MI Marquette County,57.7
MI Mason County,50.6
MI Mecosta County,33.6
MI Menominee County,60.8
MI Midland County,49.1
MI Missaukee County,40
MI Monroe County,37.7
MI Montcalm County,33.7
MI Montmorency County,47.3
MI Muskegon County,44.3
MI Newaygo County,35.1
MI Oakland County,56.2
MI Oceana County,43.5
MI Ogemaw County,38
MI Ontonagon County,61.6
MI Osceola County,34.4
MI Oscoda County,37.4
MI Otsego County,48.2
MI Ottawa County,47.1
MI Presque Isle County,53
MI Roscommon County,48.8
MI Saginaw County,44.5
MI Sanilac County,37.2
MI Schoolcraft County,47.7
MI Shiawassee County,43.4
MI St. Clair County,42.5
MI St. Joseph County,36.8
MI Tuscola County,38.8
MI Unknown County,0
MI Van Buren County,44.6
MI Washtenaw County,56.2
MI Wayne County,45
MI Wexford County,42.7
MN Aitkin County,52.7
MN Anoka County,48.5
MN Becker County,46.6
MN Beltrami County,53.8
MN Benton County,33.2
MN Big Stone County,58.1
MN Blue Earth County,52.4
MN Brown County,56.6
MN Carlton County,55
MN Carver County,56.9
MN Cass County,46.6
MN Chippewa County,45.4
MN Chisago County,48.5
MN Clay County,32.6
MN Clearwater County,37.2
MN Cook County,74.5
MN Cottonwood County,48.5
MN Crow Wing County,49.1
MN Dakota County,59
MN Dodge County,50.6
MN Douglas County,49.8
MN Faribault County,49.3
MN Fillmore County,58.8
MN Freeborn County,49.7
MN Goodhue County,57.9
MN Grant County,48.1
MN Hennepin County,64.8
MN Houston County,44.1
MN Hubbard County,40.6
MN Isanti County,35.9
MN Itasca County,49.3
MN Jackson County,42.9
MN Kanabec County,35.7
MN Kandiyohi County,45.3
MN Kittson County,48.9
MN Koochiching County,52.4
MN Lac qui Parle County,50.4
MN Lake County,57.8
MN Lake of the Woods County,49.5
MN Le Sueur County,40
MN Lincoln County,45.3
MN Lyon County,48
MN Mahnomen County,51.9
MN Marshall County,40
MN Martin County,48.4
MN McLeod County,49.9
MN Meeker County,41.5
MN Mille Lacs County,50.5
MN Morrison County,43.3
MN Mower County,52.3
MN Murray County,46.6
MN Nicollet County,54.1
MN Nobles County,49.7
MN Norman County,48.3
MN Olmsted County,65.3
MN Otter Tail County,42.7
MN Pennington County,41.7
MN Pine County,41.7
MN Pipestone County,46.2
MN Polk County,34.8
MN Pope County,49.4
MN Ramsey County,62
MN Red Lake County,48.4
MN Redwood County,45.6
MN Renville County,48.8
MN Rice County,55.4
MN Rock County,46.5
MN Roseau County,44.2
MN Scott County,58.7
MN Sherburne County,36.5
MN Sibley County,41.6
MN St. Louis County,59.1
MN Stearns County,49.9
MN Steele County,51.7
MN Stevens County,48.7
MN Swift County,50.1
MN Todd County,35.6
MN Traverse County,52.7
MN Unknown County,0
MN Wabasha County,64.8
MN Wadena County,44
MN Waseca County,48.8
MN Washington County,59.1
MN Watonwan County,48.5
MN Wilkin County,28.9
MN Winona County,54.6
MN Wright County,44.8
MN Yellow Medicine County,50.9
MO Adair County,39.5
MO Andrew County,31.3
MO Atchison County,48.9
MO Audrain County,33
MO Barry County,38.3
MO Barton County,29.4
MO Bates County,32.7
MO Benton County,41.2
MO Bollinger County,28.3
MO Boone County,56
MO Buchanan County,32.9
MO Butler County,29
MO Caldwell County,32.9
MO Callaway County,40.5
MO Camden County,40.1
MO Cape Girardeau County,41
MO Carroll County,42.3
MO Carter County,29
MO Cass County,43.5
MO Cedar County,28.7
MO Chariton County,32.6
MO Christian County,40.9
MO Clark County,24.2
MO Clay County,45.3
MO Clinton County,40.1
MO Cole County,46.9
MO Cooper County,36.9
MO Crawford County,28
MO Dade County,39.7
MO Dallas County,31.7
MO Daviess County,26.4
MO DeKalb County,24.1
MO Dent County,25.5
MO Douglas County,21.1
MO Dunklin County,29.4
MO Franklin County,47.6
MO Gasconade County,44.3
MO Gentry County,36.9
MO Greene County,44.1
MO Grundy County,30.4
MO Harrison County,30
MO Henry County,38.6
MO Hickory County,35.3
MO Holt County,36.8
MO Howard County,38.2
MO Howell County,28.5
MO Iron County,32.1
MO Jackson County,48.5
MO Jasper County,40.9
MO Jefferson County,39.4
MO Johnson County,33.8
MO Knox County,34.7
MO Laclede County,32.6
MO Lafayette County,39.7
MO Lawrence County,32.8
MO Lewis County,32.9
MO Lincoln County,33.2
MO Linn County,41.2
MO Livingston County,39.3
MO Macon County,34.4
MO Madison County,31.2
MO Maries County,31.8
MO Marion County,36.6
MO McDonald County,24.3
MO Mercer County,30.1
MO Miller County,28.6
MO Mississippi County,37
MO Moniteau County,30.5
MO Monroe County,38.8
MO Montgomery County,42.2
MO Morgan County,33.8
MO New Madrid County,27
MO Newton County,21.8
MO Nodaway County,41.4
MO Oregon County,26.5
MO Osage County,33.4
MO Ozark County,27.9
MO Pemiscot County,26.3
MO Perry County,32.5
MO Pettis County,36
MO Phelps County,37.8
MO Pike County,32.6
MO Platte County,48.1
MO Polk County,34.8
MO Pulaski County,43.1
MO Putnam County,27.4
MO Ralls County,24.7
MO Randolph County,32.8
MO Ray County,33.4
MO Reynolds County,21.6
MO Ripley County,24.5
MO Saline County,40.4
MO Schuyler County,22.8
MO Scotland County,23.7
MO Scott County,37.8
MO Shannon County,24
MO Shelby County,40.6
MO St. Charles County,53.9
MO St. Clair County,30.1
MO St. Francois County,37.1
MO St. Louis County,56.6
MO St. Louis city,50.3
MO Ste. Genevieve County,38.3
MO Stoddard County,32.1
MO Stone County,34.1
MO Sullivan County,36.5
MO Taney County,36.1
MO Texas County,28
MO Unknown County,0
MO Vernon County,29.4
MO Warren County,36
MO Washington County,27.7
MO Wayne County,31.9
MO Webster County,38.1
MO Worth County,36.2
MO Wright County,32.3
MP Unknown County,0
MS Adams County,42.8
MS Alcorn County,30.6
MS Amite County,28.8
MS Attala County,40.2
MS Benton County,37.5
MS Bolivar County,47.9
MS Calhoun County,30
MS Carroll County,33.1
MS Chickasaw County,38.4
MS Choctaw County,27.6
MS Claiborne County,43.1
MS Clarke County,41.4
MS Clay County,35.7
MS Coahoma County,38.5
MS Copiah County,42.1
MS Covington County,36.3
MS DeSoto County,40.4
MS Forrest County,31.9
MS Franklin County,36.1
MS George County,28.3
MS Greene County,29.4
MS Grenada County,39.6
MS Hancock County,31.8
MS Harrison County,43
MS Hinds County,46.4
MS Holmes County,46
MS Humphreys County,43.8
MS Issaquena County,31.4
MS Itawamba County,27.8
MS Jackson County,33.7
MS Jasper County,37.2
MS Jefferson County,54.6
MS Jefferson Davis County,33.6
MS Jones County,32.3
MS Kemper County,34.4
MS Lafayette County,46.1
MS Lamar County,44.8
MS Lauderdale County,40.8
MS Lawrence County,44.4
MS Leake County,35.7
MS Lee County,35.3
MS Leflore County,49.7
MS Lincoln County,30.2
MS Lowndes County,40.3
MS Madison County,52.9
MS Marion County,31.9
MS Marshall County,39.9
MS Monroe County,39.6
MS Montgomery County,41.9
MS Neshoba County,31.9
MS Newton County,41
MS Noxubee County,43.8
MS Oktibbeha County,42.7
MS Panola County,35.5
MS Pearl River County,33.2
MS Perry County,27
MS Pike County,38.7
MS Pontotoc County,32.9
MS Prentiss County,34.7
MS Quitman County,39
MS Rankin County,41.6
MS Scott County,36.1
MS Sharkey County,44.6
MS Simpson County,35.3
MS Smith County,25.4
MS Stone County,33.9
MS Sunflower County,42.3
MS Tallahatchie County,32.3
MS Tate County,33.3
MS Tippah County,32.3
MS Tishomingo County,31
MS Tunica County,37.2
MS Union County,30.6
MS Unknown County,0
MS Walthall County,29.5
MS Warren County,45.1
MS Washington County,39.3
MS Wayne County,27.6
MS Webster County,37.3
MS Wilkinson County,50.9
MS Winston County,38.3
MS Yalobusha County,50.5
MS Yazoo County,37.1
MT Beaverhead County,45.6
MT Big Horn County,69.6
MT Blaine County,72.3
MT Broadwater County,32.8
MT Carbon County,41.4
MT Carter County,26.1
MT Cascade County,45.6
MT Chouteau County,27.7
MT Custer County,35.3
MT Daniels County,34
MT Dawson County,31.5
MT Deer Lodge County,49.7
MT Fallon County,27.4
MT Fergus County,40.3
MT Flathead County,35.6
MT Gallatin County,54.4
MT Garfield County,16.6
MT Glacier County,90.6
MT Golden Valley County,37.4
MT Granite County,33.6
MT Hill County,51.7
MT Jefferson County,43.9
MT Judith Basin County,33.2
MT Lake County,49.6
MT Lewis and Clark County,52.5
MT Liberty County,26.5
MT Lincoln County,30.2
MT Madison County,39.6
MT McCone County,14.8
MT Meagher County,44.4
MT Mineral County,48.3
MT Missoula County,57.1
MT Musselshell County,30.1
MT Park County,56
MT Petroleum County,27.5
MT Phillips County,36.4
MT Pondera County,48.2
MT Powder River County,18.1
MT Powell County,38.1
MT Prairie County,32.7
MT Ravalli County,42.8
MT Richland County,29.6
MT Roosevelt County,48.8
MT Rosebud County,68.1
MT Sanders County,32.5
MT Sheridan County,40.7
MT Silver Bow County,53.5
MT Stillwater County,36.6
MT Sweet Grass County,34.3
MT Teton County,37.8
MT Toole County,36.9
MT Treasure County,38.9
MT Unknown County,0
MT Valley County,37.5
MT Wheatland County,29.8
MT Wibaux County,23.2
MT Yellowstone County,43.8
NC Alamance County,49.4
NC Alexander County,38.5
NC Alleghany County,52.5
NC Anson County,30.8
NC Ashe County,47
NC Avery County,47.8
NC Beaufort County,46.9
NC Bertie County,45.7
NC Bladen County,33
NC Brunswick County,57.3
NC Buncombe County,58.9
NC Burke County,38.5
NC Cabarrus County,46.8
NC Caldwell County,39
NC Camden County,36.5
NC Carteret County,40.9
NC Caswell County,42.9
NC Catawba County,45.6
NC Chatham County,52.5
NC Cherokee County,43.2
NC Chowan County,47.5
NC Clay County,37.3
NC Cleveland County,39.4
NC Columbus County,36
NC Craven County,47.7
NC Cumberland County,52.5
NC Currituck County,46.5
NC Dare County,66.7
NC Davidson County,38.2
NC Davie County,48.1
NC Duplin County,33.5
NC Durham County,61.2
NC Edgecombe County,39.8
NC Forsyth County,52.6
NC Franklin County,44
NC Gaston County,40.6
NC Gates County,41.5
NC Graham County,39.7
NC Granville County,49.7
NC Greene County,36.8
NC Guilford County,53.1
NC Halifax County,44.5
NC Harnett County,32.5
NC Haywood County,50.4
NC Henderson County,49.4
NC Hertford County,33.9
NC Hoke County,27.5
NC Hyde County,59.4
NC Iredell County,44.7
NC Jackson County,46.4
NC Johnston County,43.7
NC Jones County,42.2
NC Lee County,46.5
NC Lenoir County,43.8
NC Lincoln County,40.5
NC Macon County,33.4
NC Madison County,42.2
NC Martin County,83.4
NC McDowell County,38.5
NC Mecklenburg County,54.8
NC Mitchell County,41.9
NC Montgomery County,36.3
NC Moore County,51.3
NC Nash County,49.3
NC New Hanover County,55.4
NC Northampton County,41.9
NC Onslow County,43.6
NC Orange County,68.8
NC Pamlico County,51.7
NC Pasquotank County,43
NC Pender County,43.1
NC Perquimans County,32.9
NC Person County,46.5
NC Pitt County,44.7
NC Polk County,42
NC Randolph County,35.6
NC Richmond County,38.8
NC Robeson County,31.6
NC Rockingham County,41.8
NC Rowan County,36.4
NC Rutherford County,34.8
NC Sampson County,41.7
NC Scotland County,38.6
NC Stanly County,27.5
NC Stokes County,32.9
NC Surry County,41.8
NC Swain County,48.7
NC Transylvania County,49.2
NC Tyrrell County,38.5
NC Union County,46
NC Unknown County,0
NC Vance County,42
NC Wake County,64.4
NC Warren County,38.6
NC Washington County,40.5
NC Watauga County,53.1
NC Wayne County,41.9
NC Wilkes County,38.1
NC Wilson County,43.5
NC Yadkin County,39.7
NC Yancey County,43.5
ND Adams County,44
ND Barnes County,52.7
ND Benson County,41.8
ND Billings County,18.6
ND Bottineau County,44
ND Bowman County,36.3
ND Burke County,33.1
ND Burleigh County,42.3
ND Cass County,51
ND Cavalier County,51.8
ND Dickey County,45.6
ND Divide County,37.1
ND Dunn County,20.3
ND Eddy County,45.8
ND Emmons County,30.6
ND Foster County,47.5
ND Golden Valley County,26.7
ND Grand Forks County,50.3
ND Grant County,18.2
ND Griggs County,43.3
ND Hettinger County,34.3
ND Kidder County,31
ND LaMoure County,43.6
ND Logan County,32.3
ND McHenry County,35.3
ND McIntosh County,38.8
ND McKenzie County,19
ND McLean County,40.2
ND Mercer County,33.8
ND Morton County,37.1
ND Mountrail County,41.8
ND Nelson County,62
ND Oliver County,21.1
ND Pembina County,47.7
ND Pierce County,40.6
ND Ramsey County,49.2
ND Ransom County,53.3
ND Renville County,31.1
ND Richland County,45.7
ND Rolette County,52.6
ND Sargent County,52.1
ND Sheridan County,33
ND Sioux County,35.1
ND Slope County,10.8
ND Stark County,31.4
ND Steele County,44.3
ND Stutsman County,48.2
ND Towner County,39.6
ND Traill County,45
ND Unknown County,0
ND Walsh County,49.2
ND Ward County,38.7
ND Wells County,39.7
ND Williams County,24.1
NE Adams County,21.3
NE Antelope County,22.8
NE Arthur County,5
NE Banner County,13
NE Blaine County,14
NE Boone County,34.8
NE Box Butte County,11.7
NE Boyd County,22.5
NE Brown County,30.2
NE Buffalo County,19.2
NE Burt County,26.6
NE Butler County,36.5
NE Cass County,49.6
NE Cedar County,21.6
NE Chase County,12.3
NE Cherry County,27.8
NE Cheyenne County,33.7
NE Clay County,22.2
NE Colfax County,35.6
NE Cuming County,22.4
NE Custer County,23.5
NE Dakota County,47.3
NE Dawes County,11.1
NE Dawson County,31.7
NE Deuel County,16.2
NE Dixon County,23.9
NE Dodge County,30.2
NE Douglas County,54.3
NE Dundy County,30.5
NE Fillmore County,36.6
NE Franklin County,14.7
NE Frontier County,9.4
NE Furnas County,13.6
NE Gage County,23.3
NE Garden County,27.8
NE Garfield County,7.6
NE Gosper County,16.7
NE Grant County,8.2
NE Greeley County,17.9
NE Hall County,26.8
NE Hamilton County,23.5
NE Harlan County,32.6
NE Hayes County,13.9
NE Hitchcock County,17.8
NE Holt County,26.6
NE Hooker County,33.9
NE Howard County,26.4
NE Jefferson County,44.7
NE Johnson County,37
NE Kearney County,36.9
NE Keith County,11.2
NE Keya Paha County,22.2
NE Kimball County,13.1
NE Knox County,29.7
NE Lancaster County,56.8
NE Lincoln County,10.4
NE Logan County,4.8
NE Loup County,16
NE Madison County,23
NE McPherson County,5.3
NE Merrick County,33.9
NE Morrill County,27.9
NE Nance County,18.2
NE Nemaha County,34.3
NE Nuckolls County,41.6
NE Otoe County,43.5
NE Pawnee County,36.2
NE Perkins County,27.5
NE Phelps County,16.1
NE Pierce County,27.2
NE Platte County,25.3
NE Polk County,20.4
NE Red Willow County,2.4
NE Richardson County,42.3
NE Rock County,12.9
NE Saline County,26.3
NE Sarpy County,51.5
NE Saunders County,36.4
NE Scotts Bluff County,21
NE Seward County,36.4
NE Sheridan County,17.2
NE Sherman County,25.6
NE Sioux County,13.1
NE Stanton County,15.8
NE Thayer County,30
NE Thomas County,6.1
NE Thurston County,54.4
NE Unknown County,0
NE Valley County,7.3
NE Washington County,45.9
NE Wayne County,20.8
NE Webster County,23.6
NE Wheeler County,18
NE York County,37.8
NH Belknap County,57.6
NH Carroll County,67.6
NH Cheshire County,58
NH Coos County,58.4
NH Grafton County,72.3
NH Hillsborough County,58.3
NH Merrimack County,64.4
NH Rockingham County,61.4
NH Strafford County,58
NH Sullivan County,59.8
NH Unknown County,0
NJ Atlantic County,59.1
NJ Bergen County,69.3
NJ Burlington County,64.8
NJ Camden County,59.1
NJ Cape May County,65.5
NJ Cumberland County,46.5
NJ Essex County,61.2
NJ Gloucester County,56.3
NJ Hudson County,67.7
NJ Hunterdon County,65.1
NJ Mercer County,63.6
NJ Middlesex County,65.4
NJ Monmouth County,61.4
NJ Morris County,70.7
NJ Ocean County,49.2
NJ Passaic County,60.1
NJ Salem County,50.5
NJ Somerset County,69.2
NJ Sussex County,57.9
NJ Union County,61.5
NJ Unknown County,0
NJ Warren County,60.9
NM Bernalillo County,49.6
NM Catron County,2.7
NM Chaves County,23.7
NM Cibola County,51.7
NM Colfax County,0
NM Curry County,12.2
NM De Baca County,0
NM Dona Ana County,51
NM Eddy County,28.5
NM Grant County,33.2
NM Guadalupe County,27.1
NM Harding County,0
NM Hidalgo County,4
NM Lea County,8
NM Lincoln County,12.9
NM Los Alamos County,55.1
NM Luna County,35.9
NM McKinley County,98.3
NM Mora County,23.7
NM Otero County,38.1
NM Quay County,10
NM Rio Arriba County,56.9
NM Roosevelt County,0.4
NM San Juan County,58.1
NM San Miguel County,21.9
NM Sandoval County,56
NM Santa Fe County,58.9
NM Sierra County,21.4
NM Socorro County,34.1
NM Taos County,53.4
NM Torrance County,33.9
NM Union County,0
NM Unknown County,0
NM Valencia County,40.2
NV Carson City,56.4
NV Churchill County,40.5
NV Clark County,50.6
NV Douglas County,47.6
NV Elko County,34
NV Esmeralda County,38.8
NV Eureka County,23.7
NV Humboldt County,35.5
NV Lander County,31.2
NV Lincoln County,31.4
NV Lyon County,34.7
NV Mineral County,49.1
NV Nye County,39.3
NV Pershing County,34
NV Storey County,18.2
NV Unknown County,0
NV Washoe County,57.3
NV White Pine County,44.3
NY Albany County,64.9
NY Allegany County,36.2
NY Bronx County,52
NY Broome County,55.4
NY Cattaraugus County,48.2
NY Cayuga County,51.2
NY Chautauqua County,50.8
NY Chemung County,50.5
NY Chenango County,52.9
NY Clinton County,63.2
NY Columbia County,64.9
NY Cortland County,51.7
NY Delaware County,50.6
NY Dutchess County,60.1
NY Erie County,60.3
NY Essex County,64
NY Franklin County,55
NY Fulton County,46
NY Genesee County,51.8
NY Greene County,54.9
NY Hamilton County,81.2
NY Herkimer County,50.2
NY Jefferson County,64.8
NY Kings County,53.7
NY Lewis County,43.5
NY Livingston County,52.2
NY Madison County,54.1
NY Monroe County,62.2
NY Montgomery County,56.6
NY Nassau County,68.6
NY New York County,73.7
NY Niagara County,57.4
NY Oneida County,53.3
NY Onondaga County,64.5
NY Ontario County,60.1
NY Orange County,55.2
NY Orleans County,46.3
NY Oswego County,50.9
NY Otsego County,53.2
NY Putnam County,63
NY Queens County,68.4
NY Rensselaer County,61.7
NY Richmond County,55.7
NY Rockland County,53.7
NY Saratoga County,69.6
NY Schenectady County,62
NY Schoharie County,48.8
NY Schuyler County,54.8
NY Seneca County,47.2
NY St. Lawrence County,52.2
NY Steuben County,50.9
NY Suffolk County,62.8
NY Sullivan County,50.4
NY Tioga County,52.8
NY Tompkins County,71.3
NY Ulster County,62.7
NY Unknown County,0
NY Warren County,68.1
NY Washington County,57.2
NY Wayne County,53.4
NY Westchester County,67.8
NY Wyoming County,44
NY Yates County,46.6
OH Adams County,27.1
OH Allen County,34.8
OH Ashland County,31.6
OH Ashtabula County,40.7
OH Athens County,41.4
OH Auglaize County,33
OH Belmont County,36.4
OH Brown County,32.6
OH Butler County,45.9
OH Carroll County,35.4
OH Champaign County,36.8
OH Clark County,43.2
OH Clermont County,46.5
OH Clinton County,37.5
OH Columbiana County,40.1
OH Coshocton County,29.6
OH Crawford County,36.3
OH Cuyahoga County,53.6
OH Darke County,32
OH Defiance County,40.9
OH Delaware County,62.2
OH Erie County,49.4
OH Fairfield County,46.5
OH Fayette County,34.8
OH Franklin County,52
OH Fulton County,41.2
OH Gallia County,35.3
OH Geauga County,51.7
OH Greene County,55.7
OH Guernsey County,36.2
OH Hamilton County,51.9
OH Hancock County,40
OH Hardin County,29.6
OH Harrison County,34.5
OH Henry County,42.7
OH Highland County,29.7
OH Hocking County,37.3
OH Holmes County,13.1
OH Huron County,36.5
OH Jackson County,35.7
OH Jefferson County,39.9
OH Knox County,34.7
OH Lake County,55.3
OH Lawrence County,33.4
OH Licking County,44.4
OH Logan County,32.1
OH Lorain County,51.8
OH Lucas County,47.5
OH Madison County,41.5
OH Mahoning County,47
OH Marion County,38.8
OH Medina County,53.4
OH Meigs County,35.6
OH Mercer County,31.9
OH Miami County,39.1
OH Monroe County,37
OH Montgomery County,47
OH Morgan County,32.8
OH Morrow County,32.9
OH Muskingum County,39.1
OH Noble County,33.4
OH Ottawa County,46.7
OH Paulding County,35.3
OH Perry County,24.9
OH Pickaway County,40.3
OH Pike County,34.9
OH Portage County,47.4
OH Preble County,35
OH Putnam County,38
OH Richland County,35.3
OH Ross County,40.1
OH Sandusky County,43.4
OH Scioto County,35.9
OH Seneca County,31.8
OH Shelby County,29.5
OH Stark County,44.8
OH Summit County,51.2
OH Trumbull County,45.4
OH Tuscarawas County,35.5
OH Union County,49.5
OH Unknown County,0
OH Van Wert County,23.2
OH Vinton County,27.7
OH Warren County,52.4
OH Washington County,43.7
OH Wayne County,36.8
OH Williams County,34.4
OH Wood County,52.3
OH Wyandot County,28.9
OK Adair County,31.4
OK Alfalfa County,39.8
OK Atoka County,29.1
OK Beaver County,26.4
OK Beckham County,35.4
OK Blaine County,38.9
OK Bryan County,31.7
OK Caddo County,53.1
OK Canadian County,48.5
OK Carter County,39
OK Cherokee County,40.4
OK Choctaw County,26.9
OK Cimarron County,23.6
OK Cleveland County,45.7
OK Coal County,32.8
OK Comanche County,47.5
OK Cotton County,37.4
OK Craig County,47.5
OK Creek County,36.1
OK Custer County,41.4
OK Delaware County,35
OK Dewey County,22.2
OK Ellis County,31.1
OK Garfield County,40.1
OK Garvin County,40.9
OK Grady County,31.5
OK Grant County,37.9
OK Greer County,32.5
OK Harmon County,43.2
OK Harper County,39.4
OK Haskell County,33.8
OK Hughes County,36.9
OK Jackson County,43.8
OK Jefferson County,35.6
OK Johnston County,35.9
OK Kay County,36.5
OK Kingfisher County,39.5
OK Kiowa County,45.5
OK Latimer County,27.4
OK Le Flore County,32.4
OK Lincoln County,34.1
OK Logan County,28.7
OK Love County,36.9
OK Major County,40.9
OK Marshall County,40.1
OK Mayes County,37.2
OK McClain County,42.2
OK McCurtain County,26.7
OK McIntosh County,47.3
OK Murray County,38.7
OK Muskogee County,43.3
OK Noble County,52.1
OK Nowata County,35.7
OK Okfuskee County,39.9
OK Oklahoma County,54.8
OK Okmulgee County,35.6
OK Osage County,27.5
OK Ottawa County,31.2
OK Pawnee County,42.1
OK Payne County,42.8
OK Pittsburg County,37.7
OK Pontotoc County,45.6
OK Pottawatomie County,39.9
OK Pushmataha County,27.7
OK Roger Mills County,29.8
OK Rogers County,39
OK Seminole County,42.5
OK Sequoyah County,32.1
OK Stephens County,41.7
OK Texas County,36.5
OK Tillman County,40.5
OK Tulsa County,51.6
OK Unknown County,0
OK Wagoner County,39.3
OK Washington County,38.1
OK Washita County,34.7
OK Woods County,35.3
OK Woodward County,32.9
OR Baker County,74.2
OR Benton County,67.2
OR Clackamas County,58.8
OR Clatsop County,57.2
OR Columbia County,52.7
OR Coos County,49.8
OR Crook County,42.9
OR Curry County,51.8
OR Deschutes County,60.4
OR Douglas County,46
OR Gilliam County,40.2
OR Grant County,39.5
OR Harney County,37.5
OR Hood River County,72.7
OR Jackson County,48.6
OR Jefferson County,53.3
OR Josephine County,42.2
OR Klamath County,42.7
OR Lake County,33.5
OR Lane County,60.8
OR Lincoln County,62.4
OR Linn County,47.2
OR Malheur County,35.9
OR Marion County,53.3
OR Morrow County,43.2
OR Multnomah County,71.5
OR Polk County,53.6
OR Sherman County,49.4
OR Tillamook County,55.7
OR Umatilla County,44.5
OR Union County,40.1
OR Unknown County,0
OR Wallowa County,50.9
OR Wasco County,56
OR Washington County,65.8
OR Wheeler County,49.6
OR Yamhill County,54.2
PA Adams County,47.8
PA Allegheny County,66.7
PA Armstrong County,52.5
PA Beaver County,41.1
PA Bedford County,33.5
PA Berks County,56.4
PA Blair County,46.1
PA Bradford County,37.6
PA Bucks County,68.8
PA Butler County,56.6
PA Cambria County,50
PA Cameron County,61.7
PA Carbon County,58.2
PA Centre County,56.7
PA Chester County,85.1
PA Clarion County,39.3
PA Clearfield County,45.2
PA Clinton County,39.5
PA Columbia County,55.6
PA Crawford County,44.2
PA Cumberland County,68.5
PA Dauphin County,57.2
PA Delaware County,69.1
PA Elk County,53.5
PA Erie County,52.2
PA Fayette County,51.5
PA Forest County,63.1
PA Franklin County,42.2
PA Fulton County,28.5
PA Greene County,45
PA Huntingdon County,44
PA Indiana County,41.8
PA Jefferson County,45.1
PA Juniata County,38.2
PA Lackawanna County,66.6
PA Lancaster County,56.3
PA Lawrence County,44.5
PA Lebanon County,49.9
PA Lehigh County,69.7
PA Luzerne County,57.7
PA Lycoming County,46.8
PA McKean County,51.2
PA Mercer County,48.9
PA Mifflin County,45.1
PA Monroe County,54
