st_cty,vac_rate
CO Bent County,7.2
CO Boulder County,45.3
CO Broomfield County,44.2
CO Chaffee County,28.8
CO Cheyenne County,8
CO Clear Creek County,28.9
CO Conejos County,6.6
CO Costilla County,34
CO Crowley County,8.2
CO Custer County,21.9
CO Delta County,18.5
CO Denver County,47.3
CO Dolores County,24.3
CO Douglas County,43.7
CO Eagle County,47.4
CO El Paso County,41
CO Elbert County,19.6
CO Fremont County,16.7
CO Garfield County,35.2
CO Gilpin County,41.2
CO Grand County,43.1
CO Gunnison County,38.4
CO Hinsdale County,30.5
CO Huerfano County,20.4
CO Jackson County,17.1
CO Jefferson County,50.6
CO Kiowa County,17.7
CO Kit Carson County,13.1
CO La Plata County,38.1
CO Lake County,40
CO Larimer County,39.7
CO Las Animas County,24.7
CO Lincoln County,18.1
CO Logan County,11.7
CO Mesa County,19.3
CO Mineral County,43
CO Moffat County,24.8
CO Montezuma County,36.9
CO Montrose County,5.9
CO Morgan County,28.6
CO Otero County,17.8
CO Ouray County,27.9
CO Park County,19.3
CO Phillips County,27.6
CO Pitkin County,53.2
CO Prowers County,22.5
CO Pueblo County,27.5
CO Rio Blanco County,9.7
CO Rio Grande County,25.2
CO Routt County,50.3
CO Saguache County,10.4
CO San Juan County,64.7
CO San Miguel County,60.5
CO Sedgwick County,30.2
CO Summit County,62.4
CO Teller County,17
CO Unknown County,0
CO Washington County,12.3
CO Weld County,31.2
CO Yuma County,24
CT Fairfield County,72.6
CT Hartford County,67
CT Litchfield County,68.4
CT Middlesex County,75.7
CT New Haven County,68
CT New London County,68.9
CT Tolland County,60.2
CT Unknown County,0
CT Windham County,55.8
DC District of Columbia,61.3
DC Unknown County,0
DE Kent County,46.2
DE New Castle County,61.4
DE Sussex County,60.7
DE Unknown County,0
FL Alachua County,57.5
FL Baker County,28.9
FL Bay County,41.1
FL Bradford County,35.6
FL Brevard County,55.8
FL Broward County,62.7
FL Calhoun County,30
FL Charlotte County,64
FL Citrus County,50.6
FL Clay County,40.9
FL Collier County,62.8
FL Columbia County,33.9
FL DeSoto County,40.9
FL Dixie County,31.1
FL Duval County,50.2
FL Escambia County,44.5
FL Flagler County,56.5
FL Franklin County,39.6
FL Gadsden County,48.3
FL Gilchrist County,28.6
FL Glades County,26.1
FL Gulf County,42.6
FL Hamilton County,29.5
FL Hardee County,32.1
FL Hendry County,38.5
FL Hernando County,45.8
FL Highlands County,48.9
FL Hillsborough County,53.4
FL Holmes County,26
FL Indian River County,63
FL Jackson County,37.4
FL Jefferson County,56.1
FL Lafayette County,30.5
FL Lake County,57.9
FL Lee County,54.7
FL Leon County,49.4
FL Levy County,38.5
FL Liberty County,29.7
FL Madison County,37.7
FL Manatee County,54
FL Marion County,48.1
FL Martin County,58.7
FL Miami-Dade County,74.6
FL Monroe County,70.2
FL Nassau County,48.8
FL Okaloosa County,47.1
FL Okeechobee County,38
FL Orange County,59
FL Osceola County,60.2
FL Palm Beach County,58.3
FL Pasco County,50
FL Pinellas County,57.1
FL Polk County,46.6
FL Putnam County,34.4
FL Santa Rosa County,42.4
FL Sarasota County,66.8
FL Seminole County,52
FL St. Johns County,59.5
FL St. Lucie County,50.2
FL Sumter County,76.3
FL Suwannee County,30.9
FL Taylor County,32.8
FL Union County,37.8
FL Unknown County,0
FL Volusia County,52
FL Wakulla County,39.7
FL Walton County,40.2
FL Washington County,28.3
FM Unknown County,0
GA Appling County,8.7
GA Atkinson County,7.9
GA Bacon County,7.5
GA Baker County,28.3
GA Baldwin County,8.7
GA Banks County,9.1
GA Barrow County,13.4
GA Bartow County,11
GA Ben Hill County,8.1
GA Berrien County,12.9
GA Bibb County,21.7
GA Bleckley County,5.5
GA Brantley County,8.1
GA Brooks County,26.5
GA Bryan County,30.1
GA Bulloch County,23.5
GA Burke County,35.1
GA Butts County,9.3
GA Calhoun County,13
GA Camden County,37.2
GA Candler County,12.3
GA Carroll County,18.1
GA Catoosa County,12.9
GA Charlton County,7.3
GA Chatham County,41.4
GA Chattahoochee County,99.9
GA Chattooga County,6
GA Cherokee County,26.3
GA Clarke County,18.8
GA Clay County,28
GA Clayton County,16.1
GA Clinch County,27.4
GA Cobb County,36.9
GA Coffee County,23.1
GA Colquitt County,14
GA Columbia County,23.1
GA Cook County,31.3
GA Coweta County,22.7
GA Crawford County,13.7
GA Crisp County,12.8
GA Dade County,16.3
GA Dawson County,7.6
GA DeKalb County,29.6
GA Decatur County,30.6
GA Dodge County,6.2
GA Dooly County,13
GA Dougherty County,14.9
GA Douglas County,24.3
GA Early County,10.5
GA Echols County,11.1
GA Effingham County,18.4
GA Elbert County,13.7
GA Emanuel County,22.6
GA Evans County,16.4
GA Fannin County,16.9
GA Fayette County,30.2
GA Floyd County,7.3
GA Forsyth County,18.5
GA Franklin County,4.7
GA Fulton County,27.5
GA Gilmer County,8.7
GA Glascock County,8.9
GA Glynn County,41.9
GA Gordon County,3.2
GA Grady County,10.5
GA Greene County,37.9
GA Gwinnett County,27.9
GA Habersham County,13.1
GA Hall County,25.4
GA Hancock County,8.2
GA Haralson County,9.7
GA Harris County,16.2
GA Hart County,24.1
GA Heard County,5.3
GA Henry County,16.5
GA Houston County,34.6
GA Irwin County,8.6
GA Jackson County,19.6
GA Jasper County,11.6
GA Jeff Davis County,5.9
GA Jefferson County,22.9
GA Jenkins County,15.5
GA Johnson County,9.8
GA Jones County,18.6
GA Lamar County,8.4
GA Lanier County,8
GA Laurens County,17.4
GA Lee County,5.1
GA Liberty County,37.4
GA Lincoln County,14.7
GA Long County,4.6
GA Lowndes County,21
GA Lumpkin County,2
GA Macon County,12.8
GA Madison County,16.6
GA Marion County,11.1
GA McDuffie County,13.2
GA McIntosh County,31.4
GA Meriwether County,19.5
GA Miller County,11.8
GA Mitchell County,11.4
GA Monroe County,6.9
GA Montgomery County,15.6
GA Morgan County,17.7
GA Murray County,5.5
GA Muscogee County,31
GA Newton County,12.2
GA Oconee County,19
GA Oglethorpe County,23
GA Paulding County,15.6
GA Peach County,9.1
GA Pickens County,10.2
GA Pierce County,21.2
GA Pike County,8.5
GA Polk County,7.9
GA Pulaski County,10
GA Putnam County,8.5
GA Quitman County,11
GA Rabun County,22.9
GA Randolph County,11.1
GA Richmond County,30.6
GA Rockdale County,11.8
GA Schley County,4.7
GA Screven County,30
GA Seminole County,8.2
GA Spalding County,9.5
GA Stephens County,3
GA Stewart County,15.8
GA Sumter County,32.1
GA Talbot County,24.5
GA Taliaferro County,14.1
GA Tattnall County,8.6
GA Taylor County,22.6
GA Telfair County,14.1
GA Terrell County,15.2
GA Thomas County,17.1
GA Tift County,16.5
GA Toombs County,12
GA Towns County,7.6
GA Treutlen County,8.7
GA Troup County,9.6
GA Turner County,15
GA Twiggs County,7.7
GA Union County,8.5
GA Unknown County,0
GA Upson County,30.6
GA Walker County,19.6
GA Walton County,18.4
GA Ware County,19.4
GA Warren County,12
GA Washington County,9.2
GA Wayne County,25.9
GA Webster County,13.3
GA Wheeler County,5.7
GA White County,6.3
GA Whitfield County,17
GA Wilcox County,8.9
GA Wilkes County,11.5
GA Wilkinson County,16.1
GA Worth County,10.4
GU Guam,49.8
GU Unknown County,0
HI Hawaii County,0
HI Honolulu County,0
HI Kalawao County,0
HI Kauai County,0
HI Maui County,0
IA Adair County,43.7
IA Adams County,46.6
IA Allamakee County,45.7
IA Appanoose County,40.7
IA Audubon County,51.5
IA Benton County,49.7
IA Black Hawk County,51.5
IA Boone County,56
IA Bremer County,52.2
IA Buchanan County,46.2
IA Buena Vista County,53
IA Butler County,50.9
IA Calhoun County,52.2
IA Carroll County,54.3
IA Cass County,51.7
IA Cedar County,52.5
IA Cerro Gordo County,54.7
IA Cherokee County,46.9
IA Chickasaw County,46.9
IA Clarke County,46
IA Clay County,46
IA Clayton County,43
IA Clinton County,47.6
IA Crawford County,45.4
IA Dallas County,55.8
IA Davis County,31.8
IA Decatur County,35.3
IA Delaware County,45.8
IA Des Moines County,43.8
IA Dickinson County,52.4
IA Dubuque County,56.7
IA Emmet County,45.8
IA Fayette County,47.5
IA Floyd County,46.1
IA Franklin County,45.7
IA Fremont County,44.4
IA Greene County,50.6
IA Grundy County,53.8
IA Guthrie County,51.8
IA Hamilton County,54.2
IA Hancock County,42.6
IA Hardin County,47.6
IA Harrison County,45.4
IA Henry County,46.3
IA Howard County,44
IA Humboldt County,43.2
IA Ida County,42.6
IA Iowa County,54.8
IA Jackson County,46.1
IA Jasper County,50.5
IA Jefferson County,42.7
IA Johnson County,64.3
IA Jones County,51.9
IA Keokuk County,40.8
IA Kossuth County,47.1
IA Lee County,44
IA Linn County,57.7
IA Louisa County,43.9
IA Lucas County,39.8
IA Lyon County,35.1
IA Madison County,46.8
IA Mahaska County,37.3
IA Marion County,45.4
IA Marshall County,55
IA Mills County,47.4
IA Mitchell County,42
IA Monona County,47.3
IA Monroe County,40.7
IA Montgomery County,49
IA Muscatine County,52
IA O'Brien County,44.2
IA Osceola County,40.3
IA Page County,47.1
IA Palo Alto County,44.5
IA Plymouth County,44.9
IA Pocahontas County,45.7
IA Polk County,57.7
IA Pottawattamie County,48.7
IA Poweshiek County,51.2
IA Ringgold County,44.9
IA Sac County,45.2
IA Scott County,53.4
IA Shelby County,51.9
IA Sioux County,35.6
IA Story County,55.7
IA Tama County,54.1
IA Taylor County,41.3
IA Union County,44.6
IA Unknown County,0
IA Van Buren County,35.6
IA Wapello County,41.7
IA Warren County,51.6
IA Washington County,49.9
IA Wayne County,36.4
IA Webster County,50.4
IA Winnebago County,46.3
IA Winneshiek County,54.6
IA Woodbury County,47.3
IA Worth County,44.8
IA Wright County,49.4
ID Ada County,50
ID Adams County,36.1
ID Bannock County,40.7
ID Bear Lake County,36.8
ID Benewah County,39.7
ID Bingham County,35.5
ID Blaine County,68.8
ID Boise County,28.7
ID Bonner County,35.7
ID Bonneville County,39.2
ID Boundary County,27.3
ID Butte County,35.6
ID Camas County,33.3
ID Canyon County,33.3
ID Caribou County,29.2
ID Cassia County,27.8
ID Clark County,31.1
ID Clearwater County,34.6
ID Custer County,38.5
ID Elmore County,43.4
ID Franklin County,32
ID Fremont County,35
ID Gem County,32.4
ID Gooding County,32.1
ID Idaho County,24.7
ID Jefferson County,29.9
ID Jerome County,31.8
ID Kootenai County,37.3
ID Latah County,47.4
ID Lemhi County,39.5
ID Lewis County,39.3
ID Lincoln County,30.7
ID Madison County,39.5
ID Minidoka County,29.8
ID Nez Perce County,42.5
ID Oneida County,33.4
ID Owyhee County,25.2
ID Payette County,25.5
ID Power County,39.7
ID Shoshone County,36.2
ID Teton County,51.4
ID Twin Falls County,36
ID Unknown County,0
ID Valley County,51.7
ID Washington County,32.9
IL Adams County,48.9
IL Alexander County,28
