FIPS,state,county,Th1_Lower Coverage and Higher Refusal Rates,Th2_Lack of Access to Infomation,Th2_Socio-economically disadvantaged,Th3_Low Healthcare System Capacity,Th3_Weak Healthcare System,Th4_Barriers due to cost,Th4_Barriers due to Transportation,Th5_Lack of Designated Medical Home,Th5_Lack of Routine Care Visits
35011,New Mexico,De Baca County,0.344476281,0.909582935,0.836357848,0.260108246,0.246418338,0.321872015,0.524355301,0.968163005,0.787965616
35013,New Mexico,Doña Ana County,0.196434257,0.796879975,0.896211398,0.361349889,0.241961159,0.622413244,0.622731614,0.99872652,0.836039478
35015,New Mexico,Eddy County,0.23495702,0.462909901,0.602355938,0.220948742,0.212034384,0.595033429,0.423750398,0.989493792,0.827761859
35017,New Mexico,Grant County,0.184336199,0.838904807,0.892390958,0.054122891,0.182425979,0.307545368,0.751034702,0.952244508,0.732250876
35019,New Mexico,Guadalupe County,0.200254696,0.99968163,0.94269341,0.208213945,0.241324419,0.383954155,0.847500796,1,0.851002865
35021,New Mexico,Harding County,0.181470869,0.988220312,0.629099013,0.302769819,0.362623368,0.523718561,0.907991086,0.931868832,0.685450493
35023,New Mexico,Hidalgo County,0.29544731,0.960840497,0.890799109,0.453040433,0.207577205,0.326647564,0.577841452,0.995542821,0.832537408
35025,New Mexico,Lea County,0.433301496,0.544412607,0.837949698,0.812798472,0.329512894,0.709646609,0.320280166,0.99808978,0.843043617
35027,New Mexico,Lincoln County,0.146131805,0.718560968,0.628143903,0.484877428,0.215854823,0.629417383,0.380770455,0.879019421,0.713467049
35028,New Mexico,Los Alamos County,0.243553009,0.219993633,0.013371538,0.264883795,0.163005412,0.29576568,0.097102833,0.868513212,0.784145177
35029,New Mexico,Luna County,0.243553009,0.992040751,0.995224451,0.515759312,0.232091691,0.555555556,0.815982171,0.985673352,0.775230818
35031,New Mexico,McKinley County,0.160140083,0.99840815,0.994906081,0.745622413,0.366443808,0.806431073,0.929958612,0.99968163,0.784145177
35033,New Mexico,Mora County,0.247055078,0.996816301,0.979942693,0.472461,0.167780961,0.377905126,0.593441579,0.99745304,0.819484241
35035,New Mexico,Otero County,0.280483922,0.712830309,0.933460681,0.670805476,0.198344476,0.550780006,0.70614454,0.987901942,0.82362305
35037,New Mexico,Quay County,0.23336517,0.992995861,0.925501433,0.359439669,0.202164916,0.441897485,0.70614454,0.983763133,0.811843362
35039,New Mexico,Rio Arriba County,0.3527539,0.985354982,0.93919134,0.113339701,0.17605858,0.574021012,0.423113658,0.99808978,0.814708691
35041,New Mexico,Roosevelt County,0.407195161,0.676217765,0.780643107,0.255651067,0.47118752,0.64438077,0.380770455,0.995861191,0.843043617
35043,New Mexico,Sandoval County,0.199299586,0.404648201,0.511938873,0.566061764,0.17828717,0.562241324,0.010824578,0.986946832,0.817574021
35045,New Mexico,San Juan County,0.147086915,0.958930277,0.935370901,0.776504298,0.23527539,0.722063037,0.248965298,0.994587711,0.819484241
35047,New Mexico,San Miguel County,0.191658707,0.995542821,0.94301178,0.206940465,0.17637695,0.421521808,0.759312321,0.996497931,0.816300541
35049,New Mexico,Santa Fe County,0.222858962,0.47086915,0.480738618,0.030881885,0.161413563,0.640241961,0.005730659,0.984718243,0.801973894
35051,New Mexico,Sierra County,0.246099968,0.948424069,0.936644381,0.198026106,0.210124164,0.397007323,0.793059535,0.870423432,0.660617638
35053,New Mexico,Socorro County,0.278255333,0.99872652,0.872970392,0.356255969,0.164597262,0.538681948,0.894619548,0.99936326,0.843043617
35055,New Mexico,Taos County,0.288761541,0.981852913,0.888888889,0.098376313,0.167462592,0.601400828,0.455905762,0.980261063,0.775230818
35057,New Mexico,Torrance County,0.245144858,0.963705826,0.971983445,0.890162369,0.169691181,0.441897485,0.130531678,0.975485514,0.817574021
35059,New Mexico,Union County,0.388092964,0.993314231,0.891435848,0.543139128,0.334925183,0.731932506,0.679401465,0.996816301,0.846864056
35061,New Mexico,Valencia County,0.264883795,0.967207896,0.843361987,0.886660299,0.172874881,0.538681948,0.0614454,0.994269341,0.830308819
36001,New York,Albany County,0.204393505,0.360394779,0.264883795,0.181470869,0.045208532,0.069086278,0.776185928,0.551098376,0.322827125
36003,New York,Allegany County,0.299904489,0.661891117,0.542820758,0.520216492,0.153772684,0.231454951,0.887933779,0.666985037,0.404966571
36005,New York,Bronx County,0.344157911,0.714103789,0.963705826,0.06049029,0.173193251,0.339382362,0.781916587,0.851321235,0.316141356
36007,New York,Broome County,0.241961159,0.502069405,0.547914677,0.231773321,0.044253422,0.096147724,0.805157593,0.524673671,0.325374085
36009,New York,Cattaraugus County,0.212989494,0.894937918,0.668576886,0.503979624,0.124482649,0.251830627,0.958611907,0.497930595,0.327921044
36011,New York,Cayuga County,0.240050939,0.473734479,0.372174467,0.155046164,0.17414836,0.137535817,0.76281439,0.506208214,0.325374085
36013,New York,Chautauqua County,0.163323782,0.819484241,0.683540274,0.517669532,0.035339064,0.154727794,0.861190704,0.524673671,0.325374085
36015,New York,Chemung County,0.155046164,0.23241006,0.482012098,0.461318052,0.182107609,0.103788602,0.958611907,0.482330468,0.316141356
36017,New York,Chenango County,0.23400191,0.553963706,0.395097103,0.698503661,0.040751353,0.103788602,0.887933779,0.599172238,0.376313276
36019,New York,Clinton County,0.222540592,0.336517033,0.439668895,0.340019102,0.11716014,0.089780325,0.892709328,0.599172238,0.35370901
36021,New York,Columbia County,0.215536453,0.424068768,0.148997135,0.718242598,0.047755492,0.113339701,0.674307545,0.441260745,0.311047437
36023,New York,Cortland County,0.185928048,0.387137854,0.387456224,0.136899077,0.097739573,0.069723018,0.869149952,0.59057625,0.35370901
36025,New York,Delaware County,0.203120025,0.818847501,0.491563196,0.726520216,0.031200255,0.137535817,0.887933779,0.59057625,0.359439669
36027,New York,Dutchess County,0.163642152,0.205030245,0.240687679,0.311684177,0.051575931,0.11875199,0.621458134,0.561286215,0.327921044
36029,New York,Erie County,0.192613817,0.503979624,0.478191659,0.29512894,0.031836995,0.069723018,0.774912448,0.489971347,0.309455587
36031,New York,Essex County,0.227952881,0.456542502,0.277300223,0.358802929,0.021649156,0.078000637,0.853868195,0.59057625,0.359439669
36033,New York,Franklin County,0.191340337,0.700732251,0.70391595,0.313276027,0.108245782,0.137535817,0.948105699,0.635466412,0.349570201
36035,New York,Fulton County,0.200573066,0.446036294,0.600764088,0.660936008,0.063355619,0.123527539,0.919452404,0.462591531,0.322827125
36037,New York,Genesee County,0.209169054,0.344794651,0.286851321,0.331104744,0.094555874,0.075135307,0.878701051,0.497930595,0.327921044
36039,New York,Greene County,0.323463865,0.88092964,0.535816619,0.610951926,0.042024833,0.096147724,0.88443171,0.631327603,0.359439669
36041,New York,Hamilton County,0.153454314,0.656797198,0.258198026,0.945558739,0.044890162,0.203756765,0.267749124,0.424705508,0.311684177
36043,New York,Herkimer County,0.220630372,0.560967845,0.385864374,0.872015282,0.11684177,0.132760267,0.930276982,0.449219994,0.327921044
36045,New York,Jefferson County,0.229863101,0.11716014,0.577841452,0.228271251,0.091053805,0.148360395,0.912448265,0.657115568,0.384590895
36047,New York,Kings County,0.369309137,0.548869787,0.677809615,0.082139446,0.090735435,0.276663483,0.780006367,0.715377268,0.312002547
36049,New York,Lewis County,0.190703598,0.493791786,0.390639924,0.668258516,0.11843362,0.157274753,0.340974212,0.599172238,0.384590895
36051,New York,Livingston County,0.35402738,0.136580707,0.29512894,0.772365489,0.106653932,0.069723018,0.694683222,0.565743394,0.359439669
36053,New York,Madison County,0.282394142,0.251830627,0.212352754,0.46832219,0.070678128,0.107927412,0.524355301,0.5307227,0.345113021
36055,New York,Monroe County,0.29576568,0.402419612,0.455587393,0.309137217,0.132123528,0.071633238,0.776822668,0.537090099,0.313912767
36057,New York,Montgomery County,0.184654569,0.877109201,0.801973894,0.286851321,0.099331423,0.214899713,0.950971028,0.519898122,0.320916905
36059,New York,Nassau County,0.187838268,0.204075135,0.219356893,0.305316778,0.021330786,0.107927412,0.454950653,0.524673671,0.309455587
36061,New York,New York County,0.224132442,0.307226998,0.475644699,0.019420567,0.014645018,0.144858325,0.781279847,0.675581025,0.337153773
36063,New York,Niagara County,0.188156638,0.508436804,0.512575613,0.52690226,0.095192614,0.071633238,0.760585801,0.453358803,0.313276027
36065,New York,Oneida County,0.23463865,0.618911175,0.491244826,0.276663483,0.081821076,0.092008914,0.760904171,0.519898122,0.316141356
36067,New York,Onondaga County,0.195160777,0.492836676,0.408468641,0.312639287,0.069086278,0.079910856,0.773957338,0.524673671,0.316141356
36069,New York,Ontario County,0.267112385,0.193887297,0.134988857,0.401464502,0.092964024,0.071633238,0.76472461,0.46959567,0.332696593
36071,New York,Orange County,0.166825852,0.478828399,0.387137854,0.264565425,0.074816937,0.123527539,0.868194842,0.621139764,0.343202802
36073,New York,Orleans County,0.333333333,0.597898758,0.636421522,0.592804839,0.112384591,0.137535817,0.88443171,0.519898122,0.337153773
36075,New York,Oswego County,0.334925183,0.106653932,0.538363578,0.490926457,0.085641515,0.113339701,0.844953836,0.551098376,0.368672397
36077,New York,Otsego County,0.1779688,0.594396689,0.334925183,0.227634511,0.043298313,0.123527539,0.898758357,0.5307227,0.327921044
36079,New York,Putnam County,0.151225724,0.121617319,0.144221585,0.685768863,0.027061445,0.079910856,0.249602038,0.489971347,0.332696593
36081,New York,Queens County,0.297994269,0.401146132,0.505889844,0.137854187,0.028653295,0.391276663,0.779369628,0.731295766,0.316141356
36083,New York,Rensselaer County,0.219038523,0.269659344,0.221585482,0.542184018,0.062082139,0.079910856,0.737026425,0.565743394,0.340019102
36085,New York,Richmond County,0.29353709,0.498885705,0.399554282,0.326329195,0.046482012,0.103788602,0.774275708,0.631327603,0.327921044
36087,New York,Rockland County,0.203756765,0.524992041,0.375994906,0.35370901,0.026106336,0.165870742,0.804839223,0.5858007,0.313912767
36089,New York,St. Lawrence County,0.179879019,0.523081821,0.52944922,0.35339064,0.145813435,0.195160777,0.907354346,0.579114932,0.349570201
36091,New York,Saratoga County,0.188475008,0.045526902,0.043935053,0.639286851,0.034383954,0.071633238,0.186246418,0.431709647,0.327921044
36093,New York,Schenectady County,0.204711875,0.339700732,0.329512894,0.47150589,0.054759631,0.096147724,0.750397962,0.537090099,0.320916905
36095,New York,Schoharie County,0.199617956,0.660617638,0.290990131,0.945240369,0.032792104,0.084368036,0.738618274,0.489971347,0.340019102
36097,New York,Schuyler County,0.170327921,0.467367081,0.425978988,0.76536135,0.126392869,0.157274753,0.546322827,0.515122572,0.346068131
36099,New York,Seneca County,0.256606176,0.574339382,0.446991404,0.926774912,0.171283031,0.322508755,0.869149952,0.537090099,0.334925183
36101,New York,Steuben County,0.190385228,0.58962114,0.382043935,0.349888571,0.072906718,0.157274753,0.915950334,0.431709647,0.320916905
36103,New York,Suffolk County,0.17510347,0.213307864,0.246736708,0.41356256,0.06017192,0.11875199,0.250875517,0.561286215,0.332696593
36105,New York,Sullivan County,0.23750398,0.726520216,0.565743394,0.496020376,0.0582617,0.165870742,0.946513849,0.652658389,0.366443808
36107,New York,Tioga County,0.17892391,0.213944604,0.154409424,0.861827443,0.132441897,0.096147724,0.524355301,0.428525947,0.322827125
36109,New York,Tompkins County,0.541228908,0.23495702,0.29640242,0.6472461,0.018783827,0.073861827,0.815663801,0.710601719,0.404966571
36111,New York,Ulster County,0.465775231,0.299267749,0.373129577,0.475963069,0.063992359,0.154727794,0.642788921,0.506208214,0.322827125
36113,New York,Warren County,0.275390003,0.243234639,0.188475008,0.012734798,0.034702324,0.089780325,0.815027061,0.428525947,0.313276027
36115,New York,Washington County,0.251193887,0.192295447,0.341929322,0.732569245,0.05762496,0.157274753,0.679083095,0.497930595,0.334925183
36117,New York,Wayne County,0.318369946,0.367717287,0.335243553,0.691499522,0.163960522,0.096147724,0.785418656,0.482330468,0.340019102
