state,county,party,votes,totalvotes
AL,AUTAUGA,DEMOCRAT,7503,27770
AL,AUTAUGA,OTHER,429,27770
AL,AUTAUGA,REPUBLICAN,19838,27770
AL,BALDWIN,DEMOCRAT,24578,109679
AL,BALDWIN,OTHER,1557,109679
AL,BALDWIN,REPUBLICAN,83544,109679
AL,BARBOUR,DEMOCRAT,4816,10518
AL,BARBOUR,OTHER,80,10518
AL,BARBOUR,REPUBLICAN,5622,10518
AL,BIBB,DEMOCRAT,1986,9595
AL,BIBB,OTHER,84,9595
AL,BIBB,REPUBLICAN,7525,9595
AL,BLOUNT,DEMOCRAT,2640,27588
AL,BLOUNT,OTHER,237,27588
AL,BLOUNT,REPUBLICAN,24711,27588
AL,BULLOCK,DEMOCRAT,3446,4613
AL,BULLOCK,OTHER,21,4613
AL,BULLOCK,REPUBLICAN,1146,4613
AL,BUTLER,DEMOCRAT,3965,9488
AL,BUTLER,OTHER,65,9488
AL,BUTLER,REPUBLICAN,5458,9488
AL,CALHOUN,DEMOCRAT,15216,50983
AL,CALHOUN,OTHER,666,50983
AL,CALHOUN,REPUBLICAN,35101,50983
AL,CHAMBERS,DEMOCRAT,6365,15284
AL,CHAMBERS,OTHER,166,15284
AL,CHAMBERS,REPUBLICAN,8753,15284
AL,CHEROKEE,DEMOCRAT,1624,12301
AL,CHEROKEE,OTHER,94,12301
AL,CHEROKEE,REPUBLICAN,10583,12301
AL,CHILTON,DEMOCRAT,3073,19310
AL,CHILTON,OTHER,152,19310
AL,CHILTON,REPUBLICAN,16085,19310
AL,CHOCTAW,DEMOCRAT,3127,7464
AL,CHOCTAW,OTHER,41,7464
AL,CHOCTAW,REPUBLICAN,4296,7464
AL,CLARKE,DEMOCRAT,5755,13135
AL,CLARKE,OTHER,56,13135
AL,CLARKE,REPUBLICAN,7324,13135
AL,CLAY,DEMOCRAT,1267,6930
AL,CLAY,OTHER,62,6930
AL,CLAY,REPUBLICAN,5601,6930
AL,CLEBURNE,DEMOCRAT,675,7227
AL,CLEBURNE,OTHER,68,7227
AL,CLEBURNE,REPUBLICAN,6484,7227
AL,COFFEE,DEMOCRAT,5076,22275
AL,COFFEE,OTHER,300,22275
AL,COFFEE,REPUBLICAN,16899,22275
AL,COLBERT,DEMOCRAT,8343,27886
AL,COLBERT,OTHER,340,27886
AL,COLBERT,REPUBLICAN,19203,27886
AL,CONECUH,DEMOCRAT,2966,6441
AL,CONECUH,OTHER,33,6441
AL,CONECUH,REPUBLICAN,3442,6441
AL,COOSA,DEMOCRAT,1796,5479
AL,COOSA,OTHER,52,5479
AL,COOSA,REPUBLICAN,3631,5479
AL,COVINGTON,DEMOCRAT,2721,17430
AL,COVINGTON,OTHER,123,17430
AL,COVINGTON,REPUBLICAN,14586,17430
AL,CRENSHAW,DEMOCRAT,1700,6617
AL,CRENSHAW,OTHER,53,6617
AL,CRENSHAW,REPUBLICAN,4864,6617
AL,CULLMAN,DEMOCRAT,4478,41851
AL,CULLMAN,OTHER,493,41851
AL,CULLMAN,REPUBLICAN,36880,41851
AL,DALE,DEMOCRAT,5170,19738
AL,DALE,OTHER,265,19738
AL,DALE,REPUBLICAN,14303,19738
AL,DALLAS,DEMOCRAT,12230,17864
AL,DALLAS,OTHER,110,17864
AL,DALLAS,REPUBLICAN,5524,17864
AL,DEKALB,DEMOCRAT,4281,29356
AL,DEKALB,OTHER,308,29356
AL,DEKALB,REPUBLICAN,24767,29356
AL,ELMORE,DEMOCRAT,10367,41030
AL,ELMORE,OTHER,499,41030
AL,ELMORE,REPUBLICAN,30164,41030
AL,ESCAMBIA,DEMOCRAT,4918,15910
AL,ESCAMBIA,OTHER,123,15910
AL,ESCAMBIA,REPUBLICAN,10869,15910
AL,ETOWAH,DEMOCRAT,11567,47728
AL,ETOWAH,OTHER,633,47728
AL,ETOWAH,REPUBLICAN,35528,47728
AL,FAYETTE,DEMOCRAT,1395,8766
AL,FAYETTE,OTHER,71,8766
AL,FAYETTE,REPUBLICAN,7300,8766
AL,FRANKLIN,DEMOCRAT,2086,12578
AL,FRANKLIN,OTHER,116,12578
AL,FRANKLIN,REPUBLICAN,10376,12578
AL,GENEVA,DEMOCRAT,1595,12545
AL,GENEVA,OTHER,102,12545
AL,GENEVA,REPUBLICAN,10848,12545
AL,GREENE,DEMOCRAT,3884,4775
AL,GREENE,OTHER,16,4775
AL,GREENE,REPUBLICAN,875,4775
AL,HALE,DEMOCRAT,4663,7900
AL,HALE,OTHER,45,7900
AL,HALE,REPUBLICAN,3192,7900
AL,HENRY,DEMOCRAT,2606,9298
AL,HENRY,OTHER,85,9298
AL,HENRY,REPUBLICAN,6607,9298
AL,HOUSTON,DEMOCRAT,12917,46173
AL,HOUSTON,OTHER,638,46173
AL,HOUSTON,REPUBLICAN,32618,46173
AL,JACKSON,DEMOCRAT,3717,23636
AL,JACKSON,OTHER,249,23636
AL,JACKSON,REPUBLICAN,19670,23636
AL,JEFFERSON,DEMOCRAT,181688,325848
AL,JEFFERSON,OTHER,5317,325848
AL,JEFFERSON,REPUBLICAN,138843,325848
AL,LAMAR,DEMOCRAT,978,7193
AL,LAMAR,OTHER,41,7193
AL,LAMAR,REPUBLICAN,6174,7193
AL,LAUDERDALE,DEMOCRAT,11915,44339
AL,LAUDERDALE,OTHER,703,44339
AL,LAUDERDALE,REPUBLICAN,31721,44339
AL,LAWRENCE,DEMOCRAT,3562,16031
AL,LAWRENCE,OTHER,147,16031
AL,LAWRENCE,REPUBLICAN,12322,16031
AL,LEE,DEMOCRAT,27860,71449
AL,LEE,OTHER,1368,71449
AL,LEE,REPUBLICAN,42221,71449
AL,LIMESTONE,DEMOCRAT,13672,49235
AL,LIMESTONE,OTHER,923,49235
AL,LIMESTONE,REPUBLICAN,34640,49235
AL,LOWNDES,DEMOCRAT,4972,6835
AL,LOWNDES,OTHER,27,6835
AL,LOWNDES,REPUBLICAN,1836,6835
AL,MACON,DEMOCRAT,7108,8723
AL,MACON,OTHER,74,8723
AL,MACON,REPUBLICAN,1541,8723
AL,MADISON,DEMOCRAT,87286,194767
AL,MADISON,OTHER,4701,194767
AL,MADISON,REPUBLICAN,102780,194767
AL,MARENGO,DEMOCRAT,5488,10900
AL,MARENGO,OTHER,69,10900
AL,MARENGO,REPUBLICAN,5343,10900
AL,MARION,DEMOCRAT,1463,13807
AL,MARION,OTHER,139,13807
AL,MARION,REPUBLICAN,12205,13807
AL,MARSHALL,DEMOCRAT,5943,39655
AL,MARSHALL,OTHER,521,39655
AL,MARSHALL,REPUBLICAN,33191,39655
AL,MOBILE,DEMOCRAT,79474,183164
AL,MOBILE,OTHER,2447,183164
AL,MOBILE,REPUBLICAN,101243,183164
AL,MONROE,DEMOCRAT,4455,10668
AL,MONROE,OTHER,66,10668
AL,MONROE,REPUBLICAN,6147,10668
AL,MONTGOMERY,DEMOCRAT,64529,99139
AL,MONTGOMERY,OTHER,1299,99139
AL,MONTGOMERY,REPUBLICAN,33311,99139
AL,MORGAN,DEMOCRAT,13234,53722
AL,MORGAN,OTHER,824,53722
AL,MORGAN,REPUBLICAN,39664,53722
AL,PERRY,DEMOCRAT,3860,5230
AL,PERRY,OTHER,31,5230
AL,PERRY,REPUBLICAN,1339,5230
AL,PICKENS,DEMOCRAT,4022,9668
AL,PICKENS,OTHER,52,9668
AL,PICKENS,REPUBLICAN,5594,9668
AL,PIKE,DEMOCRAT,5636,13841
AL,PIKE,OTHER,163,13841
AL,PIKE,REPUBLICAN,8042,13841
AL,RANDOLPH,DEMOCRAT,2203,10837
AL,RANDOLPH,OTHER,75,10837
AL,RANDOLPH,REPUBLICAN,8559,10837
AL,RUSSELL,DEMOCRAT,11228,21329
AL,RUSSELL,OTHER,237,21329
AL,RUSSELL,REPUBLICAN,9864,21329
AL,ST. CLAIR,DEMOCRAT,7744,44441
AL,ST. CLAIR,OTHER,531,44441
AL,ST. CLAIR,REPUBLICAN,36166,44441
AL,SHELBY,DEMOCRAT,33268,114950
AL,SHELBY,OTHER,1982,114950
AL,SHELBY,REPUBLICAN,79700,114950
AL,SUMTER,DEMOCRAT,4648,6291
AL,SUMTER,OTHER,45,6291
AL,SUMTER,REPUBLICAN,1598,6291
AL,TALLADEGA,DEMOCRAT,13138,35663
AL,TALLADEGA,OTHER,290,35663
AL,TALLADEGA,REPUBLICAN,22235,35663
AL,TALLAPOOSA,DEMOCRAT,5859,20991
AL,TALLAPOOSA,OTHER,169,20991
AL,TALLAPOOSA,REPUBLICAN,14963,20991
AL,TUSCALOOSA,DEMOCRAT,37765,90172
AL,TUSCALOOSA,OTHER,1290,90172
AL,TUSCALOOSA,REPUBLICAN,51117,90172
AL,WALKER,DEMOCRAT,4834,31170
AL,WALKER,OTHER,334,31170
AL,WALKER,REPUBLICAN,26002,31170
AL,WASHINGTON,DEMOCRAT,2258,8876
AL,WASHINGTON,OTHER,54,8876
AL,WASHINGTON,REPUBLICAN,6564,8876
AL,WILCOX,DEMOCRAT,4048,5903
AL,WILCOX,OTHER,22,5903
AL,WILCOX,REPUBLICAN,1833,5903
AL,WINSTON,DEMOCRAT,974,11284
AL,WINSTON,OTHER,115,11284
AL,WINSTON,REPUBLICAN,10195,11284
AK,DISTRICT 1,DEMOCRAT,3477,7314
AK,DISTRICT 1,GREEN,50,7314
AK,DISTRICT 1,LIBERTARIAN,216,7314
AK,DISTRICT 1,OTHER,60,7314
AK,DISTRICT 1,REPUBLICAN,3511,7314
AK,DISTRICT 2,DEMOCRAT,2104,6136
AK,DISTRICT 2,GREEN,30,6136
AK,DISTRICT 2,LIBERTARIAN,287,6136
AK,DISTRICT 2,OTHER,41,6136
AK,DISTRICT 2,REPUBLICAN,3674,6136
AK,DISTRICT 3,DEMOCRAT,1903,8385
AK,DISTRICT 3,GREEN,42,8385
AK,DISTRICT 3,LIBERTARIAN,316,8385
AK,DISTRICT 3,OTHER,48,8385
AK,DISTRICT 3,REPUBLICAN,6076,8385
AK,DISTRICT 4,DEMOCRAT,5345,10511
AK,DISTRICT 4,GREEN,93,10511
AK,DISTRICT 4,LIBERTARIAN,323,10511
AK,DISTRICT 4,OTHER,60,10511
AK,DISTRICT 4,REPUBLICAN,4690,10511
AK,DISTRICT 5,DEMOCRAT,4204,8654
AK,DISTRICT 5,GREEN,68,8654
AK,DISTRICT 5,LIBERTARIAN,259,8654
AK,DISTRICT 5,OTHER,46,8654
AK,DISTRICT 5,REPUBLICAN,4077,8654
AK,DISTRICT 6,DEMOCRAT,3272,9460
AK,DISTRICT 6,GREEN,83,9460
AK,DISTRICT 6,LIBERTARIAN,266,9460
AK,DISTRICT 6,OTHER,69,9460
AK,DISTRICT 6,REPUBLICAN,5770,9460
AK,DISTRICT 7,DEMOCRAT,2215,9622
AK,DISTRICT 7,GREEN,54,9622
AK,DISTRICT 7,LIBERTARIAN,272,9622
AK,DISTRICT 7,OTHER,54,9622
AK,DISTRICT 7,REPUBLICAN,7027,9622
AK,DISTRICT 8,DEMOCRAT,1953,9912
AK,DISTRICT 8,GREEN,48,9912
AK,DISTRICT 8,LIBERTARIAN,241,9912
AK,DISTRICT 8,OTHER,52,9912
AK,DISTRICT 8,REPUBLICAN,7618,9912
AK,DISTRICT 9,DEMOCRAT,2769,10993
AK,DISTRICT 9,GREEN,77,10993
AK,DISTRICT 9,LIBERTARIAN,301,10993
AK,DISTRICT 9,OTHER,59,10993
AK,DISTRICT 9,REPUBLICAN,7787,10993
AK,DISTRICT 10,DEMOCRAT,2727,11205
AK,DISTRICT 10,GREEN,64,11205
AK,DISTRICT 10,LIBERTARIAN,286,11205
AK,DISTRICT 10,OTHER,47,11205
AK,DISTRICT 10,REPUBLICAN,8081,11205
AK,DISTRICT 11,DEMOCRAT,3130,10628
AK,DISTRICT 11,GREEN,88,10628
AK,DISTRICT 11,LIBERTARIAN,269,10628
AK,DISTRICT 11,OTHER,45,10628
AK,DISTRICT 11,REPUBLICAN,7096,10628
AK,DISTRICT 12,DEMOCRAT,2957,11238
AK,DISTRICT 12,GREEN,54,11238
AK,DISTRICT 12,LIBERTARIAN,288,11238
AK,DISTRICT 12,OTHER,46,11238
AK,DISTRICT 12,REPUBLICAN,7893,11238
AK,DISTRICT 13,DEMOCRAT,2666,7713
AK,DISTRICT 13,GREEN,40,7713
AK,DISTRICT 13,LIBERTARIAN,308,7713
AK,DISTRICT 13,OTHER,47,7713
AK,DISTRICT 13,REPUBLICAN,4652,7713
AK,DISTRICT 14,DEMOCRAT,4261,11443
AK,DISTRICT 14,GREEN,50,11443
AK,DISTRICT 14,LIBERTARIAN,356,11443
AK,DISTRICT 14,OTHER,62,11443
AK,DISTRICT 14,REPUBLICAN,6714,11443
AK,DISTRICT 15,DEMOCRAT,2622,5559
AK,DISTRICT 15,GREEN,36,5559
AK,DISTRICT 15,LIBERTARIAN,197,5559
AK,DISTRICT 15,OTHER,33,5559
AK,DISTRICT 15,REPUBLICAN,2671,5559
AK,DISTRICT 16,DEMOCRAT,4274,8118
AK,DISTRICT 16,GREEN,64,8118
AK,DISTRICT 16,LIBERTARIAN,210,8118
AK,DISTRICT 16,OTHER,54,8118
AK,DISTRICT 16,REPUBLICAN,3516,8118
AK,DISTRICT 17,DEMOCRAT,4136,7239
AK,DISTRICT 17,GREEN,64,7239
AK,DISTRICT 17,LIBERTARIAN,184,7239
AK,DISTRICT 17,OTHER,45,7239
AK,DISTRICT 17,REPUBLICAN,2810,7239
AK,DISTRICT 18,DEMOCRAT,4681,7720
AK,DISTRICT 18,GREEN,79,7720
AK,DISTRICT 18,LIBERTARIAN,157,7720
AK,DISTRICT 18,OTHER,43,7720
AK,DISTRICT 18,REPUBLICAN,2760,7720
AK,DISTRICT 19,DEMOCRAT,3118,5301
AK,DISTRICT 19,GREEN,52,5301
AK,DISTRICT 19,LIBERTARIAN,110,5301
AK,DISTRICT 19,OTHER,46,5301
AK,DISTRICT 19,REPUBLICAN,1975,5301
AK,DISTRICT 20,DEMOCRAT,4881,7497
AK,DISTRICT 20,GREEN,53,7497
AK,DISTRICT 20,LIBERTARIAN,153,7497
AK,DISTRICT 20,OTHER,27,7497
AK,DISTRICT 20,REPUBLICAN,2383,7497
AK,DISTRICT 21,DEMOCRAT,5414,9429
AK,DISTRICT 21,GREEN,70,9429
AK,DISTRICT 21,LIBERTARIAN,203,9429
AK,DISTRICT 21,OTHER,52,9429
AK,DISTRICT 21,REPUBLICAN,3690,9429
AK,DISTRICT 22,DEMOCRAT,4553,9520
AK,DISTRICT 22,GREEN,46,9520
AK,DISTRICT 22,LIBERTARIAN,200,9520
AK,DISTRICT 22,OTHER,37,9520
AK,DISTRICT 22,REPUBLICAN,4684,9520
AK,DISTRICT 23,DEMOCRAT,3810,7739
AK,DISTRICT 23,GREEN,53,7739
AK,DISTRICT 23,LIBERTARIAN,170,7739
AK,DISTRICT 23,OTHER,51,7739
AK,DISTRICT 23,REPUBLICAN,3655,7739
AK,DISTRICT 24,DEMOCRAT,4736,10428
AK,DISTRICT 24,GREEN,46,10428
AK,DISTRICT 24,LIBERTARIAN,222,10428
AK,DISTRICT 24,OTHER,46,10428
AK,DISTRICT 24,REPUBLICAN,5378,10428
AK,DISTRICT 25,DEMOCRAT,4600,9325
AK,DISTRICT 25,GREEN,67,9325
AK,DISTRICT 25,LIBERTARIAN,201,9325
AK,DISTRICT 25,OTHER,50,9325
AK,DISTRICT 25,REPUBLICAN,4407,9325
AK,DISTRICT 26,DEMOCRAT,4558,10111
AK,DISTRICT 26,GREEN,55,10111
AK,DISTRICT 26,LIBERTARIAN,207,10111
AK,DISTRICT 26,OTHER,48,10111
AK,DISTRICT 26,REPUBLICAN,5243,10111
AK,DISTRICT 27,DEMOCRAT,4844,9506
AK,DISTRICT 27,GREEN,59,9506
AK,DISTRICT 27,LIBERTARIAN,228,9506
AK,DISTRICT 27,OTHER,51,9506
AK,DISTRICT 27,REPUBLICAN,4324,9506
AK,DISTRICT 28,DEMOCRAT,6264,12749
AK,DISTRICT 28,GREEN,69,12749
AK,DISTRICT 28,LIBERTARIAN,219,12749
AK,DISTRICT 28,OTHER,35,12749
AK,DISTRICT 28,REPUBLICAN,6162,12749
AK,DISTRICT 29,DEMOCRAT,2985,10747
AK,DISTRICT 29,GREEN,69,10747
AK,DISTRICT 29,LIBERTARIAN,190,10747
AK,DISTRICT 29,OTHER,39,10747
AK,DISTRICT 29,REPUBLICAN,7464,10747
AK,DISTRICT 30,DEMOCRAT,2638,10176
AK,DISTRICT 30,GREEN,42,10176
AK,DISTRICT 30,LIBERTARIAN,270,10176
AK,DISTRICT 30,OTHER,46,10176
AK,DISTRICT 30,REPUBLICAN,7180,10176
AK,DISTRICT 31,DEMOCRAT,5037,12410
AK,DISTRICT 31,GREEN,100,12410
AK,DISTRICT 31,LIBERTARIAN,250,12410
AK,DISTRICT 31,OTHER,52,12410
AK,DISTRICT 31,REPUBLICAN,6971,12410
AK,DISTRICT 32,DEMOCRAT,3506,8335
AK,DISTRICT 32,GREEN,105,8335
AK,DISTRICT 32,LIBERTARIAN,238,8335
AK,DISTRICT 32,OTHER,46,8335
AK,DISTRICT 32,REPUBLICAN,4440,8335
AK,DISTRICT 33,DEMOCRAT,7535,10955
AK,DISTRICT 33,GREEN,103,10955
AK,DISTRICT 33,LIBERTARIAN,197,10955
AK,DISTRICT 33,OTHER,61,10955
AK,DISTRICT 33,REPUBLICAN,3059,10955
AK,DISTRICT 34,DEMOCRAT,5763,10729
AK,DISTRICT 34,GREEN,68,10729
AK,DISTRICT 34,LIBERTARIAN,279,10729
AK,DISTRICT 34,OTHER,76,10729
AK,DISTRICT 34,REPUBLICAN,4543,10729
AK,DISTRICT 35,DEMOCRAT,5011,10102
AK,DISTRICT 35,GREEN,95,10102
AK,DISTRICT 35,LIBERTARIAN,170,10102
AK,DISTRICT 35,OTHER,57,10102
AK,DISTRICT 35,REPUBLICAN,4769,10102
AK,DISTRICT 36,DEMOCRAT,3796,9292
AK,DISTRICT 36,GREEN,79,9292
AK,DISTRICT 36,LIBERTARIAN,245,9292
AK,DISTRICT 36,OTHER,58,9292
AK,DISTRICT 36,REPUBLICAN,5114,9292
AK,DISTRICT 37,DEMOCRAT,2560,5142
AK,DISTRICT 37,GREEN,56,5142
AK,DISTRICT 37,LIBERTARIAN,86,5142
AK,DISTRICT 37,OTHER,82,5142
AK,DISTRICT 37,REPUBLICAN,2358,5142
AK,DISTRICT 38,DEMOCRAT,3202,5299
AK,DISTRICT 38,GREEN,112,5299
AK,DISTRICT 38,LIBERTARIAN,105,5299
AK,DISTRICT 38,OTHER,143,5299
AK,DISTRICT 38,REPUBLICAN,1737,5299
AK,DISTRICT 39,DEMOCRAT,3580,5891
AK,DISTRICT 39,GREEN,104,5891
AK,DISTRICT 39,LIBERTARIAN,123,5891
AK,DISTRICT 39,OTHER,145,5891
AK,DISTRICT 39,REPUBLICAN,1939,5891
AK,DISTRICT 40,DEMOCRAT,2318,4603
AK,DISTRICT 40,GREEN,86,4603
AK,DISTRICT 40,LIBERTARIAN,94,4603
AK,DISTRICT 40,OTHER,111,4603
AK,DISTRICT 40,REPUBLICAN,1994,4603
AK,DISTRICT 99,DEMOCRAT,373,433
AK,DISTRICT 99,GREEN,0,433
AK,DISTRICT 99,LIBERTARIAN,1,433
AK,DISTRICT 99,OTHER,0,433
AK,DISTRICT 99,REPUBLICAN,59,433
AZ,APACHE,DEMOCRAT,16460,35172
AZ,APACHE,DEMOCRAT,6539,35172
AZ,APACHE,DEMOCRAT,294,35172
AZ,APACHE,GREEN,0,35172
AZ,APACHE,GREEN,0,35172
AZ,APACHE,GREEN,0,35172
AZ,APACHE,LIBERTARIAN,311,35172
AZ,APACHE,LIBERTARIAN,122,35172
AZ,APACHE,LIBERTARIAN,4,35172
AZ,APACHE,OTHER,0,35172
AZ,APACHE,OTHER,0,35172
AZ,APACHE,OTHER,0,35172
AZ,APACHE,REPUBLICAN,7262,35172
AZ,APACHE,REPUBLICAN,4053,35172
AZ,APACHE,REPUBLICAN,127,35172
AZ,COCHISE,DEMOCRAT,21563,60442
AZ,COCHISE,DEMOCRAT,1495,60442
AZ,COCHISE,DEMOCRAT,674,60442
AZ,COCHISE,GREEN,0,60442
AZ,COCHISE,GREEN,0,60442
AZ,COCHISE,GREEN,0,60442
AZ,COCHISE,LIBERTARIAN,931,60442
AZ,COCHISE,LIBERTARIAN,166,60442
AZ,COCHISE,LIBERTARIAN,56,60442
AZ,COCHISE,OTHER,0,60442
AZ,COCHISE,OTHER,0,60442
AZ,COCHISE,OTHER,0,60442
AZ,COCHISE,REPUBLICAN,25934,60442
AZ,COCHISE,REPUBLICAN,7714,60442
AZ,COCHISE,REPUBLICAN,1909,60442
AZ,COCONINO,DEMOCRAT,39430,73272
AZ,COCONINO,DEMOCRAT,4963,73272
AZ,COCONINO,DEMOCRAT,305,73272
AZ,COCONINO,GREEN,0,73272
AZ,COCONINO,GREEN,0,73272
AZ,COCONINO,GREEN,0,73272
AZ,COCONINO,LIBERTARIAN,1133,73272
AZ,COCONINO,LIBERTARIAN,368,73272
AZ,COCONINO,LIBERTARIAN,21,73272
AZ,COCONINO,OTHER,0,73272
AZ,COCONINO,OTHER,0,73272
AZ,COCONINO,OTHER,0,73272
AZ,COCONINO,REPUBLICAN,20311,73272
AZ,COCONINO,REPUBLICAN,6446,73272
AZ,COCONINO,REPUBLICAN,295,73272
AZ,GILA,DEMOCRAT,7481,27662
AZ,GILA,DEMOCRAT,1400,27662
AZ,GILA,DEMOCRAT,62,27662
AZ,GILA,GREEN,0,27662
AZ,GILA,GREEN,0,27662
AZ,GILA,GREEN,0,27662
AZ,GILA,LIBERTARIAN,279,27662
AZ,GILA,LIBERTARIAN,62,27662
AZ,GILA,LIBERTARIAN,1,27662
AZ,GILA,OTHER,0,27662
AZ,GILA,OTHER,0,27662
AZ,GILA,OTHER,0,27662
AZ,GILA,REPUBLICAN,15005,27662
AZ,GILA,REPUBLICAN,3260,27662
AZ,GILA,REPUBLICAN,112,27662
AZ,GRAHAM,DEMOCRAT,2944,14995
AZ,GRAHAM,DEMOCRAT,1055,14995
AZ,GRAHAM,DEMOCRAT,35,14995
AZ,GRAHAM,GREEN,0,14995
AZ,GRAHAM,GREEN,0,14995
AZ,GRAHAM,GREEN,0,14995
AZ,GRAHAM,LIBERTARIAN,145,14995
AZ,GRAHAM,LIBERTARIAN,63,14995
AZ,GRAHAM,LIBERTARIAN,4,14995
AZ,GRAHAM,OTHER,0,14995
AZ,GRAHAM,OTHER,0,14995
AZ,GRAHAM,OTHER,0,14995
AZ,GRAHAM,REPUBLICAN,7289,14995
AZ,GRAHAM,REPUBLICAN,3314,14995
AZ,GRAHAM,REPUBLICAN,146,14995
AZ,GREENLEE,DEMOCRAT,996,3685
AZ,GREENLEE,DEMOCRAT,184,3685
AZ,GREENLEE,DEMOCRAT,2,3685
AZ,GREENLEE,GREEN,0,3685
AZ,GREENLEE,GREEN,0,3685
AZ,GREENLEE,GREEN,0,3685
AZ,GREENLEE,LIBERTARIAN,51,3685
AZ,GREENLEE,LIBERTARIAN,16,3685
AZ,GREENLEE,LIBERTARIAN,3,3685
AZ,GREENLEE,OTHER,0,3685
AZ,GREENLEE,OTHER,0,3685
AZ,GREENLEE,OTHER,0,3685
AZ,GREENLEE,REPUBLICAN,1571,3685
AZ,GREENLEE,REPUBLICAN,840,3685
AZ,GREENLEE,REPUBLICAN,22,3685
AZ,LA PAZ,DEMOCRAT,1508,7458
AZ,LA PAZ,DEMOCRAT,542,7458
AZ,LA PAZ,DEMOCRAT,186,7458
AZ,LA PAZ,GREEN,0,7458
AZ,LA PAZ,GREEN,0,7458
AZ,LA PAZ,GREEN,0,7458
AZ,LA PAZ,LIBERTARIAN,51,7458
AZ,LA PAZ,LIBERTARIAN,28,7458
AZ,LA PAZ,LIBERTARIAN,14,7458
AZ,LA PAZ,OTHER,0,7458
AZ,LA PAZ,OTHER,0,7458
AZ,LA PAZ,OTHER,0,7458
AZ,LA PAZ,REPUBLICAN,2936,7458
AZ,LA PAZ,REPUBLICAN,1606,7458
AZ,LA PAZ,REPUBLICAN,587,7458
AZ,MARICOPA,DEMOCRAT,978457,2068144
AZ,MARICOPA,DEMOCRAT,59513,2068144
AZ,MARICOPA,DEMOCRAT,2804,2068144
AZ,MARICOPA,GREEN,0,2068144
AZ,MARICOPA,GREEN,0,2068144
AZ,MARICOPA,GREEN,0,2068144
AZ,MARICOPA,LIBERTARIAN,27885,2068144
AZ,MARICOPA,LIBERTARIAN,3716,2068144
AZ,MARICOPA,LIBERTARIAN,104,2068144
AZ,MARICOPA,OTHER,0,2068144
AZ,MARICOPA,OTHER,0,2068144
AZ,MARICOPA,OTHER,0,2068144
AZ,MARICOPA,REPUBLICAN,889400,2068144
AZ,MARICOPA,REPUBLICAN,103086,2068144
AZ,MARICOPA,REPUBLICAN,3179,2068144
AZ,MOHAVE,DEMOCRAT,21783,104668
AZ,MOHAVE,DEMOCRAT,2943,104668
AZ,MOHAVE,DEMOCRAT,105,104668
AZ,MOHAVE,GREEN,0,104668
AZ,MOHAVE,GREEN,0,104668
AZ,MOHAVE,GREEN,0,104668
AZ,MOHAVE,LIBERTARIAN,925,104668
AZ,MOHAVE,LIBERTARIAN,358,104668
AZ,MOHAVE,LIBERTARIAN,19,104668
AZ,MOHAVE,OTHER,0,104668
AZ,MOHAVE,OTHER,0,104668
AZ,MOHAVE,OTHER,0,104668
AZ,MOHAVE,REPUBLICAN,56914,104668
AZ,MOHAVE,REPUBLICAN,20938,104668
AZ,MOHAVE,REPUBLICAN,683,104668
AZ,NAVAJO,DEMOCRAT,16867,51767
AZ,NAVAJO,DEMOCRAT,6425,51767
AZ,NAVAJO,DEMOCRAT,91,51767
AZ,NAVAJO,GREEN,0,51767
AZ,NAVAJO,GREEN,0,51767
AZ,NAVAJO,GREEN,0,51767
AZ,NAVAJO,LIBERTARIAN,509,51767
AZ,NAVAJO,LIBERTARIAN,213,51767
AZ,NAVAJO,LIBERTARIAN,5,51767
AZ,NAVAJO,OTHER,0,51767
AZ,NAVAJO,OTHER,0,51767
AZ,NAVAJO,OTHER,0,51767
AZ,NAVAJO,REPUBLICAN,18787,51767
AZ,NAVAJO,REPUBLICAN,8722,51767
AZ,NAVAJO,REPUBLICAN,148,51767
AZ,PIMA,DEMOCRAT,282457,520397
AZ,PIMA,DEMOCRAT,15246,520397
AZ,PIMA,DEMOCRAT,7278,520397
AZ,PIMA,GREEN,0,520397
AZ,PIMA,GREEN,0,520397
AZ,PIMA,GREEN,0,520397
AZ,PIMA,LIBERTARIAN,6477,520397
AZ,PIMA,LIBERTARIAN,828,520397
AZ,PIMA,LIBERTARIAN,353,520397
AZ,PIMA,OTHER,0,520397
AZ,PIMA,OTHER,0,520397
AZ,PIMA,OTHER,0,520397
AZ,PIMA,REPUBLICAN,165747,520397
AZ,PIMA,REPUBLICAN,33667,520397
AZ,PIMA,REPUBLICAN,8344,520397
AZ,PINAL,DEMOCRAT,65042,184974
AZ,PINAL,DEMOCRAT,9812,184974
AZ,PINAL,DEMOCRAT,252,184974
AZ,PINAL,GREEN,0,184974
AZ,PINAL,GREEN,0,184974
AZ,PINAL,GREEN,0,184974
AZ,PINAL,LIBERTARIAN,2192,184974
AZ,PINAL,LIBERTARIAN,588,184974
AZ,PINAL,LIBERTARIAN,11,184974
AZ,PINAL,OTHER,0,184974
AZ,PINAL,OTHER,0,184974
AZ,PINAL,OTHER,0,184974
AZ,PINAL,REPUBLICAN,80293,184974
AZ,PINAL,REPUBLICAN,26277,184974
AZ,PINAL,REPUBLICAN,507,184974
AZ,SANTA CRUZ,DEMOCRAT,10859,19556
AZ,SANTA CRUZ,DEMOCRAT,2205,19556
AZ,SANTA CRUZ,DEMOCRAT,74,19556
