st_cty,low,med,high,tot_hesi
ID Gem County,0.22,0.17,0.11,0.5
ID Gooding County,0.28,0.2,0.13,0.61
ID Idaho County,0.25,0.19,0.12,0.56
ID Jefferson County,0.27,0.2,0.13,0.6
ID Jerome County,0.28,0.2,0.13,0.61
ID Kootenai County,0.25,0.19,0.13,0.57
ID Latah County,0.25,0.19,0.12,0.56
ID Lemhi County,0.25,0.19,0.12,0.56
ID Lewis County,0.25,0.19,0.12,0.56
ID Lincoln County,0.28,0.2,0.13,0.61
ID Madison County,0.27,0.2,0.13,0.6
ID Minidoka County,0.28,0.2,0.13,0.61
ID Nez Perce County,0.25,0.19,0.12,0.56
ID Oneida County,0.27,0.2,0.13,0.6
ID Owyhee County,0.26,0.19,0.12,0.57
ID Payette County,0.22,0.17,0.11,0.5
ID Power County,0.27,0.2,0.13,0.6
ID Shoshone County,0.25,0.19,0.12,0.56
ID Teton County,0.27,0.2,0.13,0.6
ID Twin Falls County,0.27,0.2,0.13,0.6
ID Valley County,0.25,0.19,0.12,0.56
ID Washington County,0.22,0.17,0.11,0.5
IL Adams County,0.16,0.1,0.06,0.32
IL Alexander County,0.17,0.1,0.07,0.34
IL Bond County,0.17,0.1,0.06,0.33
IL Boone County,0.15,0.09,0.05,0.29
IL Brown County,0.16,0.1,0.06,0.32
IL Bureau County,0.15,0.09,0.05,0.29
IL Calhoun County,0.17,0.1,0.06,0.33
IL Carroll County,0.15,0.09,0.05,0.29
IL Cass County,0.17,0.1,0.06,0.33
IL Champaign County,0.14,0.08,0.05,0.27
IL Christian County,0.16,0.1,0.06,0.32
IL Clark County,0.17,0.11,0.07,0.35
IL Clay County,0.17,0.11,0.07,0.35
IL Clinton County,0.17,0.1,0.06,0.33
IL Coles County,0.16,0.1,0.06,0.32
IL Cook County,0.13,0.07,0.04,0.24
IL Crawford County,0.17,0.11,0.07,0.35
IL Cumberland County,0.16,0.1,0.06,0.32
IL DeKalb County,0.14,0.08,0.05,0.27
IL De Witt County,0.16,0.1,0.06,0.32
IL Douglas County,0.16,0.1,0.06,0.32
IL DuPage County,0.1,0.06,0.04,0.2
IL Edgar County,0.16,0.1,0.06,0.32
IL Edwards County,0.17,0.1,0.07,0.34
IL Effingham County,0.17,0.1,0.06,0.33
IL Fayette County,0.17,0.1,0.06,0.33
IL Ford County,0.18,0.11,0.07,0.36
IL Franklin County,0.17,0.1,0.06,0.33
IL Fulton County,0.16,0.1,0.06,0.32
IL Gallatin County,0.17,0.1,0.07,0.34
IL Greene County,0.17,0.1,0.06,0.33
IL Grundy County,0.12,0.08,0.05,0.25
IL Hamilton County,0.17,0.1,0.07,0.34
IL Hancock County,0.16,0.1,0.06,0.32
IL Hardin County,0.17,0.1,0.07,0.34
IL Henderson County,0.16,0.1,0.06,0.32
IL Henry County,0.16,0.1,0.06,0.32
IL Iroquois County,0.18,0.11,0.07,0.36
IL Jackson County,0.17,0.1,0.06,0.33
IL Jasper County,0.17,0.11,0.07,0.35
IL Jefferson County,0.17,0.1,0.06,0.33
IL Jersey County,0.17,0.1,0.06,0.33
IL Jo Daviess County,0.15,0.09,0.05,0.29
IL Johnson County,0.17,0.1,0.07,0.34
IL Kane County,0.13,0.07,0.04,0.24
IL Kankakee County,0.16,0.1,0.06,0.32
IL Kendall County,0.12,0.08,0.05,0.25
IL Knox County,0.15,0.09,0.05,0.29
IL Lake County,0.12,0.07,0.04,0.23
,0.16,0.1,0.06,0.32
IL Lawrence County,0.17,0.11,0.07,0.35
IL Lee County,0.15,0.09,0.05,0.29
IL Livingston County,0.18,0.11,0.07,0.36
IL Logan County,0.16,0.1,0.06,0.32
IL McDonough County,0.16,0.1,0.06,0.32
IL McHenry County,0.13,0.08,0.05,0.26
IL McLean County,0.14,0.08,0.05,0.27
IL Macon County,0.17,0.1,0.06,0.33
IL Macoupin County,0.17,0.1,0.06,0.33
IL Madison County,0.14,0.09,0.05,0.28
IL Marion County,0.17,0.1,0.06,0.33
IL Marshall County,0.15,0.09,0.05,0.29
IL Mason County,0.16,0.1,0.06,0.32
IL Massac County,0.17,0.1,0.07,0.34
IL Menard County,0.16,0.1,0.06,0.32
IL Mercer County,0.16,0.1,0.06,0.32
IL Monroe County,0.17,0.1,0.06,0.33
IL Montgomery County,0.17,0.1,0.06,0.33
IL Morgan County,0.17,0.1,0.06,0.33
IL Moultrie County,0.16,0.1,0.06,0.32
IL Ogle County,0.15,0.09,0.05,0.29
IL Peoria County,0.15,0.09,0.05,0.29
IL Perry County,0.17,0.1,0.06,0.33
IL Piatt County,0.16,0.1,0.06,0.32
IL Pike County,0.16,0.1,0.06,0.32
IL Pope County,0.17,0.1,0.07,0.34
IL Pulaski County,0.17,0.1,0.07,0.34
IL Putnam County,0.15,0.09,0.05,0.29
IL Randolph County,0.17,0.1,0.06,0.33
IL Richland County,0.17,0.11,0.07,0.35
IL Rock Island County,0.16,0.09,0.06,0.31
IL St. Clair County,0.17,0.09,0.06,0.32
IL Saline County,0.17,0.1,0.07,0.34
IL Sangamon County,0.15,0.09,0.05,0.29
IL Schuyler County,0.16,0.1,0.06,0.32
IL Scott County,0.17,0.1,0.06,0.33
IL Shelby County,0.16,0.1,0.06,0.32
IL Stark County,0.15,0.09,0.05,0.29
IL Stephenson County,0.15,0.09,0.05,0.29
IL Tazewell County,0.15,0.09,0.05,0.29
IL Union County,0.17,0.1,0.07,0.34
IL Vermilion County,0.18,0.11,0.07,0.36
IL Wabash County,0.17,0.1,0.07,0.34
IL Warren County,0.16,0.1,0.06,0.32
IL Washington County,0.17,0.1,0.06,0.33
IL Wayne County,0.17,0.11,0.07,0.35
IL White County,0.17,0.1,0.07,0.34
IL Whiteside County,0.15,0.09,0.05,0.29
IL Will County,0.13,0.08,0.05,0.26
IL Williamson County,0.17,0.1,0.06,0.33
IL Winnebago County,0.16,0.09,0.06,0.31
IL Woodford County,0.15,0.09,0.05,0.29
IN Adams County,0.19,0.14,0.09,0.42
IN Allen County,0.16,0.12,0.07,0.35
IN Bartholomew County,0.15,0.11,0.07,0.33
IN Benton County,0.19,0.14,0.09,0.42
IN Blackford County,0.2,0.14,0.09,0.43
IN Boone County,0.13,0.1,0.06,0.29
IN Brown County,0.18,0.13,0.08,0.39
IN Carroll County,0.19,0.14,0.09,0.42
IN Cass County,0.19,0.14,0.09,0.42
IN Clark County,0.18,0.13,0.08,0.39
IN Clay County,0.19,0.14,0.09,0.42
IN Clinton County,0.19,0.14,0.09,0.42
IN Crawford County,0.17,0.13,0.08,0.38
IN Daviess County,0.18,0.14,0.09,0.41
IN Dearborn County,0.17,0.13,0.08,0.38
IN Decatur County,0.19,0.14,0.09,0.42
,0.2,0.15,0.1,0.45
IN Delaware County,0.18,0.13,0.08,0.39
IN Dubois County,0.17,0.13,0.08,0.38
IN Elkhart County,0.18,0.14,0.09,0.41
IN Fayette County,0.19,0.14,0.09,0.42
IN Floyd County,0.17,0.13,0.08,0.38
IN Fountain County,0.19,0.14,0.09,0.42
IN Franklin County,0.17,0.13,0.08,0.38
IN Fulton County,0.18,0.13,0.08,0.39
IN Gibson County,0.15,0.11,0.07,0.33
IN Grant County,0.19,0.14,0.09,0.42
IN Greene County,0.18,0.14,0.09,0.41
IN Hamilton County,0.11,0.08,0.05,0.24
IN Hancock County,0.18,0.13,0.08,0.39
IN Harrison County,0.17,0.13,0.08,0.38
IN Hendricks County,0.14,0.11,0.06,0.31
IN Henry County,0.2,0.14,0.09,0.43
IN Howard County,0.19,0.14,0.09,0.42
IN Huntington County,0.19,0.14,0.09,0.42
IN Jackson County,0.15,0.11,0.07,0.33
IN Jasper County,0.18,0.13,0.08,0.39
IN Jay County,0.2,0.14,0.09,0.43
IN Jefferson County,0.19,0.14,0.09,0.42
IN Jennings County,0.19,0.14,0.09,0.42
IN Johnson County,0.15,0.12,0.07,0.34
IN Knox County,0.17,0.13,0.08,0.38
IN Kosciusko County,0.18,0.13,0.08,0.39
,0.2,0.15,0.1,0.45
IN Lake County,0.16,0.11,0.07,0.34
,0.19,0.14,0.09,0.42
IN Lawrence County,0.18,0.14,0.09,0.41
IN Madison County,0.19,0.14,0.09,0.42
IN Marion County,0.17,0.12,0.07,0.36
IN Marshall County,0.18,0.13,0.08,0.39
IN Martin County,0.18,0.14,0.09,0.41
IN Miami County,0.19,0.14,0.09,0.42
IN Monroe County,0.16,0.11,0.07,0.34
IN Montgomery County,0.19,0.14,0.09,0.42
IN Morgan County,0.18,0.13,0.08,0.39
IN Newton County,0.18,0.13,0.08,0.39
IN Noble County,0.2,0.15,0.1,0.45
IN Ohio County,0.17,0.13,0.08,0.38
IN Orange County,0.18,0.14,0.09,0.41
IN Owen County,0.18,0.14,0.09,0.41
IN Parke County,0.19,0.14,0.09,0.42
IN Perry County,0.17,0.13,0.08,0.38
IN Pike County,0.17,0.13,0.08,0.38
IN Porter County,0.15,0.11,0.07,0.33
IN Posey County,0.15,0.11,0.07,0.33
IN Pulaski County,0.18,0.13,0.08,0.39
IN Putnam County,0.18,0.13,0.08,0.39
IN Randolph County,0.2,0.14,0.09,0.43
IN Ripley County,0.17,0.13,0.08,0.38
IN Rush County,0.19,0.14,0.09,0.42
IN St. Joseph County,0.17,0.12,0.08,0.37
IN Scott County,0.19,0.14,0.09,0.42
IN Shelby County,0.18,0.13,0.08,0.39
IN Spencer County,0.17,0.13,0.08,0.38
IN Starke County,0.18,0.13,0.08,0.39
IN Steuben County,0.2,0.15,0.1,0.45
IN Sullivan County,0.19,0.14,0.09,0.42
IN Switzerland County,0.17,0.13,0.08,0.38
IN Tippecanoe County,0.16,0.11,0.07,0.34
IN Tipton County,0.19,0.14,0.09,0.42
IN Union County,0.19,0.14,0.09,0.42
IN Vanderburgh County,0.18,0.13,0.08,0.39
IN Vermillion County,0.19,0.14,0.09,0.42
IN Vigo County,0.19,0.14,0.08,0.41
IN Wabash County,0.19,0.14,0.09,0.42
IN Warren County,0.19,0.14,0.09,0.42
IN Warrick County,0.15,0.11,0.07,0.33
IN Washington County,0.17,0.13,0.08,0.38
IN Wayne County,0.19,0.14,0.09,0.42
IN Wells County,0.19,0.14,0.09,0.42
IN White County,0.19,0.14,0.09,0.42
IN Whitley County,0.19,0.14,0.09,0.42
IA Adair County,0.2,0.14,0.08,0.42
IA Adams County,0.2,0.14,0.08,0.42
IA Allamakee County,0.18,0.13,0.07,0.38
IA Appanoose County,0.2,0.14,0.08,0.42
IA Audubon County,0.2,0.14,0.08,0.42
IA Benton County,0.19,0.13,0.08,0.4
IA Black Hawk County,0.18,0.12,0.07,0.37
IA Boone County,0.17,0.12,0.07,0.36
IA Bremer County,0.18,0.13,0.07,0.38
IA Buchanan County,0.18,0.12,0.07,0.37
IA Buena Vista County,0.17,0.12,0.07,0.36
IA Butler County,0.19,0.13,0.08,0.4
IA Calhoun County,0.17,0.12,0.07,0.36
IA Carroll County,0.17,0.12,0.07,0.36
IA Cass County,0.19,0.13,0.08,0.4
IA Cedar County,0.19,0.13,0.08,0.4
IA Cerro Gordo County,0.17,0.12,0.07,0.36
IA Cherokee County,0.17,0.12,0.07,0.36
IA Chickasaw County,0.18,0.13,0.07,0.38
IA Clarke County,0.2,0.14,0.08,0.42
IA Clay County,0.17,0.12,0.07,0.36
IA Clayton County,0.18,0.13,0.07,0.38
IA Clinton County,0.19,0.13,0.08,0.4
IA Crawford County,0.17,0.12,0.07,0.36
IA Dallas County,0.15,0.1,0.06,0.31
IA Davis County,0.2,0.14,0.08,0.42
IA Decatur County,0.2,0.14,0.08,0.42
IA Delaware County,0.18,0.12,0.07,0.37
IA Des Moines County,0.19,0.13,0.08,0.4
IA Dickinson County,0.17,0.12,0.07,0.36
IA Dubuque County,0.18,0.12,0.07,0.37
IA Emmet County,0.17,0.12,0.07,0.36
IA Fayette County,0.18,0.13,0.07,0.38
IA Floyd County,0.17,0.12,0.07,0.36
IA Franklin County,0.19,0.13,0.08,0.4
IA Fremont County,0.19,0.13,0.08,0.4
IA Greene County,0.17,0.12,0.07,0.36
IA Grundy County,0.19,0.13,0.08,0.4
IA Guthrie County,0.2,0.14,0.08,0.42
IA Hamilton County,0.19,0.13,0.08,0.4
IA Hancock County,0.17,0.12,0.07,0.36
IA Hardin County,0.19,0.13,0.08,0.4
IA Harrison County,0.19,0.13,0.08,0.4
IA Henry County,0.19,0.13,0.08,0.4
IA Howard County,0.18,0.13,0.07,0.38
IA Humboldt County,0.19,0.13,0.08,0.4
IA Ida County,0.17,0.12,0.07,0.36
IA Iowa County,0.19,0.13,0.08,0.4
IA Jackson County,0.18,0.12,0.07,0.37
IA Jasper County,0.18,0.12,0.07,0.37
IA Jefferson County,0.2,0.14,0.08,0.42
IA Johnson County,0.15,0.1,0.06,0.31
IA Jones County,0.19,0.13,0.08,0.4
IA Keokuk County,0.2,0.14,0.08,0.42
IA Kossuth County,0.17,0.12,0.07,0.36
IA Lee County,0.19,0.13,0.08,0.4
IA Linn County,0.18,0.12,0.07,0.37
IA Louisa County,0.19,0.13,0.08,0.4
IA Lucas County,0.2,0.14,0.08,0.42
IA Lyon County,0.17,0.12,0.07,0.36
IA Madison County,0.18,0.12,0.07,0.37
IA Mahaska County,0.2,0.14,0.08,0.42
IA Marion County,0.18,0.12,0.07,0.37
IA Marshall County,0.19,0.13,0.08,0.4
IA Mills County,0.19,0.13,0.08,0.4
IA Mitchell County,0.17,0.12,0.07,0.36
IA Monona County,0.17,0.12,0.07,0.36
IA Monroe County,0.2,0.14,0.08,0.42
IA Montgomery County,0.19,0.13,0.08,0.4
IA Muscatine County,0.19,0.13,0.08,0.4
,0.17,0.12,0.07,0.36
IA Osceola County,0.17,0.12,0.07,0.36
IA Page County,0.19,0.13,0.08,0.4
IA Palo Alto County,0.17,0.12,0.07,0.36
IA Plymouth County,0.19,0.13,0.08,0.4
IA Pocahontas County,0.17,0.12,0.07,0.36
IA Polk County,0.17,0.11,0.07,0.35
IA Pottawattamie County,0.19,0.13,0.08,0.4
IA Poweshiek County,0.19,0.13,0.08,0.4
IA Ringgold County,0.2,0.14,0.08,0.42
IA Sac County,0.17,0.12,0.07,0.36
IA Scott County,0.18,0.12,0.07,0.37
IA Shelby County,0.19,0.13,0.08,0.4
IA Sioux County,0.17,0.12,0.07,0.36
IA Story County,0.17,0.12,0.07,0.36
IA Tama County,0.19,0.13,0.08,0.4
IA Taylor County,0.2,0.14,0.08,0.42
IA Union County,0.2,0.14,0.08,0.42
IA Van Buren County,0.2,0.14,0.08,0.42
IA Wapello County,0.2,0.14,0.08,0.42
IA Warren County,0.18,0.12,0.07,0.37
IA Washington County,0.2,0.14,0.08,0.42
IA Wayne County,0.2,0.14,0.08,0.42
IA Webster County,0.19,0.13,0.08,0.4
IA Winnebago County,0.17,0.12,0.07,0.36
IA Winneshiek County,0.18,0.13,0.07,0.38
IA Woodbury County,0.19,0.13,0.08,0.4
IA Worth County,0.17,0.12,0.07,0.36
IA Wright County,0.19,0.13,0.08,0.4
KS Allen County,0.21,0.16,0.1,0.47
KS Anderson County,0.21,0.16,0.1,0.47
KS Atchison County,0.22,0.16,0.1,0.48
KS Barber County,0.21,0.16,0.1,0.47
KS Barton County,0.21,0.16,0.1,0.47
KS Bourbon County,0.21,0.16,0.1,0.47
KS Brown County,0.19,0.15,0.09,0.43
KS Butler County,0.19,0.14,0.08,0.41
KS Chase County,0.2,0.14,0.09,0.43
KS Chautauqua County,0.2,0.14,0.09,0.43
KS Cherokee County,0.23,0.17,0.1,0.5
KS Cheyenne County,0.2,0.15,0.09,0.44
KS Clark County,0.21,0.15,0.09,0.45
KS Clay County,0.2,0.15,0.09,0.44
KS Cloud County,0.2,0.15,0.09,0.44
KS Coffey County,0.2,0.14,0.09,0.43
KS Comanche County,0.21,0.16,0.1,0.47
KS Cowley County,0.2,0.15,0.09,0.44
KS Crawford County,0.23,0.17,0.1,0.5
KS Decatur County,0.2,0.15,0.09,0.44
KS Dickinson County,0.2,0.15,0.09,0.44
KS Doniphan County,0.22,0.16,0.1,0.48
KS Douglas County,0.19,0.14,0.08,0.41
KS Edwards County,0.21,0.16,0.1,0.47
KS Elk County,0.2,0.14,0.09,0.43
KS Ellis County,0.2,0.15,0.09,0.44
KS Ellsworth County,0.2,0.15,0.09,0.44
KS Finney County,0.21,0.15,0.09,0.45
KS Ford County,0.21,0.15,0.09,0.45
KS Franklin County,0.21,0.16,0.1,0.47
KS Geary County,0.23,0.16,0.09,0.48
KS Gove County,0.2,0.15,0.09,0.44
KS Graham County,0.2,0.15,0.09,0.44
KS Grant County,0.21,0.15,0.09,0.45
KS Gray County,0.21,0.15,0.09,0.45
KS Greeley County,0.2,0.15,0.09,0.44
KS Greenwood County,0.2,0.14,0.09,0.43
KS Hamilton County,0.21,0.15,0.09,0.45
KS Harper County,0.21,0.16,0.1,0.47
KS Harvey County,0.19,0.14,0.09,0.42
KS Haskell County,0.21,0.15,0.09,0.45
KS Hodgeman County,0.21,0.15,0.09,0.45
KS Jackson County,0.19,0.15,0.09,0.43
KS Jefferson County,0.22,0.16,0.1,0.48
KS Jewell County,0.2,0.15,0.09,0.44
KS Johnson County,0.15,0.12,0.07,0.34
KS Kearny County,0.21,0.15,0.09,0.45
KS Kingman County,0.21,0.16,0.1,0.47
KS Kiowa County,0.21,0.16,0.1,0.47
KS Labette County,0.23,0.17,0.1,0.5
KS Lane County,0.2,0.15,0.09,0.44
KS Leavenworth County,0.22,0.16,0.1,0.48
KS Lincoln County,0.2,0.15,0.09,0.44
KS Linn County,0.21,0.16,0.1,0.47
KS Logan County,0.2,0.15,0.09,0.44
KS Lyon County,0.2,0.14,0.09,0.43
KS McPherson County,0.21,0.15,0.1,0.46
KS Marion County,0.2,0.14,0.09,0.43
KS Marshall County,0.2,0.15,0.09,0.44
KS Meade County,0.21,0.15,0.09,0.45
KS Miami County,0.21,0.16,0.1,0.47
KS Mitchell County,0.2,0.15,0.09,0.44
KS Montgomery County,0.23,0.17,0.1,0.5
KS Morris County,0.2,0.14,0.09,0.43
KS Morton County,0.21,0.15,0.09,0.45
KS Nemaha County,0.2,0.15,0.09,0.44
KS Neosho County,0.23,0.17,0.1,0.5
KS Ness County,0.2,0.15,0.09,0.44
KS Norton County,0.2,0.15,0.09,0.44
KS Osage County,0.19,0.15,0.09,0.43
KS Osborne County,0.2,0.15,0.09,0.44
KS Ottawa County,0.2,0.15,0.09,0.44
KS Pawnee County,0.21,0.16,0.1,0.47
KS Phillips County,0.2,0.15,0.09,0.44
KS Pottawatomie County,0.23,0.16,0.09,0.48
KS Pratt County,0.21,0.16,0.1,0.47
KS Rawlins County,0.2,0.15,0.09,0.44
KS Reno County,0.21,0.15,0.1,0.46
KS Republic County,0.2,0.15,0.09,0.44
KS Rice County,0.21,0.15,0.1,0.46
KS Riley County,0.23,0.16,0.09,0.48
KS Rooks County,0.2,0.15,0.09,0.44
KS Rush County,0.21,0.16,0.1,0.47
KS Russell County,0.2,0.15,0.09,0.44
KS Saline County,0.2,0.15,0.09,0.44
KS Scott County,0.2,0.15,0.09,0.44
KS Sedgwick County,0.21,0.16,0.1,0.47
KS Seward County,0.21,0.15,0.09,0.45
KS Shawnee County,0.21,0.16,0.1,0.47
KS Sheridan County,0.2,0.15,0.09,0.44
KS Sherman County,0.2,0.15,0.09,0.44
KS Smith County,0.2,0.15,0.09,0.44
KS Stafford County,0.21,0.16,0.1,0.47
KS Stanton County,0.21,0.15,0.09,0.45
KS Stevens County,0.21,0.15,0.09,0.45
KS Sumner County,0.21,0.16,0.1,0.47
KS Thomas County,0.2,0.15,0.09,0.44
KS Trego County,0.2,0.15,0.09,0.44
KS Wabaunsee County,0.19,0.15,0.09,0.43
KS Wallace County,0.2,0.15,0.09,0.44
KS Washington County,0.2,0.15,0.09,0.44
KS Wichita County,0.2,0.15,0.09,0.44
KS Wilson County,0.2,0.14,0.09,0.43
KS Woodson County,0.2,0.14,0.09,0.43
KS Wyandotte County,0.23,0.16,0.1,0.49
KY Adair County,0.27,0.21,0.14,0.62
KY Allen County,0.26,0.21,0.14,0.61
KY Anderson County,0.23,0.18,0.11,0.52
KY Ballard County,0.23,0.18,0.12,0.53
KY Barren County,0.26,0.21,0.14,0.61
KY Bath County,0.27,0.21,0.14,0.62
KY Bell County,0.29,0.22,0.15,0.66
KY Boone County,0.19,0.15,0.1,0.44
KY Bourbon County,0.24,0.19,0.12,0.55
KY Boyd County,0.25,0.2,0.13,0.58
KY Boyle County,0.24,0.19,0.13,0.56
KY Bracken County,0.27,0.21,0.14,0.62
KY Breathitt County,0.28,0.22,0.15,0.65
KY Breckinridge County,0.25,0.2,0.13,0.58
KY Bullitt County,0.22,0.18,0.11,0.51
KY Butler County,0.26,0.21,0.14,0.61
KY Caldwell County,0.25,0.2,0.13,0.58
KY Calloway County,0.23,0.18,0.12,0.53
KY Campbell County,0.21,0.17,0.11,0.49
KY Carlisle County,0.23,0.18,0.12,0.53
KY Carroll County,0.21,0.17,0.11,0.49
KY Carter County,0.25,0.2,0.13,0.58
KY Casey County,0.27,0.21,0.14,0.62
KY Christian County,0.27,0.2,0.14,0.61
KY Clark County,0.24,0.19,0.12,0.55
KY Clay County,0.28,0.22,0.15,0.65
KY Clinton County,0.27,0.21,0.14,0.62
KY Crittenden County,0.25,0.2,0.13,0.58
KY Cumberland County,0.27,0.21,0.14,0.62
KY Daviess County,0.22,0.17,0.11,0.5
KY Edmonson County,0.26,0.21,0.14,0.61
KY Elliott County,0.25,0.2,0.13,0.58
KY Estill County,0.24,0.18,0.12,0.54
KY Fayette County,0.2,0.15,0.1,0.45
KY Fleming County,0.27,0.21,0.14,0.62
KY Floyd County,0.28,0.21,0.14,0.63
KY Franklin County,0.23,0.18,0.11,0.52
KY Fulton County,0.23,0.18,0.12,0.53
KY Gallatin County,0.21,0.17,0.11,0.49
KY Garrard County,0.24,0.19,0.13,0.56
KY Grant County,0.21,0.17,0.11,0.49
KY Graves County,0.23,0.18,0.12,0.53
KY Grayson County,0.25,0.2,0.13,0.58
KY Green County,0.27,0.21,0.14,0.62
KY Greenup County,0.25,0.2,0.13,0.58
KY Hancock County,0.22,0.17,0.11,0.5
KY Hardin County,0.25,0.19,0.13,0.57
KY Harlan County,0.29,0.22,0.15,0.66
KY Harrison County,0.24,0.19,0.12,0.55
KY Hart County,0.26,0.21,0.14,0.61
KY Henderson County,0.24,0.19,0.13,0.56
KY Henry County,0.21,0.17,0.11,0.49
KY Hickman County,0.23,0.18,0.12,0.53
KY Hopkins County,0.25,0.2,0.13,0.58
KY Jackson County,0.28,0.22,0.15,0.65
KY Jefferson County,0.21,0.16,0.1,0.47
KY Jessamine County,0.24,0.19,0.13,0.56
KY Johnson County,0.28,0.21,0.14,0.63
KY Kenton County,0.2,0.16,0.1,0.46
KY Knott County,0.28,0.22,0.15,0.65
KY Knox County,0.29,0.22,0.15,0.66
KY Larue County,0.24,0.19,0.13,0.56
KY Laurel County,0.28,0.22,0.15,0.65
KY Lawrence County,0.25,0.2,0.13,0.58
KY Lee County,0.28,0.22,0.15,0.65
KY Leslie County,0.28,0.22,0.15,0.65
KY Letcher County,0.28,0.22,0.15,0.65
KY Lewis County,0.27,0.21,0.14,0.62
KY Lincoln County,0.24,0.19,0.13,0.56
KY Livingston County,0.25,0.2,0.13,0.58
KY Logan County,0.26,0.21,0.14,0.61
KY Lyon County,0.27,0.2,0.14,0.61
KY McCracken County,0.23,0.18,0.12,0.53
KY McCreary County,0.26,0.21,0.14,0.61
KY McLean County,0.24,0.19,0.13,0.56
KY Madison County,0.24,0.18,0.12,0.54
KY Magoffin County,0.28,0.21,0.14,0.63
KY Marion County,0.24,0.19,0.13,0.56
KY Marshall County,0.23,0.18,0.12,0.53
KY Martin County,0.28,0.21,0.14,0.63
KY Mason County,0.27,0.21,0.14,0.62
KY Meade County,0.25,0.2,0.13,0.58
KY Menifee County,0.27,0.21,0.14,0.62
KY Mercer County,0.23,0.18,0.11,0.52
KY Metcalfe County,0.26,0.21,0.14,0.61
KY Monroe County,0.26,0.21,0.14,0.61
KY Montgomery County,0.27,0.21,0.14,0.62
KY Morgan County,0.27,0.21,0.14,0.62
KY Muhlenberg County,0.25,0.2,0.13,0.58
KY Nelson County,0.24,0.19,0.13,0.56
KY Nicholas County,0.24,0.19,0.12,0.55
KY Ohio County,0.24,0.19,0.13,0.56
KY Oldham County,0.21,0.17,0.11,0.49
KY Owen County,0.21,0.17,0.11,0.49
KY Owsley County,0.28,0.22,0.15,0.65
KY Pendleton County,0.21,0.17,0.11,0.49
KY Perry County,0.28,0.22,0.15,0.65
KY Pike County,0.28,0.21,0.14,0.63
KY Powell County,0.24,0.18,0.12,0.54
KY Pulaski County,0.26,0.21,0.14,0.61
KY Robertson County,0.27,0.21,0.14,0.62
KY Rockcastle County,0.28,0.22,0.15,0.65
KY Rowan County,0.27,0.21,0.14,0.62
KY Russell County,0.27,0.21,0.14,0.62
KY Scott County,0.24,0.19,0.12,0.55
KY Shelby County,0.21,0.17,0.11,0.49
KY Simpson County,0.26,0.21,0.14,0.61
KY Spencer County,0.22,0.18,0.11,0.51
KY Taylor County,0.27,0.21,0.14,0.62
KY Todd County,0.27,0.2,0.14,0.61
KY Trigg County,0.27,0.2,0.14,0.61
KY Trimble County,0.21,0.17,0.11,0.49
KY Union County,0.24,0.19,0.13,0.56
KY Warren County,0.22,0.17,0.11,0.5
KY Washington County,0.24,0.19,0.13,0.56
KY Wayne County,0.26,0.21,0.14,0.61
KY Webster County,0.24,0.19,0.13,0.56
KY Whitley County,0.29,0.22,0.15,0.66
KY Wolfe County,0.28,0.22,0.15,0.65
KY Woodford County,0.23,0.18,0.11,0.52
LA Acadia Parish,0.26,0.19,0.11,0.56
LA Allen Parish,0.27,0.2,0.12,0.59
LA Ascension Parish,0.23,0.17,0.1,0.5
LA Assumption Parish,0.28,0.2,0.13,0.61
LA Avoyelles Parish,0.3,0.22,0.14,0.66
LA Beauregard Parish,0.27,0.2,0.12,0.59
LA Bienville Parish,0.27,0.19,0.12,0.58
LA Bossier Parish,0.25,0.17,0.11,0.53
LA Caddo Parish,0.25,0.17,0.1,0.52
LA Calcasieu Parish,0.26,0.19,0.12,0.57
LA Caldwell Parish,0.29,0.2,0.13,0.62
LA Cameron Parish,0.25,0.18,0.11,0.54
LA Catahoula Parish,0.3,0.22,0.14,0.66
LA Claiborne Parish,0.27,0.19,0.12,0.58
LA Concordia Parish,0.3,0.22,0.14,0.66
LA De Soto Parish,0.27,0.19,0.12,0.58
LA East Baton Rouge Parish,0.22,0.15,0.09,0.46
LA East Carroll Parish,0.29,0.2,0.13,0.62
LA East Feliciana Parish,0.26,0.19,0.12,0.57
LA Evangeline Parish,0.27,0.19,0.12,0.58
LA Franklin Parish,0.29,0.2,0.13,0.62
LA Grant Parish,0.3,0.22,0.14,0.66
LA Iberia Parish,0.27,0.19,0.11,0.57
LA Iberville Parish,0.26,0.19,0.12,0.57
LA Jackson Parish,0.29,0.2,0.13,0.62
LA Jefferson Parish,0.22,0.16,0.09,0.47
LA Jefferson Davis Parish,0.25,0.18,0.11,0.54
LA Lafayette Parish,0.23,0.16,0.1,0.49
LA Lafourche Parish,0.28,0.2,0.13,0.61
LA La Salle Parish,0.3,0.22,0.14,0.66
LA Lincoln Parish,0.27,0.19,0.12,0.58
LA Livingston Parish,0.27,0.2,0.12,0.59
LA Madison Parish,0.29,0.2,0.13,0.62
LA Morehouse Parish,0.29,0.2,0.13,0.62
LA Natchitoches Parish,0.27,0.19,0.12,0.58
LA Orleans Parish,0.22,0.15,0.09,0.46
LA Ouachita Parish,0.25,0.18,0.11,0.54
LA Plaquemines Parish,0.26,0.18,0.11,0.55
LA Pointe Coupee Parish,0.26,0.19,0.12,0.57
LA Rapides Parish,0.28,0.2,0.12,0.6
