st_cty,low,med,high,tot_hesi
AR Crawford County,0.25,0.21,0.13,0.59
AR Crittenden County,0.27,0.22,0.14,0.63
AR Cross County,0.29,0.23,0.15,0.67
AR Dallas County,0.25,0.2,0.13,0.58
AR Desha County,0.28,0.22,0.15,0.65
AR Drew County,0.28,0.22,0.15,0.65
AR Faulkner County,0.26,0.21,0.14,0.61
AR Franklin County,0.27,0.22,0.14,0.63
AR Fulton County,0.27,0.22,0.15,0.64
AR Garland County,0.25,0.2,0.13,0.58
AR Grant County,0.26,0.2,0.13,0.59
AR Greene County,0.26,0.21,0.14,0.61
AR Hempstead County,0.26,0.21,0.14,0.61
AR Hot Spring County,0.25,0.2,0.13,0.58
AR Howard County,0.27,0.22,0.14,0.63
AR Independence County,0.27,0.22,0.15,0.64
AR Izard County,0.27,0.22,0.15,0.64
AR Jackson County,0.28,0.23,0.15,0.66
AR Jefferson County,0.26,0.2,0.13,0.59
AR Johnson County,0.26,0.21,0.14,0.61
AR Lafayette County,0.26,0.21,0.14,0.61
AR Lawrence County,0.26,0.21,0.14,0.61
AR Lee County,0.29,0.23,0.15,0.67
AR Lincoln County,0.28,0.22,0.15,0.65
AR Little River County,0.26,0.21,0.14,0.61
AR Logan County,0.27,0.22,0.14,0.63
AR Lonoke County,0.26,0.21,0.14,0.61
AR Madison County,0.24,0.2,0.13,0.57
AR Marion County,0.24,0.2,0.13,0.57
AR Miller County,0.26,0.21,0.14,0.61
AR Mississippi County,0.27,0.22,0.14,0.63
AR Monroe County,0.29,0.23,0.15,0.67
AR Montgomery County,0.25,0.2,0.13,0.58
AR Nevada County,0.26,0.21,0.14,0.61
AR Newton County,0.24,0.2,0.13,0.57
AR Ouachita County,0.25,0.2,0.13,0.58
AR Perry County,0.26,0.21,0.14,0.61
AR Phillips County,0.29,0.23,0.15,0.67
AR Pike County,0.26,0.21,0.14,0.61
AR Poinsett County,0.29,0.23,0.15,0.67
AR Polk County,0.27,0.22,0.14,0.63
AR Pope County,0.26,0.21,0.14,0.61
AR Prairie County,0.28,0.23,0.15,0.66
AR Pulaski County,0.23,0.18,0.11,0.52
AR Randolph County,0.26,0.21,0.14,0.61
AR St. Francis County,0.29,0.23,0.15,0.67
AR Saline County,0.24,0.2,0.13,0.57
AR Scott County,0.27,0.22,0.14,0.63
AR Searcy County,0.24,0.2,0.13,0.57
AR Sebastian County,0.25,0.21,0.13,0.59
AR Sevier County,0.27,0.22,0.14,0.63
AR Sharp County,0.27,0.22,0.15,0.64
AR Stone County,0.27,0.22,0.15,0.64
AR Union County,0.25,0.2,0.13,0.58
AR Van Buren County,0.27,0.22,0.15,0.64
AR Washington County,0.25,0.2,0.13,0.58
AR White County,0.28,0.23,0.15,0.66
AR Woodruff County,0.28,0.23,0.15,0.66
AR Yell County,0.26,0.21,0.14,0.61
CA Alameda County,0.07,0.05,0.02,0.14
CA Alpine County,0.11,0.08,0.04,0.23
CA Amador County,0.11,0.08,0.04,0.23
CA Butte County,0.12,0.08,0.04,0.24
CA Calaveras County,0.11,0.08,0.04,0.23
CA Colusa County,0.13,0.08,0.04,0.25
CA Contra Costa County,0.08,0.05,0.03,0.16
CA Del Norte County,0.14,0.09,0.05,0.28
CA El Dorado County,0.09,0.06,0.03,0.18
CA Fresno County,0.12,0.07,0.03,0.22
CA Glenn County,0.13,0.08,0.04,0.25
CA Humboldt County,0.12,0.08,0.04,0.24
CA Imperial County,0.12,0.07,0.04,0.23
CA Inyo County,0.11,0.08,0.04,0.23
CA Kern County,0.13,0.08,0.04,0.25
CA Kings County,0.14,0.09,0.04,0.27
CA Lake County,0.13,0.09,0.04,0.26
CA Lassen County,0.14,0.09,0.05,0.28
CA Los Angeles County,0.1,0.06,0.03,0.19
CA Madera County,0.13,0.08,0.04,0.25
CA Marin County,0.07,0.05,0.02,0.14
CA Mariposa County,0.11,0.08,0.04,0.23
CA Mendocino County,0.13,0.09,0.04,0.26
CA Merced County,0.13,0.08,0.04,0.25
CA Modoc County,0.14,0.09,0.05,0.28
CA Mono County,0.11,0.08,0.04,0.23
CA Monterey County,0.11,0.07,0.03,0.21
CA Napa County,0.08,0.06,0.03,0.17
CA Nevada County,0.11,0.07,0.04,0.22
CA Orange County,0.08,0.05,0.03,0.16
CA Placer County,0.08,0.06,0.03,0.17
CA Plumas County,0.14,0.09,0.05,0.28
CA Riverside County,0.11,0.07,0.03,0.21
CA Sacramento County,0.11,0.07,0.03,0.21
CA San Benito County,0.12,0.08,0.04,0.24
CA San Bernardino County,0.12,0.07,0.04,0.23
CA San Diego County,0.1,0.06,0.03,0.19
CA San Francisco County,0.06,0.04,0.02,0.12
CA San Joaquin County,0.11,0.07,0.04,0.22
CA San Luis Obispo County,0.1,0.07,0.03,0.2
CA San Mateo County,0.06,0.04,0.02,0.12
CA Santa Barbara County,0.11,0.07,0.03,0.21
CA Santa Clara County,0.06,0.04,0.02,0.12
CA Santa Cruz County,0.09,0.06,0.03,0.18
CA Shasta County,0.12,0.08,0.04,0.24
CA Sierra County,0.11,0.07,0.04,0.22
CA Siskiyou County,0.14,0.09,0.05,0.28
