state,state_po,candidate,party_simplified,candidatevotes,totalvotes
Vermont,VT,"LA RIVA, GLORIA ESTELLA",OTHER,166,370968
Vermont,VT,"SWING, GARY",OTHER,141,370968
Vermont,VT,"COLLINS, PHIL",OTHER,137,370968
Vermont,VT,"MCCORMIC, KEITH",OTHER,126,370968
Vermont,VT,"PIERCE, BROCK",OTHER,100,370968
Vermont,VT,"SEGAL, JEROME M.",OTHER,65,370968
Vermont,VT,"HUBER, BLAKE",OTHER,54,370968
Vermont,VT,"KOPITKE, KYLE KENLEY",OTHER,53,370968
Vermont,VT,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,48,370968
Vermont,VT,,OTHER,1942,370968
Vermont,VT,OVERVOTES,OTHER,278,370968
Vermont,VT,BLANK VOTES,OTHER,3262,370968
Vermont,VT,"SCALF, ZACHARY",OTHER,29,370968
Virginia,VA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2413568,4460524
Virginia,VA,"TRUMP, DONALD J.",REPUBLICAN,1962430,4460524
Virginia,VA,"JORGENSEN, JO",LIBERTARIAN,64761,4460524
Virginia,VA,,OTHER,19765,4460524
Washington,WA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2369612,4087631
Washington,WA,"TRUMP, DONALD J.",REPUBLICAN,1584651,4087631
Washington,WA,"JORGENSEN, JO",LIBERTARIAN,80500,4087631
Washington,WA,"HAWKINS, HOWIE",OTHER,18289,4087631
Washington,WA,"LA RIVA, GLORIA ESTELLA",OTHER,4840,4087631
Washington,WA,"KENNEDY, ALYSON",OTHER,2487,4087631
Washington,WA,,OTHER,27252,4087631
West Virginia,WV,"BIDEN, JOSEPH R. JR",DEMOCRAT,235984,794652
West Virginia,WV,"TRUMP, DONALD J.",REPUBLICAN,545382,794652
West Virginia,WV,"JORGENSEN, JO",LIBERTARIAN,10687,794652
West Virginia,WV,"HAWKINS, HOWIE",OTHER,2599,794652
Wisconsin,WI,"BIDEN, JOSEPH R. JR",DEMOCRAT,1630866,3298041
Wisconsin,WI,"TRUMP, DONALD J.",REPUBLICAN,1610184,3298041
Wisconsin,WI,"BLANKENSHIP, DON",OTHER,5146,3298041
Wisconsin,WI,"JORGENSEN, JO",OTHER,38491,3298041
Wisconsin,WI,"CARROLL, BRIAN",OTHER,5259,3298041
Wisconsin,WI,"WELLS, KASEY",OTHER,25,3298041
Wisconsin,WI,"SIMMONS, JADE",OTHER,36,3298041
Wisconsin,WI,"BODDIE, R. PRESIDENT",OTHER,5,3298041
Wisconsin,WI,"HAWKINS, HOWIE",OTHER,1089,3298041
Wisconsin,WI,"LA RIVA, GLORIA ESTELLA",OTHER,110,3298041
Wisconsin,WI,"WEST, KANYE",OTHER,411,3298041
Wisconsin,WI,"CHARLES, MARK",OTHER,52,3298041
Wisconsin,WI,,OTHER,6367,3298041
Wyoming,WY,"BIDEN, JOSEPH R. JR",DEMOCRAT,73491,278503
Wyoming,WY,"TRUMP, DONALD J.",REPUBLICAN,193559,278503
Wyoming,WY,"JORGENSEN, JO",LIBERTARIAN,5768,278503
Wyoming,WY,"PIERCE, BROCK",OTHER,2208,278503
Wyoming,WY,,OTHER,1739,278503
Wyoming,WY,OVERVOTES,OTHER,279,278503
Wyoming,WY,UNDERVOTES,OTHER,1459,278503
